Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
15001,"**Вбита москальською ракетою в Одесі жінка та її трьохмісячна дитина, яка на момент світлини ще була в утробі**","(Sighs) Killed a mosquito rocket in Odessa, a woman and her three-month-old child, who at the moment of photography was still in the womb",,,,,
15002,"Телеграм тестує розширення функціоналу коментування на каналах

Скоро буде можливість дозволити коментувати лише учасникам прикріпленого до каналу чату або всім, але після дозволу адміністрації. Звісно, старий варіант з коментуванням для всіх залишиться.","Telagram is testing the extension of the channel comment function

It will soon be possible to comment only on the players attached to the tea channel or to everyone, but after administration is approved. Of course, an old comment option will stay for everyone.",,,,,
15003,"**В боях за Маріуполь загинув поет Сергій Скальд. Один із авторів домайданівської націоналістичної поезії ""Голос крові"". Як і загиблий Юрій Руф, до речі

**Сподіваємося, що війна вплине на шкільну програму з української літератури, а в останньому класі вивчатимуть твори тих хлопців, що ще вчора поруч з нами стояли на барикадах.","(Sighs) In the arms of Mariville, the poet Sergei Skalar died. One of the writers of the doctoral nationalist poetry ""Blood Voice."" Just like Harry Ruff died, by the way.

(Sighs) We hope the war will affect the school program from Ukrainian literature, and in the last class, they will study the works of the guys next to us standing in barricades.",,,,,
15004,**На площі Перемоги в Києві зняли орден Леніна**,(Sighs) They shot Orden Lenin in in Kiev,,,,,
15005,"**Ділимося звітом до **[**посту про збір**](https://t.me/DeepStateUA/11577)** за проханням нашої знайомої

**Ура! Ми зробили це! 
(92 500.00 грн + запаска+ домкрат + ключі дали добрі люди)
- берці і кросівки ( 4800.00 грн)
- 300 літрів дизелю ( 10 000.00 грн)
- тактичні окуляри (87 євро)
- розкладні ножі і кепки (1390.00 грн)
- засоби протимоскітні (483.12 + 912.70 грн)
- печиво ( 56 штук - 1047,20 грн)
- шоколад (772,50 грн)
- цигарки ( 1260.00 грн) 
- наколінники ( подарунок небайдужих)
- ковбаси, паски, вареники, крашанки, пироги і ще купу всього.

Я неймовірно вдячна всім хто долучився!

**Повна публікація звіту з чеками та фото** [доступна у фейсбук](https://www.facebook.com/story.php?story_fbid=1677380235956192&id=100010526946445)","(Sighs) We're going to report to * * [* * pack sign * *] (https: / / t.me / DeepStateUA / 11577) * to request our friend

(Sighs) Yay! We did it!
($2.500.00 $2.00pm + note + home + keys gave good people)
- Bets and sneakers ($4800.00)
- 300 liters of diesel.
- tactical goggles (87 euros)
- layout knives and caps (1390.00)
- anti-mosquito tools (483.12 + 912.70)
- A cookie (56 grand - 1047.20)
- chocolate ($72.50)
- A cigarette (1260.00)
- Watchers.
- sausage, paper, wafers, pies and stuff.

I'm incredibly grateful to everyone who's involved!

(Sighs) Full report published with checks and photos * * * [at Facebook] (https: / / www.facebook.com / story.php? field _ fid = 16773802356192 & id = 10001052694445)",,,,,
15006,"🟢__«Зустрінемось (__На прес-конференції з журналістами__ - прим), коли звільнимо Маріуполь. Я думаю це буде скоро»__","_ _ ""Meet me at the press conference with journalists _ - welcome) when we release Marieville. I think it'll be soon"" _ _",,,,,
15007,"🟢__«Якийсь прем'єр-міністр мені сказав: ""Завдяки Україні я зрозумів зміст НАТО, яким він має бути""»__","The _ _ ""Some Prime Minister said to me,"" Thanks to Ukraine, I understand the contents of NATO, which should be ""_ _",,,,,
15008,"🟢__«Ми так об'єднались. Слово ""Влада"" не викликає у суспільства рвотного рефлексу»__","We're so united. The word ""Power"" does not cause a violent rephrase ""_",,,,,
15009,"🟢«__Ми звертаємось до всіх лідерів. Ми не країна для трагічних селфі (Макрон, Борель і фон дер Ляйєн?😁). У нас реальна війна. Тому приїжджайте до нас, ми з радістю будемо вас зустрічати, але приїжджайте ,будь ласка, з тією допомогою, яку ми просили. Ми ніколи нічого не просимо і не запитуємо у тій чи іншій державі, якщо ми знаємо, що у цій державі цього немає.__»","""_ _ _"" We address all leaders. We're not a country for the tragic Selloff. We have a real war. So come to us, we'll be happy to meet you, but come, please, with the help we asked. We never ask or ask anything in a state or another if we know that this state does not exist",,,,,
15010,"🟢__«Як далі буде жити наш Донбас, як далі бути жити український Крим»__ - Що обговорювати на зустрічі з хуйлом","""How on earth shall our Donbus live, how to continue to live Ukrainian Creum"" _ - What to discuss in the meeting with the fuck",,,,,
15011,"🟢__«Якби в нас була ядерна зброя, ризики війни з росією були б мінімізовані. Я так вважаю!»__","• ""If we had nuclear weapons, the risk of war with the Russian would be minimized. I think so!"" _ _",,,,,
15012,🟢__«Якщо керівництво РФ не втратить повністю зв'язок з реальністю та адекватність - вони не будуть використовувати ядерну зброю. Чи може це статись? Може. Чи вірю я в це? Не хочеться.»__,"• ""If RF leaders do not lose completely contact with reality and asquability, they will not use nuclear weapons. Can this happen? Maybe. Do I believe that? I don't want to."" _",,,,,
15013,"🟢__«Наскільки мені відомо, а мені відомо не мало, він (__Абрамович__ - прим) входить в склад російської групи перемови. Він був в Києві. Більше я коментувати не готовий»__","The _ ""as far as I know, and I know not very little, he (_ _ Abradrac _ - prim) comes into the warehouse of the Russian group of commencement. He was in Kiev. More I am not ready to comment"" _ _",,,,,
15014,"🟢__«Не можна сказати ""я тут ні прічьом"", можна сказати, що наша держава винна, можна сказати, що я не можу нічого зробити окрім цих слів, (""можна сказати"" - прим.) я відчуваю себе громадянином Росії та я відчуваю, що ми будемо нести відповідальність - і це сміливо»__ - щодо колективної відповідальності","You can't say, ""I'm not a priestman,"" you can say that our state is guilty, you can say that I can't do anything but these words, (you can say ""hello.) I feel like a Russian citizen and I feel like we're going to be responsible -- and that's daring"" _ - about collective responsibility",,,,,
15015,🟢__«Не можна силою та такою безлюдяністю перемогти нашу державу. Неможливо. Що вони потім робитимуть?»__,"Adp _ _ ""You can't be powerful and you can't beat our country so much. Impossible. What will they do then?"" _",,,,,
15016,"🟢__«Маленькі діточки будуть вставати на уроках та відповідати вчителям, що таке рашизм, та хто його переміг в боротьбі за свободу»__","English _ ""Little children will get up in class and answer to the teachers what slowness is and who won it in the freedom fight"" _",,,,,
15017,"__🟢«Їх держава буде мати в історії та книжках таке слово, яке ніхто не вигадував - це рашизм»__","_ _ Subtitles ""Their state will have in history and books a word that no one has ever invented is"" _ _",,,,,
15018,🟢__«Приблизно біля 500 000 людей було вивезено зі всіх окупованих територій на Схід та в Росію»__,"The following _ _ ""About 500,000 people were brought out from all occupied territory to east and Russia"" _ _",,,,,
15019,"__🟢«З паном Джонсоном ми домовились, що він буде патронатом над Київською областю. З Швецією, що вона над Миколаївською»__","Mr. Johnson and I agreed that he would be a patron over Kiev. With Sweden she's over Mikolawiska ""_",,,,,
15020,🟢__«Велика Британія та Швеція вже підтвердили підтримку в програмі відновлення нашої держави (__Після війни__ - прим)»__,"kde- _ ""Great Britain and Sweden have already confirmed support for our regeneration program (_ _ _ _ _ _ _ _ _ _ _ _ _)"" _ _ _",,,,,
15021,🟢__«Все залежить від бажання іншого Володимира Володимировича»__ - чи буде продовження переговорів у Стамбулі.,"Income _ _ ""Everything depends on the desire of another Vladimir"" _ - or will continue negotiations in Istanbul.",,,,,
15022,"🟢__«Це стратегічна помилка альянсу (__НАТО -__ прим), щодо відношення до України»__","PATH _ _ ""This is a strategic alliance error (_ NATO _ _ prime), relationship to Ukraine"" _ _ _ _",,,,,
15023,"🟢__«Є один гештальт з літаками. Він залишився. Але в порівнянні з тим, що Польща для нас зробила - це ніщо!»__","zip _ ""There's one hookup with planes. He stayed. But compared to what Poland has done to us, it's nothing!"" _",,,,,
15024,"🟢__«Я не розглядаю варіант, що наші партнери не передадуть нам ту зброю - яку пообіцяли. У них немає альтернативи. Ми не дамо їм це зробити»__","I'm not aware of the possibility that our partners won't give us the gun that they promised. They have no alternative. We won't let them do it ""_",,,,,
15025,"__🟢__«__Маємо велику надію, що ми зможемо це зробити (Деблокувати Маріуполь - прим). Чи готові ми до цього зараз? Ні, нікому не вірте, наразі ми не можемо цього зробити. ...І хлопці з ""Азовсталі"" прекрасно це розуміють»__ - у відповідь про військову деблокаду Маріуполю","_ _ UR_ _ ""_ We have great hope that we can do that (Deblock Mariville - prime). Are we ready for this now? No, don't believe anyone, we can't do this now.... And the Azoxley guys get it perfectly well",,,,,
15026,"🟢__«Останній тиждень: сигнали, терміни, кількість. Все це про зброю. Все це покращилось»__","input _ ""Last Week: signals, terms, numbers. It's all about weapons. All of this improved"" _ _",,,,,
15027,"🟢__«Я вважаю, окрім Донбасу та Криму питань не існує. Все інше, це політичні понти!»__","Adp _ _ ""I believe besides DonBass and Crime there is no question. Everything else, these are political donuts!"" _ _",,,,,
15028,"🟢__«Спочатку був ультиматум. Потім, з ультиматуму кудись почали зникати пункти в риториці російської федерації, потім почались перемовини. Потім, у Стамбулі з'явилося комюніке»__","You--I mean, first it was an ultimatum. Then the ultimatum began to disappear somewhere in Russian Federation, then the negotiations began. Then, in Istanbul, there was a communique ""_ _",,,,,
15029,"🟢__«Моя позиція, особиста, людська, в першу чергу як президента: ми повернемо все, що вони окупують. Це питання не років, ми це зробимо одразу, коли в нас буде потужна зброя»__","The return of everything they buy. This is not a question for years, we'll do it right after we have powerful weapons ""_",,,,,
15030,**🔴Почали трансляцію прес-конференції Зеленського в метро**,* * * entrance And they started broadcasting the Treaty of Zealand to the subway * *,,,,,
15031,"🇺🇦🇵🇱__**Польща передала Україні озброєння на суму близько 7 мільярдів злотих, - заявив прем'єр-міністр Матеуш Моравецкий** __- про це написав на своїй [сторінці в Twitter](https://twitter.com/PiotrMuller/status/1517862593834192898?t=XIQ_MytT7pKgvIdBLF7qhA&s=09) прес-секретар уряду Польщі 

__""Про це було заявлено під час конференції з ініціативи ____#StopRussiaNOW____. **Це понад 1,6 мільярда доларів** на захист **українського, польського та європейського суверенітету!**""

__🤝**Польща** на сьогодні - наш один з найпотужніших і найближчих союзників. Історія минулого в минулому - сьогодні ми пишемо нову історію! І все в наших руках

**🇺🇦Слава Україні**","Math Poland gave the gun to about 7 billion zloty, announced the Prime Minister Matt Moravsky * * _ _ - wrote it on his [Twitter] (https: / / twitter.com / PietrMuller / status / 15178259341998? t = XIQ _ MyT7pKv12L7xA = 0)

_ _ ""This was reported during a conference with the initiative _ _ _ # StopRussaNOT _ _ _ _ _. (Sighs) This is over 1.6 billion dollars * for protection * * Ukrainian, Polish and European sovereignty! * * *

_ types * * Poland * for today is one of our most powerful and closest allies. History in the past, today we write a new story! And it's in our hands.

* * Thank Ukraine * *",,,,,
15032,"🤬**В результаті ракетного удару по Одесі 5 загиблих і 18 поранених. Серед загиблих 3-місячне дитя

**Яку ""військову цінність становила дитина та в якому танку вона сиділа"", ублюдок з міноборони московії звісно не скаже.

Наша ненависть до них недостатня...","Introduction * * * As a result of the missile attack on Odessa, five dead and 18 wounded. Between the dead 3-month child

(Sighs) Which ""military value was the child and in which tank she was sitting,"" the bastard from the monastery minastery certainly won't tell.

Our hatred for them is not enough...",,,,,
15033,"🇫🇮**Уточнення - це опитування депутатів журналістами. Якими будуть результати голосування - невідомо

**`«Я поінформував шведську сторону, що у Фінляндії більшість громадян виступають за членство в НАТО. Це означає, що ми відправимо заявку на вступ до Альянсу в найближчі тижні, навесні. Я сказав це незалежно від того, чи вважаю я це доброю чи поганою справою»` - сказав Туоміоя, додавши, що в інтересах Швеції та Фінляндії спільно вирішити всі питання, пов'язані зі вступом до Альянсу, і синхронно подати заявку.","Bytes * * * The focus is a survey of dissent journalists. What are the voting results - unknown

* * * ""I inform the Swedish side that in Finland most citizens are speaking for membership in NATO. It means we'll send an application to join the Alliance in the next week, spring. I said it no matter whether I think it's a good or bad thing,"" said Toomiya, adding that to the interest of Sweden and Finland together to solve all the questions related to joining the Alliance, and synchronously request.",,,,,
15034,**🌐Сплеск відключень Інтернету в московії. Хоч десь вони перші - обігнали навіть М'янму та Нігерію**,"* * * entrance The pressure of turning off the Internet in a monstrosity. Even though they were the first ones, they even took over Myanmar and Nigeria * *",,,,,
15035,"🇫🇮 **Парламент Фінляндії ухвалив рішення вступати в НАТО**

Московія переживала за розширення альянсу, тепер же отримує +1272 км прямого кордону. Крім того, друге за важливістю місто буде всього у 193 км. Швидше за все, до кінця року фінів приймуть. Кому як, а натівцям московити вже програли точно, хіба буде спроба ""спецоперації"" у Фінляндії. Але чим і ким?

Многоходовочка-вовочка))","Bytes * * * Parliament of Finland made decisions to join NATO.

The Moscow was worried about expanding the alliance, and now it gets plus 1272 km of the right border. In addition, the second important city will be only 193 km. Most likely, by the end of the year, they'll receive the Finn. To whom, while the students have already failed, is it going to be a special operation attempt in Finland. But what about who?

A little catchy wolf",,,,,
15036,"📞М**осковські військові переповідають між собою про високу підготовку українських воїнів та снайпера, який лише за 1 день ліквідував 4 московитів**","""The sower"" says, ""Sir,""",,,,,
15037,🐶На Миколаївщині собака росгвардії тепер на захисті України.,The USTRICAL dog is now on the protection of Ukraine.,,,,,
15038,"💪**Наші воїни тримаються. Азовсталь, Маріуполь**","Introduction * * * Our warriors hold. Azoswall, Marieville * *",,,,,
