,Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
0,6901,"**Київ: важливе на сьогодні **🔵🟡

**📲У міському застосунку «Київ Цифровий» тепер можна голосувати за електронні петиції. **Це вже третій інструмент е-демократії у застосунку після голосування за проєкти Громадського бюджету і дерусифікацію.

**🏭У Києві виконають частину енергоефективних проектів у житлових будинках за програмою «70/30%».** Місто посилено готується до опалювального сезону: проводять планові роботи, накопичують запаси резервного палива та встановлюють генератори.

⛈**У столиці 17 серпня знову очікуються грози: гідрослужби КК «Київавтодор» продовжують роботу у посиленому режимі. **На місцях імовірних підтоплень чергують бригади із технікою.

**Детальніше:** https://cutt.ly/DXjQH5H

**Kyiv: important news** 🔵🟡

**📲Now you can vote on electronic petitions in the Kyiv Digital (Київ Цифровий) app.** This is now the third e-voting tool in the app after the vote on the Public Budget and derussification projects.

**🏭In Kyiv, some of the 70/30% program's energy-efficient projects in residential buildings will be implemented in preparation for the heating season.** Kyiv is intensively preparing for the heating season: scheduled works are being carried out, fuel reserves are being accumulated, and generators are being installed.

**⛈Thunderstorms are again expected to hit Kyiv on August 17. Kyivavtodor's hydraulic service units continue to operate in an enhanced mode. **The hydraulic service units are watching the sites of possible flooding.

**More details:** https://cutt.ly/DXjQH5H",,,,,,
1,6902,"**📲У міському застосунку «Київ Цифровий» тепер можна голосувати за електронні петиції

**✔️Як [повідомив](https://t.me/olenych_digital/201?single) керівник цифрової трансформації Києва і заступник голови КМДА Петро Оленич, це вже третій інструмент е-демократії у застосунку після голосування за проєкти Громадського бюджету і дерусифікацію.

✔️У застосунку «Київ Цифровий» користувачі зможуть:

▪️переглянути опубліковані на сайті петиції та детальну інформацію про них
▪️підтримати петицію
▪️відслідковувати прогрес підписаних ними петицій.

ℹ️Електронна петиція – це сервіс для громадян, який дає змогу донести свої ініціативи до Київської міської ради. У разі отримання 6000 підписів ініціативи розглянуть і за можливості виконають. Петиції можуть стосуватися будь-якого питання, яке належить до компетенції Київської міської ради, Київської міської державної адміністрації та їхніх структурних підрозділів.",,,,,,
2,6903,🍒**У Києві цього тижня тривають продуктові сільськогосподарські ярмарки – ****https://cutt.ly/XXgxug9**,,,,,,
3,6904,"🚇**Станція метро «Теремки» працює у звичайному режимі

**«Київський метрополітен» перепрошує за тимчасові незручності!",,,,,,
4,6905,"⚡️🚇**Станція «Теремки» зачинена на вхід та вихід для пасажирів у зв’язку із задимленням у підземному переході
**
На місце викликано всіх необхідних фахівців. 

Про відкриття станції буде повідомлено додатково.",,,,,,
5,6906,"**Київ: важливе на сьогодні **🔵🟡

**🚲 Нове асфальтове покриття, бруківка на тротуарах і велодоріжки: на вулиці Івана Франка закінчили капітальний ремонт**. Вулиця стала зручнішою й безпечнішою для пішоходів. На пішохідних переходах з’явились антикишені, які розширяють тротуар, а щоб водії не паркували авто на тротуарах, встановили близько 500 стовпчиків.

**❗️Киянам нагадують про необхідність неухильно дотримуватися комендантської години, яка триває із 23:00 до 5:00**. Виходити під час комендантської години можна тільки у разі отримання сигналу про повітряну тривогу, аби дістатися найближчого укриття. При цьому, обов’язково мати з собою документ, який посвідчує особу.

**⏰ У застосунку «Київ Цифровий» можна увімкнути сповіщення, що за 60 хвилин нагадуватиме про початок комендантської години. **Для цього необхідно підключити нагадування в налаштуваннях застосунку.  О 22:00 сповіщення нагадає, що потрібно поквапитися додому.

**🦠У Києві за минулий тиждень виявили 316 хворих на коронавірус**. Міська влада нагадує, що єдиний дієвий спосіб уберегти себе від важкого перебігу хвороби – це щеплення.

**🐶🐱У столиці провели безоплатний тренінг із надання невідкладної допомоги тваринам, до якого долучилось більше ста містян**.

**Детальніше:** [https://bit.ly/3A4NLcK

](https://bit.ly/3A4NLcK)**Kyiv: important news** 🔵🟡

**🚲** **New asphalt surfaces, paving stones on sidewalks, and bike lanes: the capital repairs on Ivan Franko Street have been completed**. Crosswalks now have raised medians that expand the sidewalk so that drivers don't park their vehicles on sidewalks. Approximately 500 bollards have been installed.

❗️**Kyivans must strictly follow the curfew, which lasts from 23:00 to 5:00.** You can go outside during curfew only if there is an air raid signal and only to get to the nearest shelter. Please make sure to have an ID with you.

⏰ **The Kyiv Digital (Київ Цифровий) app has a useful feature. It can send notifications an hour prior to the start of curfew**. To receive notifications, enable the feature in the app's settings. The app will remind you that it's time to hurry home at 22:00.

**🦠316 cases of coronavirus were reported in Kyiv last week**. The local authorities want to remind everyone that vaccination is the most effective way to prevent severe disease.

**🐶🐱A training session on providing emergency medical care to animals was attended by over 100 citizens**.

**More details:** https://bit.ly/3A4NLcK",,,,,,
6,6907,"**📲У застосунку «Київ Цифровий» можна увімкнути сповіщення, що за 60 хвилин нагадуватиме про початок комендантської години

**✔️Як [повідомив ](https://t.me/olenych_digital/199)заступник голови КМДА Петро Оленич, для цього необхідно підключити нагадування в налаштуваннях застосунку. 

🔔О 22:00 сповіщення нагадає, що потрібно поквапитися додому.",,,,,,
7,6908,"**⛈Сьогодні до кінця доби і завтра у Києві очікуються грози –  Укргідрометцентр

**❗️Під час сильного вітру необхідно триматися подалі від рекламних щитів, ліній електропередачі, дерев, а також не паркувати поряд із ними автотранспорт.

✔️Під час грози на місцях можливих підтоплень дорожньої мережі чергуватиме спецтехніка КК «Київавтодор». Загалом підприємства «Київавтодору» мають 91 одиницю спецтехніки і спецзасобів для ремонту та очистки системи зливової каналізації. Серед них мотопомпи, гідромонітори, насосні станції.

📞У разі підтоплень проїжджої частині чи тротуарів звертайтесь до диспетчерської: 044-284-74-19.

🚒При падінні дерев чи гілок, при травмуванні людей тощо негайно інформувати екстрені служби: 101 або 103. Телефон КАРС: 044-430-37-13.",,,,,,
8,6909,"**Нове асфальтове покриття, бруківка на тротуарах і велодоріжки: на вулиці Івана Франка закінчили капітальний ремонт

**✔️Вулиця стала зручнішою й безпечнішою для пішоходів. На пішохідних переходах з’явились антикишені, які розширяють тротуар, а щоб водії не паркували авто на тротуарах, встановили близько 500 стовпчиків.

✔️Для людей з інвалідністю, батьків із дитячими візками збудовано пандус на перетині вулиць Івана Франка і В’ячеслава Липинського. На тротуарах вставили тактильну плитку і тактильні напрямні. А в розмітці пішохідних переходів використали яскраві смуги-орієнтири.

🚲Вулиця стала «дружньою» до велосипедистів. Окрім велодоріжки, влаштували 11 велопарковок.

✔️У рамках ремонту оновили сходи до вулиці Ярославів Вал.  Сходи добре освітлюються і стали місцем прогулянок вечірнім Києвом.

🌳На всій протяжності вулиці оновлено газони і висаджено близько 30 дорослих платанів.",,,,,,
9,6910,"**🚌 Відзавтра, 14 серпня, автобуси маршруту № 21 курсуватимуть із заїздом до станції метро «Почайна» 

**🔁Роботу автобусів буде організовано в напрямку руху до станції метро «Почайна» за постійною схемою руху, в зворотньому напрямку: проспект Оболонський – проспект Степана Бандери, далі за постійною схемою.

ℹ️Нагадаємо, автобус №21 курсує від вулиці Милославської до Залізничної станції «Зеніт».

🚋Крім того, із 15 серпня буде відновлено роботу трамвайного маршруту № 28: вулиця Милославська – станція метро «Лісова».",,,,,,
