Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
3001,"**Донбасс и Запорожье в цифрах

**Согласно открытым данным, **территории ДНР и ЛНР, а также Херсонской и Запорожской областей обладают высоким экономическим и промышленным потенциалом. **Так, **посевные площади** **Херсонской области **составляют **1 968 тысяч гектар**, что **соответствует** общей **площади Словении**. Кроме того, **Херсонская** **и Запорожская области** могут войти в **ТОП-3 регионов по валовому сбору зерна**. 

**Объем добычи Запорожского железорудного комбината **составляет **4,5 млн тонн**, что в **9 раз превышает** совместный показатель добычи **немецких предприятий** (**0,53 млн тонн**). Кроме того, **Запорожская АЭС** способна производить почти **столько же электроэнергии, как и все атомные электростанции** **Индии**. 

Также стоит отметить, что общая **стоимость месторождений полезных ископаемых Донбасса** составляет **730 трлн рублей**; для сравнения: **ВВП РФ** за 2022 год составил **131 трлн рублей**.",,,,,,
3002,"Гроб для Байдена заметили под Москвой 

С надписью: «Саркофаг плешивого Байдена»",,,,,,
3003,**Разбитые позиции ВСУ**,,,,,,
3004,"**Соловьёв вышел в эфир с синяками и ссадинами на лице. 

**Кажется, у журналиста выдалась нелёгкая ночь, потому что утренний эфир «Соловьев Live» он провёл вот в таком виде .",,,,,,
3005,В Архангельске водитель  снёс пятилетнюю девочку.  Ребенок получил перелом левой ключицы и ссадину на лбу,,,,,,
3006,"Российские военные стали активно использовать тактику ВСУ, используя дроны для метания мелких боеприпасов.",,,,,,
3007,"В Одессе все как обычно, какой-то вурдалак поймал ""белку"" и устроил бой с невидимым противником...",,,,,,
3008,"**Владимир Соловьев разбушевался и выдал эпичную речь после того, как узнал, что в РФ вернулся** Алексей Панин:

__""Вот сейчас в Россию приехал мерзавец, подонок, ничтожество по фамилии Панин. Как эту убогую мразь могли пустить в Россию — я понимаю. Потому что нет никакого механизма, по которому гражданина России мы не можем пустить в страну. Панин 2 сентября выпустил ролик против СВО на Украине и в слезах потребовал убивать всех русских без исключения. Эту мразь почему до сих пор не арестовали? Почему он до сих пор не в тюрьме?""__",,,,,,
3009,"Представляем новый выпуск нашего проекта

Открываем цикл выпусков, в которых подробно разберём украинские и западные фейки, которые в огромном количестве штампуются с первых дней спецоперации.

Созданием фейков о победах, которые необходимы Киеву в качестве духоподъёмного инструмента, занимаются подразделения спецслужб стран НАТО и Украины.

Наша задача — показать, что хотя истина и многолика, но она одна.

👉🏻 [Ведомство](https://t.me/+hC6fbyI08H9iYzVi)",,,,,,
3010,"Воин ВСУ ведет стрельбу из станкового противотанкового гранатомёта СПГ-9 прямо в квартире жилого дома, а потом будут рассказывать, как Российские войска бьют по жилым домам...",,,,,,
3011,"В Омской области пездюки пытались перебежать дорогу в неположенном месте, но тут неожиданно появился автомобиль и снёс одного из мальцов. 9-летний мальчик отлетел на несколько метров.

Пострадавшего оперативно доставили в больницу с различными травмами",,,,,,
3012,"Власти Конго торжественно открыли пешеходный мост, **но есть один нюанс**…",,,,,,
3013,Сходил в этот ваш барбершоп,,,,,,
3014,"**🤬🇺🇦Украинские полицаи кошмарят «опасных преступников»

**Тыловые правоохранители отбирают у жителей последние средства к существованию: например, у 80-летней пенсионерки урожай, который она продаёт, чтобы выжить",,,,,,
3015,"**""Вот учитесь, хохлы, не бабки отмывать, а строить! Вот это кацапы красавцы!""** 

Так очень непосредственный житель Мариуполя восторгался новым зданием Мариупольской больницы, которую русские построили за 3 месяца. От Украины Мариуполь не видел ничего подобного все 30 лет.",,,,,,
3016,"**В Иране двух ЛГБТ-активисток приговорили к смертной казни из-за «пропаганды гомосексуализма».

**31-летнюю Захру Седики Хамедани (на фото) и 24-летнюю Эльхам Чубдар осудили согласно закону “Мофсед-и-филарц” — обвинение, предъявляемое в Иране при нарушении законов шариата",,,,,,
3017,В Краснодаре девушка  торговала пилоткой прямо на улице.  Желающие нашлись быстро.,,,,,,
3018,Что-то должно было разбится,,,,,,
3019,"❗️🇺🇦**Киевские военкомы провели рейд по 427 ночным клубам и вручили аж 119 повесток.

**МоГилизация прошла «успешно», так как остальные несколько тысяч посетителей призывного возраста из-за связей и толстых кошельков призыву не подлежали.",,,,,,
3020,"#Денацификация неизбежна🔥

""Воины света"" попали в засаду, попытались спастись, но что-то пошло не так😎",,,,,,
3021,Очереди за бесплатным хлебом в Украине🇺🇦,,,,,,
3022,**🏳️🇺🇦Российские бойцы берут в плен боевиков ВСУ во время боя.**,,,,,,
3023,"В уфимской Шакше таксист переехал упавшую перед машиной женщину.

На помощь тут же поспешили очевидцы. Мужчины, собравшись, разом подняли авто и убрали его в сторону, а на место были вызваны медики. Сообщают, что женщина чудом осталась жива — лежит в больнице с серьезными травмами",,,,,,
3024,Алконафты устроили эпичный махач у в Одессе🇺🇦,,,,,,
3025,"❗️**В Бердянске был взорван автомобиль принадлежащий властям(РФ),** после чего произошла перестрелка. 

Как минимум один человек в больнице, сообщили СМИ.",,,,,,
3026,Угадайте страну по фотографии.,,,,,,
3027,🇷🇺🇺🇦 Донбасс. Всё что осталось от украинского Ми-8.,,,,,,
3028,"😂🇺🇦**Ну теперь всё понятно

**Хлопец признался, что к чему.",,,,,,
3029,"**🤬🇰🇿Очередной случай национализма по отношению к русским в Казахстане.

**Казашка-националистка требовала русскую кондукторшу говорить с ней на казахском, ведь они находятся в Казахстане.🤬",,,,,,
3030,Кадры последствия утреннего прилёта по целям ВСУ в Кривом роге🇺🇦. По предварительным данным горит нефтебаза.,,,,,,
3031,"В аэропорту Домодедово пьяный мужик пошутил что у него в сумке бомба.  

Шутка не особо удалась",,,,,,
3032,"🇷🇺🇺🇦 Кадры работы российских РСЗО БМ-21 ""Град"" на шасси Камаз 5350 по позициям ВСУ.",,,,,,
3033,"Рамзан Кадыров заявил, что “никогда не перейдет” с должности руководителя Чечни в другое ведомство.👌",,,,,,
3034,Жестко полетел,,,,,,
3035,"В Одессе, вот так дети обращаются с собаками, а потом собирают на лечение, когда их покусали🇺🇦",,,,,,
3036,"Этиловые самураи сцепились у пивнухи в городе Волжский. Итог печальный: один убил другого.

«33-летний подозреваемый в компании знакомых отдыхал в заведении. В какой-то момент между ним и 38-летним знакомым произошла ссора. Затем оба мужчины решили выйти на улицу «поговорить». Разговор закончился дракой, в ходе которой погибший мужчина упал на землю, а нападавший, упав вместе с ним, девять раз ударил его локтем по голове. От полученной черепно-мозговой травмы мужчина скончался»",,,,,,
3037,"В Киеве две малолетние хуебляди сильно избили и залили перцовым баллончиком беззащитную девочку, которая даже не сопротивлялась. 

Что думаем ребят?",,,,,,
3038,"🔥🇷🇺🇺🇦 Донбасс. То, что осталось от транспортного средства ВСУ.",,,,,,
3039,🇳🇱Нидерланды отказывают в приеме украинских беженцев,,,,,,
3040,"Взгляд со стороны😎
Действия солдата ВСУ при прилетах артиллерийских снарядов",,,,,,
3041,"**К присоединению Львова готовы 🇵🇱

**На видео поляки гонят со спортплощадки ,сбежавшего от мобилизации в Польшу украинца 

«Украинских беженцев в Европе встречают как богов»- Арестович Март 2022",,,,,,
3042,Петю можно понять,,,,,,
3043,"**Боевые водилы устроили замес на дороге

**В Москве автолюбителю вышли попрактиковаться в спарринге и заодно решить, кто из них прав по ПДД",,,,,,
