Channel ID,Post ID,Date,Post,post_translated
1129015804,14541,2022-12-23 14:33:01+00:00,"Ресурсы связанной с ""Аль-Каидой"" группировки ""Аш-Шабаб"" опубликовали видеозапись нападения на блокпост проправительственного ополчения в сомалийской провинции Гальгудуд. При теракте погибли не менее десяти силовиков.","Al-Qaeda-linked sources from the Ash-Shabaab group have released a video of an attack on a pro-government militia's block post in the Somali province of Galguduud, killing at least ten security forces."
1283359437,37914,2022-06-27 20:10:33+00:00,"**__Военный эксперт Борис Рожин с краткой сводкой по итогам операции по денацификации и демилитаризации Украины на 23.10 27 июня 2022 г. специально для канала Vоенкор Котенок Z __****__@voenkorKotenok__**__**:  **
**1.  
Северодонецк. 
**__Большую часть гражданских лиц, удерживавшихся в заложниках, вывели с территории завода «Азот». Сам завод после восстановления продолжит работу. 
Продолжается прочесывание промзоны и лесопосадок рядом с Боровским и Сиротино. Активизированы фильтрационные мероприятия. 
Прямого штурма Лисичанска со стороны Северодонецка не ожидается — мосты разрушены + сам Лисичанск стоит на возвышенности. Интенсивность обстрелов Северодонецка упала — основные усилия артиллерия противника прикладывает для удержания фронта под Лисичанском.
**__2.  
Лисичанск. 
__**Бои за Верхнекаменку, Лисичанский НПЗ и заводы на южных окраинах города. 
Бои за Белую Гору. 
Горловина Лисичанского котла — до 8 км. Реальный маршрут выхода на Северск теперь есть только через Белогоровку, но эта дорога уже находится под огневым воздействием российской артиллерии. Украинская пропаганда уже готовит общество к сдаче Лисичанска. В ЛНР заявляют, что город будет освобожден до конца недели.
**__3.  
Артемовск. 
__**Бои в Клиновом и в районе Покровского. Противник укрепил оборону города, осуществляя ротацию потрепанных бригад, оборонявших город. Нажим ВС РФ на Артемовск в ближайшей перспективе будет усиливаться, но без взятия Покровского к прямому штурму города вряд ли приступят. 
В районе Светлодарска пока без существенных изменений.
**__4.  
Соледар. 
__**Бои у Берестово, Белогоровки и у трассы Лисичанск—Артемовск в районе Николаевки. 
Соледар после потери Лисичанска станет элементом оборонительной линии Соледар—Северск, на которой ВСУ попытаются удержать фронт к северу от Артемовска. После взятия Лисичанска стоит ждать наступления в направлении Северска и Соледара с севера.
**__5.  
Харьков. 
__**Позиционные бои в районе Цуповки, Уды, Дементьевки, Верхних Проходов и Верхней Салтовки. Противник практически полностью перешел к обороне. Усиливается огневое поражение позиций ВСУ у Харькова и Чугуева. Также прощупывают район Золочева. 
**__6.  
Славянск. 
__**Бои у Долины, Краснополья, Богородичного, Пришиба и Сидорово. Противник отмечает некоторое продвижение ВС РФ к Славянску. Также усиливается огневое поражение сил противника в районе Северска. 
На Изюмском направлении без существенных изменений.
**__7.  
Авдеевка. 
__**На фронте без существенных изменений. Как и ранее бои в промке, на у трассы Авдеевка—Константиновка и на окраинах Нью-Йорка. 
Усиливается контрбатарейная работа, что, впрочем, пока не останавливает обстрел городов Донбасса. Сегодня снова были убитые и раненые гражданские.
**__8.  
Змеиный. 
__**ВСУ заявляют, что в результате обстрела острова Змеинный смогли добиться попадания в ЗРПК «Панцирь». О других успехах не сообщается. Заявляется, что Зеленский дал приказ попытаться отбить Змеиный у ВС РФ за 2 недели. Видимо на других участках шансов на «контрнаступление» еще меньше.
**__9.  
Николаев. 
__**Позиционные бои на Никопольском, Криворожском и Николаевском направлениях. Наступление ВСУ остается тут сугубо виртуальным. Украинское командование уже открытым текстом призывает прекратить писать про «успехи ВСУ», так как картина «наступления» становится все более нелепой на фоне многочисленных кадров уничтожения живой силы и техники ВСУ ракетными и артиллерийскими ударами.
**__10.  
Запорожье. 
__**На линии Каменское—Орехов—Гуляйполе—Великая Новоселовка без существенных изменений. 
Бои в районе Угледара и Павловки. В Новомихайловке и Марьинке без изменений. Активности противника с наступлением на Павловку и Егоровку хватило ненадолго.

@voenkorKotenok",**__Military expert Boris Rozin with a brief summary of the results of the operation on denatification and demilitarization of Ukraine on 23.10 27 June 2022 specifically for the channel Voenkor Kotenoc Z __****__@voenkorKotenok__**__******: ****1. North Donetsk. **__Most of the civilian persons held hostage were taken out of the territory of the Azot plant. The restore plant will continue to work after 23.10 June 2022.
1080134301,20423,2022-12-01 08:40:01+00:00,"**Пассажирка метро напала с ножом на москвичку за громкий разговор по телефону.

**Женщины ехали в одном поезде, между станциями Говорово и Минская пассажирка набросилась с ножом на 36-летнюю москвичку: женщине не понравилось, что соседка по вагону громко говорит по телефону. Нападавшая ранила пассажирку в лицо. 50-летнюю женщину задержали на станции Октябрьское поле, возбуждено дело по статье «Угроза убийством».","**A passenger on the metro attacked a Moscow girl with a knife for a loud phone conversation. **Women were driving in one train, between the stations of Govorovo and Minsk a passenger threw a knife at a 36-year-old Moscow girl: the woman did not like that the neighbor on the wagon was talking loudly on the phone."
1247556894,3152,2022-04-04 18:10:09+00:00,"Розумію, що киянам, які виїхали з міста, хочеться чим швидше повернутися додому.

Однак, прошу утриматися від цього принаймні ще тиждень. 
Також прошу не повертатися поки до своїх домівок жителів звільнених від окупантів передмість Києва.

По-перше, в кількох районах Київській області зараз діє цілодобова комендантська година. Також у містах біля столиці, де тривали бої, виявляють велику кількість вибухонебезпечних предметів. Які можуть становити велику загрозу.

Не виключаємо ми і вірогідності ракетних обстрілів. Так, наші сили ППО працюють на відмінно. Але, все може статися. Тож  прошу людей трохи почекати і не повертатися.","I understand that the Kiyan people who left the city want to return home as soon as possible. However, I ask you to stay away from this for at least a week. I also ask you not to return until you reach your homes of the residents who were freed from the occupants in front of the city of Kiev. First of all, in several areas of the Kiev region there is now a full-time police clock. Also in the cities near the capital, where the fighting has been going on, there is a large number of explosive objects. They can pose a great threat. We do not exclude the possibility of missile shelling."
1093357968,13253,2022-10-21 16:53:48+00:00,"❗️ЭКСКЛЮЗИВ❗️

🔥На Соледарском направлении казаки 6-го Казачьего Полка проводят зачистки улиц под прикрытием танка. 
Заняли ключевую улицу, для наиболее эффективного продвижения.

Любо Казакам❗️❗️❗️

Евгений Лисицын @evgeniy_lisitsyn","️EXCLUSIV️ 🔥In the Soldier direction, Cossacks of the 6th Cossack Regiment are clearing streets under the cover of a tank."
1498939244,36232,2022-12-20 12:31:55+00:00,"Ещё кадры с последствиями ночного обстрела Калининского района Донецка.

Пострадал жилой сектор, медицинский университет и больница.","The victims include the residential sector, medical university and hospital."
1469021333,11669,2022-04-09 16:58:04+00:00,"🤣Тим часом пропагандонам рве дах..
Вже з «сатаністами і бісами» воюють😁",🤣These days the propagandists are ripping their roofs off... already fighting with Satanists and bastards 😁
1457892982,24979,2022-09-10 17:46:12+00:00,"**Народное творчество не остановить😏

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",**The people's creativity will not stop😏 **[Informator]
1457892982,26732,2022-10-08 15:52:37+00:00,"**Новые кадры из Крымского моста. Работает 1 полоса. Цистерны стоят

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",**New footage from the Crimean Bridge. 1 lane is working. Cisterna is standing **[Informator] **https://t.me/+LV7tr2_vgu02NjAy)
1144404150,12095,2022-03-05 06:22:47+00:00,"⚡️Гуманитарные коридоры и маршруты выхода согласованы с украинской стороной — Минобороны РФ.

@warjournaltg",️Humanitarian corridors and exit routes agreed with the Ukrainian side  Russian Defense Ministry. @warjournaltg
