,Post,Trans,Label,Type_Expanded
0,"Украинская студентка не вывезла спор о Киевской Руси с российским блогером, который преподал урок истории

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","The Ukrainian student didn't bring the discussion about Kyivan Rus' with the Russian blogger, who gave the history lesson, to an argument.

[🔞 Subscribe to Daily Horror](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
1,"Путин поздравил с наступающим Новым годом лидеров Абхазии, Азербайджана, Армении, Белоруссии, Казахстана, Киргизии, Таджикистана, Туркмении, Узбекистана, Южной Осетии, Боливии, Бразилии, Венгрии, Венесуэлы, Вьетнама, Индии, Китая, Кубы, Никарагуа, Сербии, Сирии, Турции, а также Берлускони, Кочаряна, Назарбаева, Саргсяна и Шрёдера

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Putin wished leaders of Abkhazia, Azerbaijan, Armenia, Belarus, Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, South Ossetia, Bolivia, Brazil, Hungary, Venezuela, Vietnam, India, China, Cuba, Nicaragua, Serbia, Syria, Turkey, as well as Berlusconi, Kocharyan, Nazarbayev, Sargsyan, and Schroeder a happy New Year.

[🔞 Subscribe to Daily Awesomeness](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
2,"Рисовый блогер провёл эксперимент и выяснил, что если держать в руке кирпич, то водители останавливаются перед лужами.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","The rice blogger conducted an experiment and found out that if you hold a brick in your hand, drivers will stop at puddles.

[👉 Subscribe to Daily Awesomeness](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
3,"Спина теперь точно болеть не будет

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","The back will definitely not hurt now.

[🔞 Subscribe to Daily Awesomeness](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
4,"**Настоящие герои** 💪

[👉🏻 Трогает за душу](https://t.me/trogaetdushu)","**True Heroes** 💪

[👉🏻 Touches the Heart](https://t.me/trogaetdushu)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
5,"**Встреча заклятых друзей в неожиданном месте!

Киркоров не ожидал увидеть DAVA в Insight People!

Просто зашел в гости, решил отметить Новый Год с Тиной Канделаки, а там ОН!

Внезапно. Неловко вышло!**","**Meetup of sworn friends in an unexpected place!

Kircorov didn't expect to see DAVA at Insight People!

Just dropped by to celebrate New Year with Tina Kandelaki, and there he was!

Suddenly. Awkward!**",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
6,"**Тренд, который мы заслужили **👍

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","**The trend we earned** 👍

[🔞 Follow Daily Awkwardness](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
7,"Кто ты, воин?

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Who are you, warrior?

[🔞 Subscribe to Daily Awesomeness](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
8,"Предновогодняя суета в Киеве чуть женщину до инфаркта не довела.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","The pre-New Year hustle in Kyiv nearly gave a woman a heart attack.

[🔞 Subscribe to Daily Horror](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
9,"У деревни Горбаха Ивановского района Брестской области на месте падения украинской ракеты С-300 продолжаются следственные мероприятия

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","In the village of Gorbaha, in the Ivanovsky district of Brest Oblast, investigative activities continue at the site where a Ukrainian S-300 missile fell.

[🔞 Subscribe to Zvo纳尼在说中文？你的要求是将俄语翻译成英语，而不是中文。以下是正确的翻译：

In the village of Gorbaha in the Ivanovsky district of Brest Oblast, investigative activities continue at the site where a Ukrainian S-300 missile fell.

[🔞 Subscribe to Zvoinaukraina](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
10,"В Амурской области самый добрый дед мороз 😁

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","In Amur Oblast, the kindest Grandfather Frost 😁

[🔞 Subscribe to Daily Awesomeness](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
11,"Жаль этого стримера...

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","It's unfortunate for this streamer...

[🔞 Subscribe to Daily Horror](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
12,"**Рамзан Кадыров поотжимался после окончания ""прямой линии ""**

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Ramzan Kadyrov did push-ups after the ""direct line"" session.

[🔞 Subscribe to Daily Shock](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
13,"😅**Ничего необычного, просто Тесла в** **украинских реалиях стала ещё умнее

**Какие времена, такие и лайфхаки.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","😅**Nothing unusual, just Tesla became even smarter in Ukrainian realities.

Times have changed, as have the hacks.

[🔞 Subscribe to Daily Awesomeness](https://t.me/zvoinaukraina)**",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
14,"Этиловый воин из Магнитогорска слишком рано начал отмечать НГ и обосрал лифт. На этом его мерзкие приключения не закончились — синяк **начал валяться в собственных экскрементах, после чего подрочил и уснул**.

Проснулся каловый дрочер после приезда полицейских

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","The ethanol worker from Magnitogorsk celebrated New Year's too early and pooped in the elevator. His disgusting adventures didn't end there — a black eye started dripping feces, then he masturbated and fell asleep.

The fecalmasturbator woke up after the police arrived.

[🔞 Subscribe to Daily Shame](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
15,"И где он не прав?

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Where is he not right?

[🔞 Subscribe to Daily Awkward Moments](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
16,"**«Всё, не заплачьте, а то мне сейчас больно будет, ладно? Всё, успокойтесь, пожалуйста, не плачьте. Я могу с вами побыть, я хочу, чтобы вы успокоились»: **житель Петербурга попытался ограбить ломбард на проспекте Науки, но сотрудница заплакала, из-за чего мужчина впал в ступор.

Ранимый грабитель начал разговаривать с ней по душам, чтобы успокоить, и ушёл ни с чем, пожелав хороших праздников после трогательного диалога.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","**""Everything, don't cry, or it will hurt me now, okay? Everything, please calm down, don't cry. I can stay with you, I just want you to calm down"":** A resident of St. Petersburg attempted to rob a pawnshop on Prospect Nauchny, but the employee started crying, which caused the man to become confused.

The sensitive robber began talking to her consolingly to calm her down and left empty-handed, wishing her a good holiday after their touching conversation.

[🔞 Subscribe to Daily Horror](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
17,"🫠**«Самое ужасное было, когда я летел эконом-классом» – Гном Гномыч поделился актуальными проблемами типичного 9-летнего ребенка**

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","**""The worst was when I traveled in economy class"" – Gnom Gnomych shared typical issues of a 9-year-old child**

[🔞 Subscribe to Daily Awesomeness](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
18,"Настроение на Новый год

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","New Year's mood

[🔞 Follow Daily Awesomeness](https://t.me/zvoinaukraina)",No,"This post does not describe a human rights violation as there is no act of military or government forces intentionally harming or killing citizens, destroying civillian's property, sexual violence, torture, execution or abuse of detaineesand refugees. Criminal act is not a Human rights violation if they are committed by civilians."
