,Post,Trans,Label,Type,Type_Expanded
0,"Талиб избивает девушку, протестующую против запрета на получение высшего образования.",Taliban beats a girl who is protesting against the ban on higher education.,,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
1,"Киевская область, удар украинской ракеты ПВО по жилому району, ранены 3 человека.","Kyiv Oblast, a Ukrainian air defense rocket struck a residential area, injuring 3 people.",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
2,Украинская ракета ПВО приземлилась на жилой дом в Киевской области.,A Ukrainian air defense rocket landed on a residential building in the Kyiv region.,,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
3,"В посёлке Подгоренский Воронежской области около кафе «Людмила» произошел взрыв — **военнослужащий бросил гранату в оппонентов во время массовой драки.

**Все произошло в ночь с 23 на 24 декабря. Около 19 часов вечера доброволец Иван К. и его мобилизованный товарищ Артём Ш. отпросились у руководства и отправились в посёлок за продуктами. Но одними продуктами сыт не будешь — парни решили чуть выпить в местном кафе. Дело близилось к ночи и у парней начался конфликт с другими посетителями. Для обсуждения возникшего недопонимания спорившие вышли на улицу, где и началась массовая драка.

В какой-то момент Иван решил, что этот махач себя исчерпал, достал гранату и бросил в сторону своих оппонентов. В результате взрыва пострадал один человек. Кроме того было повреждено два припаркованных автомобиля, а у кафе выбило стекла.","In the Podgorensky settlement of Voronezh Oblast near the cafe ""Lyudmila,"" an explosion occurred—during a mass fight, a serviceman threw a grenade at his opponents.

The incident took place on the night of December 23 to 24. Around 7:00 PM, volunteer Ivan K. and his mobilized comrade Artem Sh. left their leadership's permission to go to the village for groceries. But they weren't satisfied with just groceries; the guys decided to have a drink at a local cafe. As it grew late, a conflict erupted between them and other patrons. To discuss the misunderstanding, the disputing parties went outside, where the mass fight began.

At some point, Ivan thought the fight was over and pulled out a grenade, throwing it towards his opponents. One person was injured as a result of the explosion. Additionally, two parked cars were damaged, and the cafe's windows were shattered.",,,"This post describes multiple human rights violations, including both deliberate harm to civilians and intentional destruction of civilian property or infrastructure. Civilians may be attacked directly, and their homes or essential facilities may be damaged or destroyed. The post reflects a combination of violence against people and violence against civilian structures."
4,"Полицейский беспредел в Нижегородской области

Полицейские задержали Александра Шарфутова в состоянии алкогольного опьянения и оставили на ночь в отделе. Когда он попросил теплые вещи из-за холода в камере, полицейский начал бить его электрошокером по телу и лицу. Избиение Шарфутова попало на камеру наблюдения в отделе полиции.

Когда на следующий день судья спросил о причинах травм, Шарфутов рассказал о случившемся. В суд приехали медики, а Следственный комитет возбудил уголовное дело. Известно, что сотрудник полиции был уволен из органов.","Police brutality in the Nizhny Novgorod region

Police detained Alexander Sharfutov while intoxicated and held him overnight at the station. When he asked for warm clothes due to the cold in the cell, the officer began shocking him with a Taser on his body and face. The beating was captured on a police station surveillance camera.

When the judge asked about the cause of his injuries the next day, Sharfutov recounted the incident. Medics arrived in court, and the Investigative Committee opened a criminal case. The officer has since been dismissed from the force.",,,"This post describes a human rights violation involving mistreatment, coercion, intimidation, or abuse of detainees or prisoners. It may involve forced confessions, physical or psychological pressure, humiliation, or denial of basic rights. The focus is on abuse that occurs during detention, interrogation, or captivity."
5,"Пленные из 80-й бригады.
Эта бригада памятна расстрелом наших пленных.","Captives from the 80th brigade.
This brigade is known for executing our captives.",,,"This post describes a human rights violation involving mistreatment, coercion, intimidation, or abuse of detainees or prisoners. It may involve forced confessions, physical or psychological pressure, humiliation, or denial of basic rights. The focus is on abuse that occurs during detention, interrogation, or captivity."
6,Пожар на заводе «Антонов» — предприятии авиационной промышленности в Киеве после сегодняшней атаки ВС РФ.,"A fire broke out at the Antonov plant, an aviation industry enterprise in Kyiv, following today's attack by the Russian Armed Forces.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
7,"**🤦🏻‍♂️Опасная преступница повержена

**Офицер американской полиции применяет специальное электрошоковое средство Taser против безоружной женщины в одном из супермаркетов.

Сотрудник несколько раз даёт разряд в 50 тысяч (!) вольт.

**Повезло, что не застрелили**","**🤦🏻‍♂️The dangerous criminal has been subdued.

An American police officer uses a Taser against an unarmed woman in one of the supermarkets.

The officer gives her several shocks of 50,000 volts (!).

Fortunately, she wasn't shot.**",,,"This post describes a human rights violation where military or government forces intentionally harm or kill civilians. It may involve direct attacks on unarmed individuals, deliberate use of lethal force, or actions that result in civilian casualties. The core focus is violence directed at non-combatants."
8,"💥 **В Киеве прозвучали взрывы**. Николаевская область взрывы

Также мэр Харькова заявил о взрывах на инфраструктурных объектах.

Также сообщается о запуске 8 ракет «Калибр» с акватории чёрного моря.","💥 **Explosions were heard in Kyiv.** There were also explosions in Nikopol region.

Additionally, the mayor of Kharkiv reported explosions at infrastructure facilities.

It is also reported that 8 Kalibr missiles were launched from the Black Sea.",,,"This post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. It includes attacks on homes, residential buildings, or essential facilities such as hospitals, schools, and utilities. The emphasis is on targeted damage meant to intimidate, displace, or harm civilian life."
9,"ВСУшники для просмотров в тик токе продолжают приматывать своих ""побратимов"" к деревьям, которые решили ""немного выпить""","Ukrainian Armed Forces soldiers continue to tie their ""brothers"" to trees that have decided to ""have a little drink"" for TikTok views.",,,"This post describes a human rights violation involving mistreatment, coercion, intimidation, or abuse of detainees or prisoners. It may involve forced confessions, physical or psychological pressure, humiliation, or denial of basic rights. The focus is on abuse that occurs during detention, interrogation, or captivity."
