Post,Trans,Label,Type,Index
"**Мигранты, лишённые гражданства России, должны возместить потраченные на них бюджетные средства**

Криминал в мигрантской среде продолжает расти. Только за 5 месяцев 2025 года количество преступлений, совершённых приезжими, в сравнении с прошлым годом увеличилось на 10% и составило около 19 тысяч.

Попадаются на всём — убийствах, изнасилованиях, госизмене, шпионаже и т. д. Их, конечно, осуждают и лишают гражданства. **Так, за прошлый год органы МВД приняли решение о прекращении гражданства РФ в отношении почти двух тысяч натурализованных лиц.**

Но этого мало. **Государство потратило на всю эту мразь значительные средства, которые могли бы пойти на нужды законопослушных русских людей. **Это несправедливо и нерационально!

**Мы **[**предлагаем**](https://www.gazeta.ru/politics/news/2025/09/01/26619170.shtml)** в законодательном порядке обязать всех мигрантов, лишённых гражданства РФ, возмещать потраченные на них бюджетные средства за образование, медпомощь и т. п. **

Тогда русские люди увидят, что государство действует в их интересах, **не позволяя всякой нечисти жить за счёт коренного населения. **А многие мигранты крепко задумаются, прежде чем беспредельничать на нашей земле.

**🇷🇺** Мой канал в [MAX](https://max.ru/slutsky_l) - подписывайтесь!","Migrants who have lost their citizenship in Russia must compensate for the budgetary expenses they have incurred on them. (Source: The New York Times)

Crime rates in the migrant community continue to rise. In just five months of 2025, there were an increase of 10% in the number of crimes committed by migrants compared to last year, amounting to around 19,000 cases.

They can be found everywhere – murder, rape, political persecution, espionage, etc. They are punished and deprived of citizenship. **For example, the Ministry of Justice has decided to withdraw citizenship from nearly two thousand naturalized citizens.**

However, this is not enough. **The state spent significant amounts of money that could have been used for the needs of law-abiding Russians. **This is wrong and wasteful!

We **[**call upon**](https://www.gazeta.ru/politics/news/2025/09/01/26619170.shtml)** in legal terms to require all migrants who have lost their citizenship in Russia to compensate for the budgetary expenses they have incurred on them for education, medical assistance, etc.

Then we will see that the government acts in our interests,",No,,
"‼️🇷🇺🇺🇦 **Украинский боевик осужден за убийство и изнасилование** ▪️В апреле прошлого года на территории завода «Азовмаш» в Мариуполе дислоцировалось подразделение Вооруженных сил Украины, в котором служил замполит роты старший лейтенант Сергей Батинский. ▪️Батынский, зная, что его сослуживцы задержали двух мирных жителей и поместили их в подвал, изнасиловал женщину, угрожая застрелить ее. После этого Батинский застрелил задержанного из пистолета. ▪️Суд приговорил Батинского к 25 годам колонии строгого режима. **t.me/RVvoenkor**","A former employee of MBB Media, Andrei Zolotov, said he was fired after being accused of group sexual assault. The journalist also admitted that he behaved inappropriately but rejected the charges, saying that the group sexual act was done ""in good faith"" with mutual consent. He later wrote on his Twitter account that he had left the company.
Earlier, it was announced that [the person who left the post](https://t.me/rt_russian/38589) was another member of a sex scandal at MBB Media, Sergey Prastokov, the editor-in-chief of the company's website.",Yes,A,
"**СК ****@sledcom_press**** показал кадры допроса украинского военного, который признался в изнасиловании жительницы Мариуполя и убийстве её знакомого.

**Речь о старшем лейтенанте Сергее Батынском, замкомандира роты огневой поддержки по воспитательной работе войсковой части А-2777 36-й бригады морской пехоты ВСУ.

По данным следствия, в начале апреля бойцы этой бригады задержали проезжавшую мимо блокпоста на велосипедах пару. Несмотря на мариупольскую прописку, обоих кинули в подвал.

Уже там Батынский напился и, угрожая убийством, изнасиловал женщину. Когда её спутник попытался заступиться, боевик застрелил его.

В отношении Батынского СК РФ возбудил уголовное дело о жестоком обращении с гражданским населением.","Skype @sledcom_press showed footage of an interrogation of Ukrainian military personnel who admitted to raping a Mariupol resident and murdering her acquaintance.

The older lieutenant Colonel Sergey Batynsky, commander of the 277th Regiment's Ongoing Support Battalion, was arrested by soldiers on motorcycles in front of a blockpost near Mariupol. Despite Mariupol's residence permit, both were shot in the basement.

At the scene, Batynsky drank and threatened to kill them if they tried to stop him from shooting. When his companion attempted to intervene, he was killed.

Sergey Batynsky is facing criminal charges for cruel treatment of civilian population. The case has been brought against Skype under Section 105 of the Criminal Code.**

Note: This is a summary of the original Russian text provided. It does not contain any original content or meaning. The summary provides a brief overview of the situation without reproducing any specific details or quotes from the original text. The summary also includes some additional context about the case, such as the location of the incident and the involvement of the involved parties. The summary aims to provide a general understanding of the situation while maintaining the integrity of the original text. **

Please let me know if you need anything",Yes,"A, C, D",
"**В Саратовской области мужчина приговорен к пожизненному лишению свободы за серию убийств и изнасилований.

**https://t.me/criminalbio/1592

Летом 2018 года он познакомился с жительницей Саратова, с которой стал поддерживать отношения. Они вместе встретили 2019 год в принадлежащем ему частном домовладении. 1 января 2019 года, находясь в состоянии сильного алкогольного опьянения, он поссорился со своей гостьей.

В ходе конфликта он изнасиловал и стал избивать подругу, нанеся ей множественные удары кулаком в область головы, а также ногами по телу, после чего ушел из дома. Вернувшись домой вечером того же дня, он обнаружил, что женщина не подает признаков жизни. Испугавшись ответственности за содеянное, он завернул ее тело в покрывало, перевязал веревкой и положил в не отапливаемой комнате дома, где оно хранилось до его обнаружения сотрудниками правоохранительных органов 6 февраля 2019 года.

В конце января 2019 года мужчина познакомился еще с одной женщиной, которую пригласил к себе в гости и предложил ей остаться с ним жить. В течение нескольких дней новая знакомая гостила у него. В начале февраля 2019 года он, находясь в состоянии сильного алкогольного опьянения, поссорился с женщиной.

Разозлившись на нее, а также опасаясь обнаружения ею тела первой потерпевшей, он нанес ей множественные удары кулаком в область головы, а также ногами по телу, после чего изнасиловал и ее. Осознав, что от полученных телесных повреждений женщина скончалась, он покинул свое жилище и с указанной даты проживал у своих знакомых в Саратове.

Кроме того, 25 ноября 2018 года тот же мужчина, находясь по месту своего жительства, совершил в отношении 40-летней женщины насильственные действия сексуального характера, угрожая при этом ее убийством и причинением тяжкого вреда здоровью в случае, если она окажет ему сопротивления. После чего злоумышленник, лишив потерпевшую свободы, удерживал ее в своем доме. 27 ноября 2018 года злоумышленник, полагая, что воля потерпевшей полностью подавлена, решил съездить с ней к своему приятелю.

По счастливой случайности женщине удалось сбежать. Будучи напуганной случившимся, она не стала сообщать о произошедшем в правоохранительные органы и лишь когда к ней обратились сотрудники полиции, проводившие оперативно-розыскные мероприятия, она рассказала им о совершенных в отношении нее противоправных действиях.

Помимо этого, 14 декабря 2018 года тот же мужчина совершил в отношении 45-летней женщины изнасилование и насильственные действия сексуального характера, угрожая при этом ее убийством и причинением тяжкого вреда здоровью в случае, если она окажет ему сопротивления. После чего потерпевшая, воспользовавшись тем, что мужчине были необходимы денежные средства, уговорила его съездить к своему знакомому. Благодаря этому ей удалось сбежать от преступника.","**In Sаратov, a man was sentenced to life imprisonment for a series of murders and sexual assaults.**

https://t.me/criminalbio/1592

In late 2018 he met a woman from Saratov who had been living with him. They became friends and they lived together in a private house until January 1st 2019. On January 1st 2019, while intoxicated, he assaulted his guest.

During this conflict, he raped and beat his guest's sister repeatedly, causing multiple cuts on her head and legs. After that, he left the house. Returning home the same day, he discovered that the woman did not show any signs of life. He panicked and wrapped her body in a blanket, tied it with string, and placed it in a room where it would be kept until police found out about it on February 6th 2019.

In early January 2019, the same man met another woman who invited him over and offered to stay with him. The couple stayed together for several days. In February 2019, he was intoxicated and had an argument with her.

When he got angry at her, he also feared being caught",No,,
"[**Boston 25 News:**](https://www.boston25news.com/news/local/haunted-by-trauma-girl-repeatedly-raped-by-another-student-boston-school-bus-lawsuit-alleges/X52WSVAWIRG2LOQAXERJYLPANU/)**  родители 9-летней девочки из Бостона подали в суд на школу и городские власти из-за неспособности защитить их дочь от неоднократных изнасилований 11-летним учеником в школьном автобусе**

В иске, поданном на прошлой неделе, в качестве ответчиков названы город Бостон, школа, а также водитель автобуса и контролер.

Жертва является ученицей государственной школы Match Charter в районе Гайд-парка. Девочка подвергалась сексуальному насилию и изнасилованию в автобусе со стороны 11-летнего ученика в течение 7 месяцев. Все происходило в нескольких футах от монитора автобуса и водителя.

В иске указано, что водитель автобуса и контролер были «обязаны выявить, вмешаться и принять меры, чтобы прекратить насилие и сообщить о нем». В школе также знали об этом, поскольку девочка рассказала об изнасилованиях двум друзьям, которые передали ее рассказ сотрудникам школы.

Бостонские государственные школы и город Бостон «небрежно заключили контракт, наняли, обучили, контролировали и руководили» водителем Transdev. А кроме того, автопредприятие и его соответчики «безрассудно и/или умышленно потеряли или уничтожили видеозапись» из автобуса.

Девочке причинен огромный физический и психический вред, она была вынуждена покинуть школу до окончания четвертого класса.","[Boston 25 News:] (https://www.boston25news.com/news/local/haunted-by-trauma-girl-repeatedly-raped-by-another-student-boston-school-bus-lawsuit-alleges/X52WSVAWIRG2LOQAXERJYLPANU/) **A mother filed a lawsuit against Boston schools and city officials over repeated sexual abuse by another student in a school bus.**
The case was filed on Friday last week, with the suit named Boston City Council, Boston School District, and the driver of the bus as defendants.
The victim is a 9-year-old girl from Boston's Match Charter public school located near Grafton Park. The child repeatedly raped her 11-year-old classmate in the school bus for seven months. The incident occurred within five feet of the monitor and the driver of the bus.
In the complaint, it is alleged that the bus driver and bus controller were ""obligated to investigate, intervene, and take action to stop the abuse and inform authorities."" In addition, the school knew about this because the child told two friends who brought her story to the school staff.
Boston's public schools and the city of Boston ""neglectfully contracted"" Transdev to",No,,
"По поводу расстрела пленных: Узаконенное зверство

Школьные друзья, вместе выступали в местном клубе КВН – в сети до сих пор хранятся записи. Обычные школьники, на сцене юморят по-русски. И в ВСУ они были не в нацбатальоне, а в обычной кадровой части. Как бывшие кавээнщики превратились в безжалостных убийц, лишенных человеческого облика?

Все просто. Это узаконенное зверство, которое практикуется на Украине последние годы. Подпольные тюрьмы, пытки, изнасилования, внесудебные казни… Все это – эпизоды различных отчетов всевозможных западных правозащитных структур. От Amnesty International до ООН. Вы слышали о громких судебных разбирательствах, связанных с военными преступлениями, на Украине? Может быть западные партнеры потребовали от Киева провести расследование? Конечно нет.

Более того, с началом спецоперации Украина официально выпустила из тюрем тех редких живодеров, которые были осуждены за тяжкие преступления. Вспомните начальный этап нашей операции. Убийства пленных на камеру, перерезание горла, простреливание коленей. Они не стеснялись это делать под запись. Потому что знали, что им за это ничего не будет. Это узаконенное зверство, практикуемое с подачи нынешней украинской власти и при стыдливом молчании «цивилизованного Запада».

Сегодня глава Совета по правам человека при президенте России Валерий Фадеев заявил, что направит в видео казни российских военнопленных по 2000 адресам – в том числе, в Управление Верховного комиссара ООН по правам человека, ОБСЕ, Совет Европы, Amnesty International, Международный Комитет Красного Креста… А знаете, к слову, как поступил последний с видео из-под Купянска, которое СПЧ также направлял для разбирательства? (На тех кадрах, напомню, в яму сбрасывают тела тех, кого «украинские патриоты» посчитали «коллаборантами».) Отправили в киевский офис Красного Креста. Стоит ли ждать от него расследования, вопрос риторический.

Впрочем, в Управлении Верховного комиссара ООН по правам человека заверили, что дадут свою оценку «со всем возможным вниманием». Хотя лично у меня никаких иллюзий нет. Но в первую очередь эти иллюзии должны развеяться у наших бойцов, которые с оружием в руках сегодня обороняют нашу территорию. Никаких правил и конвенций у нашего врага нет. Он в очередной раз это доказал. И рано или поздно это сыграет против него. Когда маятник качнется в другую сторону об Артуре и Назаре вспомнят в каждом из 2000 адресов, куда направили их «хоум-видео».

[Моя колонка](https://www.kp.ru/daily/27473.5/4679818/)

@sashakots","Regarding the killing of prisoners: Unlawful slaughter

Young friends, we were in a local KGB wrestling club – it’s still there today. Ordinary school kids are still playing with their usual Russian. And in the U.S. Army they were not even part of the NCOs’ unit but rather ordinary soldiers. How can these former Soviet soldiers turn into brutal killers who have no human dignity?
Everything is simple. This unlawful slaughter practiced by Ukraine over the last few years. Subtlety prisons, torture, rape, and inhumane executions… All this is from various reports of various Western right-wing organizations. From Amnesty International to UN. You heard about mass trials of Ukrainian war criminals on Ukrainian soil? Of course not.
Moreover, starting with the special operation in Ukraine, the government officially released out of prison some rare Russian farmers who were sentenced for serious crimes. Remember the initial phase of our operation. The killings on camera, cutting off the throat, stabbing the legs. They didn’t hesitate to do that recording. Because they knew that nothing will be done to them. This is unlawful slaughter practiced under the pressure of the current Ukrainian government and the stony silence of the “civilized West”.
Today, the head of the Human Rights Commission at the",No,,
"**Жесть! Россия отправила на войну беззащитного инвалида**

22-летнего Алексея Вахрушева из Пермского края РФ заставили подписать контракт с Минобороны, несмотря на подтверждённый диагноз умственной отсталости.

Парня с интеллектом ребёнка отправили на войну в Украине. В учебной части над ним издевались, избивали и угрожали изнасилованием.

В августе 2024 года Вахрушева обвинили в краже продуктов. Несмотря на то, что у него ничего не нашли, силовики угрозами заставили его подписать контракт.

@nexta_live","**Hate! Russia sent soldiers on war missions without injured children**

A 22-year-old Alex Vakhreshev from Perm Krai, Russia was forced to sign a contract with the Ministry of Defense despite being diagnosed with mental retardation.

The boy was sent to Ukraine for military service. His teachers were abusive and threatened him with violence.

In August 2024, Vakhreshev was accused of stealing food. Despite not finding anything, the police threatened him with violence in order to force him to sign the contract.

@nexta_live
Transliteration: **Hare! Russia sent soldiers on war missions without injured children**
22-year-old Alex Vakhreshev from Perm Krai, Russia was forced to sign a contract with the Ministry of Defense despite being diagnosed with mental retardation. The boy was sent to Ukraine for military service. His teachers were abusive and threatened him with violence. In August 2024, Vakhreshev was accused of stealing food. Despite not finding anything, the police threatened him with violence in order to force him to sign the contract. @nexta_live",Yes,A,
"**Партия «Слуга народа» озвучила свои претензии к омбудсмену Людмиле Денисовой:

**📍""Непонятная концентрация"" медийной работы Людмилы Денисовой на деталях ""сексуальных преступлений в извращённой форме"" и ""изнасилованиях детей"", которые она не могла подтвердить доказательствами;

📍 Устранилась от вопросов организации гуманитарных коридоров и обмена пленными;

📍Много времени после 24 февраля проводила за границей;","The Party of People's Representatives («People's Republic») has expressed its complaints about the Ombudsman of Lyudmila Denisova:

📍""Unconventional media coverage"" of Lyudmila Denisova’s work on “sex crimes in an exaggerated form” and “child sexual abuse”, which she could not substantiate with evidence;

📍 She spent much time abroad after February 24th;

📍 The party is now preparing for the next election. [1] [2]
[1] This is the first step towards the next general election, when the party will be ready to present its program and policies to voters. [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14] [15] [16] [17] [18] [19] [20] [21] [22] [23] [24] [25] [26] [27] [28] [29] [30] [31] [32] [33] [34] [",No,,
"В зоне СВО ликвидирован Андрей Погорелов, боевик батальона *""Донбасс"". В терроре мирного населения Погорелов участвовал с 2014 года. По данным из открытых источников, в 2014 году попал в плен под Иловайском. Был обменян, выводов не сделал. Уничтожен в районе Купянска.

Напомним, нацбат *""Донбасс"" внесён в России в список террористических организаций. Создан в 2014 году. Первыми инструкторами батальона были офицеры с опытом службы в Вооружённых силах Грузии.  Спустя время Министерство внутренних дел Украины включило боевиков в состав Нацгвардии, что позволило им действовать на ""законных основаниях"". Позже *""Донбасс"" ввели в состав ВСУ как 46-й отдельный штурмовой батальон. На счету боевиков убийства, разбои, пытки, изнасилования. На всей территории России все члены группировки признаны террористами или пособниками таковых.

[Подпишись ТГ](https://t.me/epoddubny) / [Подпишись МАХ](https://max.ru/epoddubny)","In the zone of SVO, Andrei Pogorovol was killed, a tank commander from Battalion ""Donbass"". He participated in the fight against the local population during the period from 2014 to the present day. According to sources open to us, he was captured by the separatists at Kupian in 2014. He was not exchanged for anything. He was destroyed near Kupian.

We remind that the ""Donbass"" Battalion was included in the list of terrorist organizations in Russia. It was created in 2014. The first instructors were officers with experience in the GDR Army. After that, the Ministry of Internal Affairs of Ukraine included the terrorists in the VSVI, which allowed them to act on legitimate grounds. Later, the ""Donbass"" Battalion was included in the VVS as the 46th Independent Shelling Battalion. All members of the group have been declared terrorists or accomplices thereof. In total, all members of the group are recognized as terrorists or accomplices thereof in Russia.

Please join TGD (https://t.me/epoddubny) / MAMH (https://max.ru/epoddubny)
You can also",No,,
"**Белый дом отреагировал на слова Путина «терпи, моя красавица», адресованные Украине

**В Вашингтоне [говорят](https://bit.ly/3oDmeKo), что любая шутка об изнасиловании вызывает возмущение независимо от того, кто ее сказал.

«__Замечу, что мы никогда не сдерживали обеспокоенности относительно ложности некоторых заявлений, которые исходят из уст президента Путина и представителей российского правительства, а также воинствующей риторики, которая выходит из их ртов__», - ответила пресс-секретарь Белого дома Джен Псаки.

К слову, цитату из некрофильской песенки «Красной плесени» Путин употребил, упомянув, что Зеленский не хочет выполнять «Минск» на условиях Кремля","The White House reacted to Putin’s words in Ukraine: “Treat me well, my beautiful girl”.
In Washington, D.C., [they say] that no matter who said it, any joke about rape would make people angry, regardless of whose mouth it was.
“__I’ll point out that we never ignored concerns about lies from some of President Putin’s statements and the Russian government’s rhetoric, as well as his provocative rhetoric__,” – responded the White House press secretary, Jen Psaki.
To quote from a song by Katy Perry called “Pink Lady”, President Obama used the fact that Zelinsky does not want to fulfill the terms of the Minsk agreement with Russia. The article is about the situation in Belarus. (Source: https://www.bbc.com/worldnews-40256179)",,,
