Sr. no.,Post,HRV Result,HRV Type
1,"Ресурсы связанной с ""Аль-Каидой"" группировки ""Аш-Шабаб"" опубликовали видеозапись нападения на блокпост проправительственного ополчения в сомалийской провинции Гальгудуд. При теракте погибли не менее десяти силовиков.",Yes,A
2,"**__Военный эксперт Борис Рожин с краткой сводкой по итогам операции по денацификации и демилитаризации Украины на 23.10 27 июня 2022 г. специально для канала Vоенкор Котенок Z __****__@voenkorKotenok__**__**:  **
**1.  
Северодонецк. 
**__Большую часть гражданских лиц, удерживавшихся в заложниках, вывели с территории завода «Азот». Сам завод после восстановления продолжит работу. 
Продолжается прочесывание промзоны и лесопосадок рядом с Боровским и Сиротино. Активизированы фильтрационные мероприятия. 
Прямого штурма Лисичанска со стороны Северодонецка не ожидается — мосты разрушены + сам Лисичанск стоит на возвышенности. Интенсивность обстрелов Северодонецка упала — основные усилия артиллерия противника прикладывает для удержания фронта под Лисичанском.
**__2.  
Лисичанск. 
__**Бои за Верхнекаменку, Лисичанский НПЗ и заводы на южных окраинах города. 
Бои за Белую Гору. 
Горловина Лисичанского котла — до 8 км. Реальный маршрут выхода на Северск теперь есть только через Белогоровку, но эта дорога уже находится под огневым воздействием российской артиллерии. Украинская пропаганда уже готовит общество к сдаче Лисичанска. В ЛНР заявляют, что город будет освобожден до конца недели.
**__3.  
Артемовск. 
__**Бои в Клиновом и в районе Покровского. Противник укрепил оборону города, осуществляя ротацию потрепанных бригад, оборонявших город. Нажим ВС РФ на Артемовск в ближайшей перспективе будет усиливаться, но без взятия Покровского к прямому штурму города вряд ли приступят. 
В районе Светлодарска пока без существенных изменений.
**__4.  
Соледар. 
__**Бои у Берестово, Белогоровки и у трассы Лисичанск—Артемовск в районе Николаевки. 
Соледар после потери Лисичанска станет элементом оборонительной линии Соледар—Северск, на которой ВСУ попытаются удержать фронт к северу от Артемовска. После взятия Лисичанска стоит ждать наступления в направлении Северска и Соледара с севера.
**__5.  
Харьков. 
__**Позиционные бои в районе Цуповки, Уды, Дементьевки, Верхних Проходов и Верхней Салтовки. Противник практически полностью перешел к обороне. Усиливается огневое поражение позиций ВСУ у Харькова и Чугуева. Также прощупывают район Золочева. 
**__6.  
Славянск. 
__**Бои у Долины, Краснополья, Богородичного, Пришиба и Сидорово. Противник отмечает некоторое продвижение ВС РФ к Славянску. Также усиливается огневое поражение сил противника в районе Северска. 
На Изюмском направлении без существенных изменений.
**__7.  
Авдеевка. 
__**На фронте без существенных изменений. Как и ранее бои в промке, на у трассы Авдеевка—Константиновка и на окраинах Нью-Йорка. 
Усиливается контрбатарейная работа, что, впрочем, пока не останавливает обстрел городов Донбасса. Сегодня снова были убитые и раненые гражданские.
**__8.  
Змеиный. 
__**ВСУ заявляют, что в результате обстрела острова Змеинный смогли добиться попадания в ЗРПК «Панцирь». О других успехах не сообщается. Заявляется, что Зеленский дал приказ попытаться отбить Змеиный у ВС РФ за 2 недели. Видимо на других участках шансов на «контрнаступление» еще меньше.
**__9.  
Николаев. 
__**Позиционные бои на Никопольском, Криворожском и Николаевском направлениях. Наступление ВСУ остается тут сугубо виртуальным. Украинское командование уже открытым текстом призывает прекратить писать про «успехи ВСУ», так как картина «наступления» становится все более нелепой на фоне многочисленных кадров уничтожения живой силы и техники ВСУ ракетными и артиллерийскими ударами.
**__10.  
Запорожье. 
__**На линии Каменское—Орехов—Гуляйполе—Великая Новоселовка без существенных изменений. 
Бои в районе Угледара и Павловки. В Новомихайловке и Марьинке без изменений. Активности противника с наступлением на Павловку и Егоровку хватило ненадолго.

@voenkorKotenok",Yes,A
11,"**Военный эксперт Борис Рожин с краткой сводкой по итогам операции по денацификации и демилитаризации Украины на 00.15 30 июня 2022 г. специально для канала Vоенкор Котенок Z ****@voenkorKotenok****:
1.  
__Лисичанск__. 
**Сегодня взят Лисичанский НПЗ, продолжаются бои в Верхнекаменке, в районе Белой Горы, Приволья (есть сообщения об отходе ВСУ), а также в самом Лисичанске. Противник частично осуществляет отход к Северску, где выстраивается новая линия обороны. 
**2.  
__Артемовск__. 
**Продолжаются бои в Клиновом, наши войска продвинулись в поселке. У Покровского без особых изменений. Также противник удерживает линии снабжения на Новолуганское и Углегорскую ТЭС.
**3.  
__Соледар__. 
**Продолжаются бои у Николаевки, в Белогоровке и Берестовом. Противник пока что удерживает фронт, но вскоре ВСУ предстоит решать проблему наступления ВС РФ с севера, после завершения освобождения Лисичанска основной нажим пойдет на Северск и Соледар.
**4.  
__Славянск__. 
**Бои у Богородичного, Краснополья, Пришиба, Сидорово. Темпы продвижения к Славянску пока что невысокие. 
**5.  
__Харьков__. 
**ВС РФ вытеснили ВСУ из Дементьевки и усиливают огневое поражение позиций противника на окраинах Харькова. Прощупываются возможности продвижения в районе Верхних Проходов, Уды, Цуповки. Также идет обработка Золочевского укрепрайона. 
**6.  
__Авдеевка__. 
**На линии фронта без существенных изменений. Артиллерийские обстрелы Донецка стали менее интенсивными после усиления контрбатарейной работы. 
**7. 
__Угледар__. 
**После недавних попыток наступления у Павловки, Егоровки и Шевченко противник, понеся большие потери, был вынужден снизить свою активность, и бои тут снова развиваются в позиционном ключе. В районе Новомихайловки и Марьинки без изменений. 
**8.  
__Запорожье__. 
**На линии Каменское-Орехов-Гуляйполе-Великая Новоселовка без существенных изменений. В районе Каменского прошел самый большой обмен военнопленными с начала СВО – поменяли 144 на 144 человека. Среди обменянных с украинской стороны было 43 раненых боевика «Азова». Среди наших – несколько летчиков.
**9.  
__Николаев__. 
**На фронте без существенных изменений. На Никопольском направлении противник пытается поддавливать в районе Потемкино. По Николаеву продолжают наноситься интенсивные ракетные удары. Активизация на этом направлении вполне возможна уже в июле.
**10.  
__Одесса__. 
**Украина продолжают подготовку к попыткам атаковать остров Змеиный в рамках поставленной политической задачи. В ближайшие недели это безусловно выльется в обстрелы острова из РСЗО и ОТРК, а также попытки ударить с воздуха. ВС РФ и ЧФ также готовятся к этим попыткам. Украина нужна хоть какая-то победа на фоне отступления на Донбассе. Кроме того, США и Британия пытаются оспорить контроль ЧФ в северо-западной части Черного моря.

@voenkorKotenok",Yes,A
18,"**А вот и доказательство того, что Россия набрала на войну с Украиной зэков и первый из них уже воюют в Украине

**ВСУ взяли в плен такого ""вояку"", которого завербовала ЧВК ""Вагнер"". Из интересного, он заявил, что их подготовка к войне заняла всего неделю, и в РФ приехали инструкторы из Африки.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,D
20,"Оставляя за скобками угрозу радиационного выброса на Запорожской АЭС и последующее за этим вероятное применение тактического ядерного оружия, попробуем разобраться, чего пытается добиться командование ВСУ прямо сейчас.

Оценка текущей дислокации бригад ВСУ показывает, что не все более менее боеспособные соединения задейстованы на востоке страны. Нет их также и в глубине, за исключением формируемых новых бригад под руководством западных инструкторов. 
Также уже очевидно, что наступать на Херсон украинский генштаб не считает целесообразным, во многом за счёт того, что российское командование перебросило достаточные резервы на Николаевско-Криворожское направление. Удары РСЗО HIMARS, в принципе как и сказал министр обороны, проблемы на первом этапе создали, но критичными не стали, удалось приспособиться. 

С одной стороны, стратегия ведения диверсионной войны и обстрелов критически важных объектов на грани ""красной линии"" создаёт иллюзию успешного противостояния ВСУ наступательной операции союзных войск на Донбасской дуге. 
С другой стороны, любой план огневого поражения преследует цели либо подготовить условия для наступления на позиции противника, либо сорвать аналогичные планы оппонента. 

Таким образом, генштаб ВСУ либо ожидает в скором времени наступления ВС РФ на Запорожье, либо готовит такой план сам с целью пробиться к Запорожской АЭС. 
Исходя из этого, где-то в глубине Днепропетровской области должны быть уже сосредоточены от двух до трех бригад ВСУ, готовые к активным действиям. 
""Окно возможностей"" невелико - пока не иссяк поток военной помощи Запада и поставки боеприпасов более менее регулярны, развязка должна произойти в ближайший месяц. Затем - только глухая оборона.",Yes,D
29,На Криворожском направлении 126 бригада отбивается от наступления ВСУ. Опять вопреки всему чему только можно.,Yes,D
31,"🇺🇦🏴‍☠️**И снова печальные данные: за сутки в ДНР ударами украинских нацистов убиты два человека, еще шесть ранены

**Такую информацию за 28 августа сообщает Штаб ТерО ДНР.

Кроме того, сообщается, что из-за [**утренних ударов**](http://rusvesna.su/news/1661746915) по городам ДНР без света остались более тысячи абонентов в Горловке и и более 1700 в Макеевке.

**t.me/rusvesnasu**",Yes,A
33,"Уничтожение ВСУшноного блокпоста, Сумская область.

Это один из примеров, как обнаглевших хохлов наказывают за их вылазки в Курскую область. Больше вылазок - больше трупов ВСУ.",Yes,A
35,"В Сирии при обстреле неизвестных в провинции Дейр-Эз-Зор пострадали четверо военнослужащих ВС США. По данным международной коалиции, боевики выпустили несколько реактивных снарядов в направлении расположения ВС США на нефтегазовом месторождении ""Умар"", два из них попали в цель. Как сообщается, военные получили легкие ранения и контузии. Ответственность за нападение пока никто не взял. В Пентагоне подозревают, что за обстрелом стоит одна из проиранских группировок. Это уже третий подобный инцидент в Сирии с начала 2022 года. 

Одновременно с этим в Ираке воинская часть ""Айн Аль-Асад"" подверглась обстрелу реактивными снарядами и налету БПЛА. ВС США заявили, что ПВО удалось сбить один из беспилотников, что помогло избежать жертв при теракте. Пока никто не взял за него ответственность.",Yes,A
36,"В Ираке в ночь с 13 на 14 июля неизвестные самолеты нанесли удар по расположению проиранских сил неподалеку от приграничного с Сирией г. Эль-Кайм. Как сообщается, при налете было разрушено несколько складов с вооружением.

В июне 2021 года Пентагон нанес [удары](https://t.me/directorate4/10014) по расположению проиракских группировок в округе Эль-Кайм. Американцы мотивировали налеты тем, что поддерживаемые Тегераном бойцы совершали нападения на объекты ВС США в Ираке и Сирии.",Yes,B
