Sr. no.,Channel ID,Post ID,Post
1,1457892982,28426,"**И такое бывает🤫

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)"
2,1469021333,14233,"**➕Дещо із затримкою, але в той же час доволі авангардна точка для наших, Зелена Долина під контролем нашої армії. Хрестоносці вчора зранку зайшли в село

**Вчора вже всі підряд геолоковували це село.

deepstatemap.live/#13/49.1147/37.7753"
3,1498939244,31480,💥Звук пикирования и последующего взрыва дрона камикадзе Герань-2 в Николаеве. Также слышна безуспешная стрельба.
4,1366346975,55899,"⚡️Десантура смогла отстоять Шевченково⚡️

Об этом сообщают источники проекта @wargonzo в Харьковской области. 

Российские десантники, переброшенные на помощь союзным силам, подвергавшимся контрудару ВСУ на рубежах Балаклея-Изюм-Купянск, смогли отбить многочисленные атаки противника на Шевченково - один из тех населённых пунктов, которые играют ключевую роль в логистике и снабжении наших главных гарнизонов в Харьковской области. 

В Балаклее также продолжают находится как отдельные подразделения Росгвардии, так и Минобороны. По ситуации в Купянске и его окрестностях - подробности в ближайшее время!"
5,1093357968,8686,"**Военный корреспондент ВГТРК Евгений Поддубный сообщил, что Киев фактически блокирован. **По сути, свободен остался только Юг, заявил журналист в программе ""60 минут"" на телеканале ""Россия 1"". Также Поддубный рассказал, что спецоперация по защите ДНР и ЛНР стала первой, в которой наша страна использует столько высокоточного вооружения.

[Смотрим все выпуски программы

](http://smotrim.ru/60minut)@epoddubny @skabeeva @vladivostok1978 
@smotrim_ru"
6,1366346975,53347,"Шикарное! 🔥🇷🇺👍 

https://t.me/MilHeliPilot/220"
7,1080134301,20248,Подъехала сборка лайфхаков для украинцев
8,1144404150,11732,⚡️ мощнейший обстрел Киевского района Донецк.
9,1080134301,18507,Утро начинается со взрывов под Киевом
10,1109403194,36819,"Дорогие друзья, дорогие подписчики, братья и сёстры! Очередная крупная партия необходимого доставлена в наши войска. На этот раз вы купили 10 тепловизоров с дальномером, то есть те самые необходимые приспособления, без которых невозможно вести современную войну. Приборы разведки и наблюдения - основа, становой хребет армии и я очень рад, что мы с вами купили их уже несколько десятков, на многие миллионы рублей. 

От всей души благодарю уважаемых подписчиков Андрея Медведева, Дмитрия Конаныхина, Влада Лобаева, Макса Каскада, Повернутых на войне, Старше Эдды и всех тех, кого я забыл назвать. Враг будет разбит, унижен и уничтожен, а победа будет за нами! Наша карта для сборов всегда одна, это карта ведущего Радио России Дмитрия Конаныхина 2202203207229198"
11,1080134301,19203,"Последствия прилёта ""шести российских ракет😂"" по Украине

Главными целями ударов стали четыре мощнейшие ГЭС страны: Днепровская, Кременчугская, Каневская и Днестровская.

Взрыв на одном из энергообъектов привёл к отключению света в 350 тысячах квартир в Киеве. 80% горожан остались без воды, заявил Кличко. Люди прячутся в метро.

Всего, по предварительным данным, повреждено около 40 объектов энергетики."
12,1366346975,50638,"Друзья, всем привет от морпехов Тихого, прямо с передка ✊🏻⚓🌊"
13,1457892982,25848,"До слез.😄

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)"
14,1498939244,33324,Взрывы в Тернопольской области.
15,1080134301,17483,"**«Ты чего такой суровый? 🤨»** 

__Путин (в хорошем настроении) проводит рабочую встречу в Великом Новгороде__"
16,1366346975,49170,"**Россия предоставила ООН доказательства использования ВСУ запрещенных мин против мирного населения

**Речь идет об использовании украинскими нацистами мин «Лепесток». РФ передала генсеку ООН подробную информацию с фотографиями о фактах минирования гражданских объектов в ЛНР и ДНР. 

Зампред РФ при ООН Дмитрий Полянский заявил, что письмо рассмотрят в качестве официального документа. Дипломат подчеркнул многие коллеги в ООН были заинтересованы в доказательстве данных фактов.

Ранее наши военкоры [показывали](https://t.me/readovkanews/39559), что центр Донецка действительно усыпан «лепестками». Накануне штаб территориальной обороны ДНР сообщил, что из-за этих мин четыре человека пострадали. «Лепестки» не убивают, а наносят людям серьезные травмы. Как правило, пострадавшим ампутируют конечности."
17,1109403194,33763,"Путин дал понять, что с освобожденных территорий мы не уйдем: «Но в конечном итоге свое будущее будут решать сами люди».

@sashakots"
