Sr. no.,Post,HRV Result
3,"**Пассажирка метро напала с ножом на москвичку за громкий разговор по телефону.

**Женщины ехали в одном поезде, между станциями Говорово и Минская пассажирка набросилась с ножом на 36-летнюю москвичку: женщине не понравилось, что соседка по вагону громко говорит по телефону. Нападавшая ранила пассажирку в лицо. 50-летнюю женщину задержали на станции Октябрьское поле, возбуждено дело по статье «Угроза убийством».",No
4,"Розумію, що киянам, які виїхали з міста, хочеться чим швидше повернутися додому.

Однак, прошу утриматися від цього принаймні ще тиждень. 
Також прошу не повертатися поки до своїх домівок жителів звільнених від окупантів передмість Києва.

По-перше, в кількох районах Київській області зараз діє цілодобова комендантська година. Також у містах біля столиці, де тривали бої, виявляють велику кількість вибухонебезпечних предметів. Які можуть становити велику загрозу.

Не виключаємо ми і вірогідності ракетних обстрілів. Так, наші сили ППО працюють на відмінно. Але, все може статися. Тож  прошу людей трохи почекати і не повертатися.",No
5,"❗️ЭКСКЛЮЗИВ❗️

🔥На Соледарском направлении казаки 6-го Казачьего Полка проводят зачистки улиц под прикрытием танка. 
Заняли ключевую улицу, для наиболее эффективного продвижения.

Любо Казакам❗️❗️❗️

Евгений Лисицын @evgeniy_lisitsyn",No
6,"Ещё кадры с последствиями ночного обстрела Калининского района Донецка.

Пострадал жилой сектор, медицинский университет и больница.",No
7,"🤣Тим часом пропагандонам рве дах..
Вже з «сатаністами і бісами» воюють😁",No
8,"**Народное творчество не остановить😏

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
9,"**Новые кадры из Крымского моста. Работает 1 полоса. Цистерны стоят

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
10,"⚡️Гуманитарные коридоры и маршруты выхода согласованы с украинской стороной — Минобороны РФ.

@warjournaltg",No
12,"⚡️⚡️⚡️На данный момент подразделениями Вооруженных Сил Российской Федерации завершено блокирование города Чернигов

Российские военнослужащие принимают все меры для недопущения жертв среди мирного населения, сообщает Минобороны РФ.

@warjournaltg",No
13,"**Страны НАТО должны нарастить военное производство, иначе Украина не сможет победить, — Дмитрий Кулеба в интервью Politico

**""Если этого не произойдет (увеличение производства оружия), мы не сможем победить — вот так просто"", - сказал он.

Также Кулеба заявил, что ""в мире есть страны, которые имеют то, что нужно Украине, но не собираются продавать это в достаточном количестве по политическим причинам"". 

Запуск производств поможет снизить зависимость Украины от таких стран.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
14,"**Бои за логово террористов ""Азова"".
Ситуация в Мариуполе и его восточных окраинах

**Съемочной группе ANNA-News удалось войти в Мариуполь с восточной стороны, где идут тяжелые городские бои с террористами запрещенной в России группировки ""Азов"". Именно Левый берег города, который сейчас стал центром шахматной мариупольской доски, выбрали боевики неонаци в качестве своего главной крепости еще в далеком 2014 году.

На этом фоне из города просачиваются мирные жители, которые концентрируются в районе н.п. Безыменное.

**Подробнее в нашем репортаже:
**https://vk.com/video-35276355_456246778

@anna_news @akimapachev @diza_donbass",No
15,"🍵**Столичні терцентри соціального обслуговування забезпечили продуктами та гарячим харчування майже 7 тисяч людей

**✔️Усі 11 територіальних центрів продовжують роботу в умовах воєнного стану. Уже доставлено 4568 продуктових наборів тим, хто їх потребує. Ще понад 2 тисячі людей отримали гаряче харчування. 

🤍Соціальні працівники надають і послуги обслуговування на дому для самотніх літніх людей, осіб із інвалідністю та паліативних хворих. Це приготування їжі, закупка продуктів, годування, прибирання тощо. Такі послуги нині отримують більше 3 тисяч осіб.

❗️Якщо ви опинилися у складних у життєвих обставинах, звертайтеся до територіальних центрів свого району та залишайте заявку на допомогу.

📞 Київський міський територіальний центр соціального обслуговування
(044)-450-91-66
Вул.Котельникова. 32/11

**📞Голосіївський район
**просп. Голосіївський, 36
096-545-41-60

**📞Дарницький район
**вул. Вербицького, 9-І
044-564-08-22

**📞Деснянський район
**вул. В. Беретті, 18
044-515-20-18

**📞Дніпровський район
**вул. Курнатовського, 7а
044-512-00-35

**📞Оболонський район
**вул. Озерна, 18-А
044-411-97-75

**📞Печерський район
**вул. Бойчука (Кіквідзе), 11-А
066-733-07-30

**📞Подільський район
**вул. Братська, 15/9
044-425-05-12

**📞Святошинський район
**вул. Жмеринська, 22-А
044-290-47-86

**📞Солом’янський район
**б-р В. Гавела, 83-А
044-497-73-27

**📞Шевченківський район
**вул. Половецька, 14
044-486-66-61

✔️Ще у Києві працює Гуманітарний штаб. Залишити заявку, якщо ви потребуєте допомоги,  можна на сайті: https://potreby.kyivcity.gov.ua/.",No
16,"От подписчика. Воха. 

@epoddubny",No
17,"Местные жители сообщают о двух прилетах в районе н.п Шепетовка Хмельницкой области.

@warjournaltg",No
19,"**‼️💥Работает ""Солнцепёк: ""🅾️тважные"" продолжают громить ВСУ

**Тяжелая реактивная артиллерия ТОС-1А “Солнцепек” группировки ""🅾️"" мастерски уничтожает укрепрайоны украинских боевиков в районе села Веселое. #эксклюзив с фронта

**t.me/RVvoenkor**",No
21,Фото от бойцов 163 полка💪,No
22,"⚡️** Сводка Министерства обороны Российской Федерации о ходе проведения специальной военной операции на территории Украины** (12.07.2022 г.)

Часть 1 ([см.часть 2](https://t.me/mod_russia/17597))

◽️ **Вооруженные Силы Российской Федерации продолжают специальную военную операцию на Украине.  

**💥 В районе населенного пункта Березань Одесской области **высокоточными ракетами наземного базирования «Искандер» уничтожены пусковые установки противокорабельного ракетного комплекса «Harpoon» (Гарпун) производства США. 
** 
💥** В результате удара высокоточными ракетами воздушного базирования** в районе населенного пункта Артемовск Донецкой Народной Республики **уничтожено** **180** военнослужащих и **26** единиц военной техники 30-й механизированной бригады ВСУ.
 
◽️ Кроме того, **высокоточным оружием ВКС России уничтожены**: живая сила и военная техника ВСУ в **12** районах, **четыре** склада с боеприпасами 79-й десантно-штурмовой бригады в районе Матвеевки Николаевской области, а также **пункт ремонта и восстановления бронетехники ВСУ **в районе Северска. 
 
💥 **В рамках контрбатарейной борьбы уничтожены**: **два** взвода реактивных систем залпового огня «Град» и **два** артиллерийских взвода гаубиц «Гиацинт-Б» на огневых позициях в районе Дзержинска Донецкой Народной Республики. 
 
💥** Оперативно-тактической и армейской авиацией, ракетными войсками и артиллерией за сутки поражено**: **три** пункта управления, **три** склада боеприпасов, подразделения артиллерии на огневых позициях в **97-ми** районах, а также живая сила и военная техника в **111-ти **районах. 
 
💥 **Российскими средствами противовоздушной обороны за сутки сбиты семь украинских беспилотных летательных аппаратов **в районах населенных пунктов Изюм, Малые Проходы, Питомник Харьковской области, Славянск, Шандриголово Донецкой Народной Республики, в том числе **один ударный беспилотный летательный аппарат** в районе города Николаев. 

◽️ Кроме того, **перехвачено 12 снарядов реактивной системы залпового огня «Ураган»** в районах населенных пунктов Лисичанск Луганской Народной Республики, Бражковка Харьковской области и Новая Каховка Херсонской области. 

📊 **Всего** с начала проведения специальной военной операции **уничтожены**: **243** самолета, **137** вертолетов, **1513** беспилотных летательных аппаратов, **354** зенитных ракетных комплекса, **4046** танков и других боевых бронированных машин, **741** боевая машины реактивной системы залпового огня, **3135** орудий полевой артиллерии и минометов, а также **4165** единиц специальной военной автомобильной техники.

#Минобороны #Россия #Украина @mod_russia",No
23,🤨🤨🤨,No
24,"А вот и он.
Договор о покупке Киева российским царём Алексеем Михайловичем Тишайшим.
Так что это наша собственность, а не каких-то мифических ""украинцев"".

✅[Спецоперация на Украине](https://t.me/specops2022). ✅[Подписаться](https://t.me/specops2022)✅",No
25,"Работа РСЗО на Авдеевском направлении, которая обеспечила продвижение армии ДНР к окраинам поселка Пески.

https://t.me/Za_readn/57",No
26,"Опять ублюдка называют «стрелком». Давайте не романтизировать убийцу со свастикой на груди.

@sashakots",No
27,"Друзі! Сьогодні в мерії Києва відбулася дуже символічна подія - разом з делегацією європарламентарів та сенаторів Французької республіки, наукових і громадських діячів Європи, ми відкрили Європейський Дім - European Working Place “WeEurope” і підійняли на Хрещатику, біля приміщення Київської міськї ради прапор Євросоюзу.

Я сподіваюсь, що керівники і народи держав Євросоюзу переконались, що сильна  і стабільна Європа неможлива без сильної і успішної України. Ми налаштовані швидко подолати шлях до повноправного членства в ЄС. Досягнути всіх необхідні критеріїв.
 
Свій внесок в цей процес має зробити і Європейській Дім - European Working Place “WeEurope”. Ми створюємо його як місце для зустрічей та дискусій, що сприятимуть європейській інтеграції України. Для втілення проектів задля допомоги Києву та Україні. – Політичної, економічної допомоги, проектів з розвитку демократії.",No
28,"Американские гаубицы М777 уже используются украинской артиллерией в Донбассе.

@sashakots",No
30,"🔞 В Казани поехавшая мамашка сняла на камеру избиение собственной дочери, чтобы отомстить мужу, который ушёл от неё. 

Как рассказывают соседи, старшая дочь женщины воспитывается у бабушки. Также у нее есть сын-инвалид. Маленькую дочь она избивает и недолюбливает",No
32,"Товарищи, у кого есть на него выход, напишите ему, что он чмо",No
34,"Россиянин из Березников, Пермский край, набухавшись объявил всех **Бойцов СВО мясом и петухами**. 

На следующий день произошла классика, он извинился, сказав, что перепил и поехала крыша🤡",No
37,"Товарищи участники! 

Застегните карманы, проверьте закрытие автомобилей. За утерю личных вещей администрация саммита ответственности не несет!",No
38,"Советы бывалых: Боец ОРБ «Спарта» рассказывает о работе беспилотчиков.
Вопрос: применение дронов с устройствами для сброса боеприпасов.",No
39,"❗️**Народная милиция ДНР**: В ходе зачистки от украинских националистов н.п. Марьинка **15 военнослужащих** 54 механизированной бригады д**обровольно сложили оружие** и на **двух БМП перешли на сторону Донецкой Народной Республики**. 

@warjournaltg",No
40,"Похоже, что возле побережья Одессы начали взрываться те самые мины, ранее установленные ВСУ, а теперь дрейфующие из-за обрыва якорных тросов. 

Видео: соцсети 

@epoddubny",No
41,"🇷🇺🇺🇦 Украинская артиллерия вновь нанесла удар по жилым кварталам в Киевском районе Донецка.
#Донецк #Украина
@rybar

__*Поддержать нас:__ `4377 7278 0407 7977`",No
42,"Сообщают о новом взрыве в Николаевской области. Пишут, что проблемы со светом начались. В области воздушная тревога.",No
44,"Балкенкройц на украинском танке — украинские нацисты хвастаются раскраской техники в духе нацистов предыдущих, которых русские 77 лет назад закатали в землю.

@voenkorKotenok",No
46,"🔥🇷🇺🇺🇦 Российские РСЗО ""Ураган"" бьют по целям ВСУ.

Корректировку огня и доразведку целей российским артиллеристам обеспечивают БПЛА.",No
47,"**❗️В Житомире, предварительно, два попадания по энергетическому объекту

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
50,"Где-то в Черниговской области.

Инженерные войска РФ проводят работы по разминированию территории.

@epoddubny",No
51,"Могила военнослужащего ВСУ. Тело лежало рядом с подбитым ""Бардаком"".

Мёртвого врага никто не обоссал, ничего не отрезал, не глумился...

Потому что мы Воины Христовы, а они нечисть. Мы не можем  поступать по другому, потому что добро живёт внутри нас, а у них в душе бесы. Помните об этом.",No
52,"В районе Сватово-Кременная тяжелая обстановка. 

Приехали к генералу Лапину на месте выяснить ситуацию.

Подробности позже.

@vladlentatarsky",No
54,"[🔄](https://deepstatemap.live/#11.75/49.6786/37.5808)**Мапу оновлено. Враховано звільнення лівобережної частини Куп'янська**. Багато часу забрало друге відео, яке на скріншоті

[Магазин](https://deepstateua.shop/)▫️[Блог](https://deepstateua.com/)▫️[Мапа](https://deepstatemap.live/)▫️[Написати нам▫️](http://t.me/newsDeepStatebot)[Звіти](https://help.deepstateua.com/)▫️[ЗСУHelp](https://t.me/help_deepstateua)",No
55,"**Тем временем, объявился главный вояка ""ДНР"". Узнали? 

**Хорошо, что все-таки живой, Гаага готова встретить😏

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
57,"**⚡️Статья 5 устава НАТО не была бы запущена, даже если бы была доказана вина России. Никто не хочет дальнейшей военной эскалации, — **[**Bloomberg**](https://www.bloomberg.com/news/articles/2022-11-16/g-20-latest-leaders-react-to-polish-probe-on-russia-made-rocket)** со ссылкой на французского чиновника

**Также, что известно на данный момент об инциденте в Польше:
▪️Дуда заявил, что в настоящий момент **нет однозначных доказательств того, кто запустил ракету в Польшу;
**▪️Эрдоган считает, что **факты указывают на непричастность России** к инциденту в Польше;
▪️Ясно одно: э**того бы не произошло, если бы не ужасающие ракетные удары России по Украине** — премьер Нидерландов;
▪️На сегодняшний день запланирован ряд встреч и консультаций между лидерами стран ЕС и НАТО. Несколько из них уже сделали **разные заявления,** но мнение одно — нужно дождаться результатов расследования.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
59,🔥🇷🇺🇺🇦 Донбасс. Все что осталось от ночных российских ударов по позициям ВСУ.,No
60,"Уничтоженный грузовик ВСУ с боекомплектом, и две повреждённые Ноны. 
Локация неизвестна",No
61,"На Крымском мосту произошел подрыв грузового автомобиля — Национальный антитеррористический комитет.

Это привело к возгоранию 7 топливных цистерн и частичному обрушению двух пролётов моста.",No
62,"Бойцы ВС РФ и НМ ДНР смогли эвакуировать 47 членов экипажа с кораблей, захваченных украинскими националистами в порту Мариуполя.

Сейчас моряки из России, Азербайджана, Египта и Украины направляются в Донецк.

@epoddubny",No
63,"Друзі! 
Важлива інформація!

У Києві та області змінюється час комендантської години.

Із неділі, 15 травня, комендантська година розпочинатиметься на годину пізніше.

І триватиме з 23:00 до 5:00 ранку.

Від 16 травня громадський транспорт столиці працюватиме довше. 

Метрополітен - з 06:00 до 22:00. 
Наземний громадський транспорт - з 06:00 до 22:30.

Дотримуйтеся правил комендантської години. А також - не нехтуйте сигналами повітряної тривоги! Бо загроза ракетних обстрілів Києва залишається.",No
64,"**Сводка МО РФ от 24 июля 2022 г. Главное:

**— На военном аэродроме Канатово Кировоградской области поражена авиационная техника воздушных сил Украины;
— В Одессе на территории судоремонтного завода уничтожены украинский военный корабль и склад ракет «Harpoon»;
— В районе н.п. Верхнекаменское (ДНР) уничтожено свыше 70% 108-го и 109-го батальонов 10-й горно-штурмовой бригады ВСУ;
— В Николаеве нанесен удар по складам вооружений — уничтожено более 50 боевиков, более 3000 артиллерийских боеприпасов различного калибра и 10 единиц бронетехники;
— В районе Артёмовска уничтожены две гаубицы М777, а в районе Николаева — комплекс РЭБ ""Буковель"";
— В рамках контрбатарейной борьбы подавлены три взвода РСЗО ""Град"" и 37 артиллерийских взводов;
— Сбиты пять украинских БПЛА.

@voenkorKotenok",No
65,"**Путин признал существование проблемы алкоголизма в России** 

Бункерный считает, что перестать бухать русские могут, занимаясь саморазвитием 🤡

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
66,"❗️🇺🇦Украинского армянина заставили ненавидеть Путина и Кадырова.

В Николаеве армянин-продавец овощей заявил о скором приходе кадыровцев, за что его поймали силовики, приказали копать себе могилу и заставили извиниться оттуда, оскорблять Путина и Кадырова и поддерживать ВСУ.

Вот и настоящая поддержка Киевского режима: поддерживай или умри…",No
67,"Просыпаешься с утра, а против тебя ввели новые санкции. Теперь и Австралия. В компании с ДОРОГИМ КУМОМ @epoddubny и ЧВК «Вагнера». **Служу Отечеству!**

https://t.me/truekpru/76470

@sashakots",No
68,"**⚡️В Украине освободят от уплаты налогов важные для прохождения отопительного сезона товары: генераторы, обогреватели, электрические аккумуляторы и т.д., — Шмыгаль

**Пришло время закупаться.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
69,"В Одессе ещё один прилёт 💥

обн. 4 взрыва",No
70,🦍 **Чекаємо його профіль на єМогила**,No
