Sr. no.,Channel ID,Post ID,Post,HRV (Yes/No),"Type (A,B,C,D)"
1,1457892982,27168,"**❗️Без веерных отключений не обошлось. В Черкасской области начались аварийные отключения электроэнергии, — глава ОВА Табурец

**На данный момент без света потребители пяти филиалов «Облэнерго».

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
2,1164348791,5768,"ВОЙНА И РЕВОЛЮЦИЯ. СЛАВА БОГУ НАШИ ПРОТИВНИКИ НЕ ЧИТАЮТ КЛАССИКУ. 

Поляки теперь гласят, что организовали войну на Украине для того, чтоб устроить революцию в России. Да… А классики марксистско-ленинской философии (МЛФ) говорят иначе. 

Никто же не будет отрицать, что главными спецами в вопросе революций являются Маркс, Энгельс, Ленин, а не отставной глава МИД Польши Сикорский. 

**Война не может быть причиной революции,** - поляки, читайте букварь. 


https://t.me/dimsmirnov175/34916",No,
3,1366346975,49988,"**Артиллерийский огонь из пушки-гаубицы Д-20 по опорным пунктам ВСУ в **[**Соледаре**](https://t.me/rt_russian/122578)**.

**Основная сложность для бойцов заключается в том, что укрепились националисты действительно основательно: морские контейнеры закопаны в землю, переплетены арматурой и залиты бетоном.

Устанавливать расположение таких точек помогают беспилотники.

Видео корра RT Влада @vandrytsa Андрицы.",No,
4,1080134301,18666,"**❗️""Ситуация критическая.** **Украинцам советуют готовиться к отключениям света, воды и тепла**"" - замглавы ОП Кирилл Тимошенко. 

“У нас **критическая ситуация по всей стране.** Один регион зависит от другого. **Надо готовиться по всей стране к тому, что могут быть отключения как электроэнергии, так и водоснабжения и теплоснабжения**”.",No,
5,1109403194,35982,"Утром почитал немного укрнета. Поверхностно. Мониторил новости на предмет событий сегодняшних дней. Я без всякого в полном восторге. Короче, темка такая:

Россия, понятное дело, подтасует результаты референдума. Но на всякий случай сгоняет людей на избирательные участки и под дулами минометов заставляет голосовать. Мы-то тут все против, разумеется. Чтобы явка была выше, Россия беспощадно обстреливает города и села убивая в неделю до полусотни гражданских. Это чтобы точно уже если и заходили в кабинку с бюллетеню в руках, то точно ставили галочку в графе «НЕТ». Потому что мы ей не нужны, она нас ненавидит всех. Но, повторюсь, человека еще нужно заставить явиться на участок для голосования. Пришла Россия вообще чтобы убить всех, а чтобы процесс ускорить, отправляет в регион огромные, просто огромные объемы самой разной гуманитарной помощи. Дома зачем-то строит, мосты, водоводы новые. Это все только от большой ненависти к свободной Украине, которая волевым решением (своим собственным, конечно же) отвернулась от нее в сторону Запада.

Вот вы сейчас это читаете, и, надеюсь, улыбаетесь. А на Украине люди это на серьёзных щах говорят. Нам в Донбассе после окончания СВО будет нужна массовая помощь психологов, а им психиатров. Вот где опыта наберутся

@MakarenkoLive",Yes,A
6,1498939244,34983,"ВСУ снова обстреляли поселок Тёткино в Курской области, пострадавших нет, зафиксирован 21 прилёт — губернатор Старовойт",Yes,A
7,1366346975,55895,"Сводка на 08.09 

1. Противник пытался взять перекрёсток на Изюм но был выбит ВДВ.

2. Город Балаклея не взят, противник пытается зайти с разных сторон.

3. Солнцепёками под Балаклеей было поражёно большое количество противника и его техники.

4. ВКС РФ за ночь уничтожил большое скопление противника на Херсонском и Харьковском направлении. 

[Архангел Спецназа. Подписаться](https://t.me/rusich_army).",Yes,C
8,1469021333,13330,"[🇬🇧](https://focus.ua/static/storage/thumbs/1200x630/8/d7/341f6c60-ebc5ec8a1a877f11b3b06958b3901d78.jpg?v=5062_1)**Великий друг і союзник України Борис Джонсон переживає кризу у внутрішній політиці своєї країни

**♨️У** Великій Британії **триває урядова криза. Міністри в уряді **Джонсона** поділилися на два фронти: одні пішли у відставку, критикуючи прем'єрство** Бориса Джонсона**, інші поки ще підтримують його. При цьому, серед команди підтримки глави уряду - головні претенденти на прем'єрську посаду - **міністр оборони Бен Уоллес** і **голова Форин-офісу Ліз Трасс**.

⛔️Нещодавно уряд **Британії** знову поніс значні втрати після [відставки міністрів:](https://www.india.com/news/world/with-pressure-mounting-uk-pm-boris-johnson-could-be-replaced-by-these-candidates-full-details-inside-5497666/) глави Казначейства **Ріші Сунака**, міністра охорони здоров'я **Саджида Давида**, міністра по справам дітей та сім'ї **Віл** **Квінс**, а також у відставку пішла **особистий секретар парламенту Лора Трот**. Це не перші відставки в лавах уряду, але **Джонсон** тримається і намагається повернути собі публічну підтримку, [обіцяючи](https://www.express.co.uk/news/politics/1636026/boris-johnson-news-conservative-party-latest-failed-cabinet-coup-tax-cuts-election) знизити податки в країні. Однак подібні дії можуть привести Британію до боргової кризи. Дивно, але і** 70%** [опитаного населення](https://www.dailymail.co.uk/news/article-10985377/Seven-10-Britons-54-Conservative-voters-say-Boris-Johnson-resign.html) виступає за зміну влади в країні. Є думки, що певний відсоток населення підтримує і політику умиротворення🤔

🗣В Парламенті знову звучать тези про оголошення вотуму недовіри, але **Джонсон** застрахований від цього, адже за правилами **Консервативної партії**, якщо лідер отримує вотум довіри, то він має імунітет 12 місяців щодо оголошення нового. Змінити ці правила може **комітет Консервативних членів парламенту** **1922 року**. Це покажуть вибори в комітет, які плануютсья відбутися найближчим часом, в залежності, чи наберуться там прихильники відставки прем'єра. Але на нові вибори Консерватори не підуть, адже рейтинг партії сильно впав, і вони їх просто програють. Також і **Джонсон** заявляє, що у відставку він йти не збирається.

🇺🇦Ну і найважливіше - питання** України**. Борис є великим прихильником знищення русні і він один з небагатьох, хто розуміє всю серйозність конфлікту. Його роль у підтримці Британією** України** є дуже великою і якраз в цьому сходиться його позиція з міністром оборони та міністром МЗС. Ми не знаємо, чи будуть нам допомагати можливі наступники Бориса, як робить це він. Але лояльність української влади у співпраці з Британією може дуже допомогти в успіхах ведення зовнішньої політики Джонсона, які покажуть його ефективність в управлінні і значимості Британії в міжнародній політиці в цілому, якої вона прагнула завжди, конкуруючи в першу чергу з американцями. 

😏А те, що русня підтримує наративи, які звучать проти **Бориса від лейбористів **- показує, що він робить все правильно. Тримаємо кулаки за **Джонсон**а✊🏻",No,
9,1109403194,37101,"🤔 Это [интервью](https://youtu.be/LNncvFtF94Q) с [главным медийщиком](https://t.me/kaagranovich) Донецкой Империи записывалось в конце августа. Тогда мы судорожно снимали как можно больше выпусков перед моей командировкой в Изюм. Потом, учитывая многие нерадостные события на фронте, Катя не хотела, чтобы это интервью выходило. Но похоже, что события в ближайшее время навряд ли станут лучше, поэтому тянуть дальше смысла нет.

[**ПОЛНОЕ ИНТЕРВЬЮ НА YOUTUBE**](https://youtu.be/LNncvFtF94Q)[ ](https://youtu.be/LNncvFtF94Q)

[**ПОЛНОЕ ИНТЕРВЬЮ В ВК**](https://vk.com/wall-202879931_1506)[ ](https://vk.com/wall-202879931_1506)

__*наш проект существует с вашей помощью. 

Сбер ____2202206108607891____ 
Тинькофф ____5536914086667288__

@elpicahielo",No,
10,1457892982,29061,"**Однозначно историческое фото

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
