Sr. no.,Channel ID,Post ID,Post,HRV,HRV_Type
1,1129015804,14541,"Ресурсы связанной с ""Аль-Каидой"" группировки ""Аш-Шабаб"" опубликовали видеозапись нападения на блокпост проправительственного ополчения в сомалийской провинции Гальгудуд. При теракте погибли не менее десяти силовиков.",Yes,A
2,1283359437,37914,"**__Военный эксперт Борис Рожин с краткой сводкой по итогам операции по денацификации и демилитаризации Украины на 23.10 27 июня 2022 г. специально для канала Vоенкор Котенок Z __****__@voenkorKotenok__**__**:  **
**1.  
Северодонецк. 
**__Большую часть гражданских лиц, удерживавшихся в заложниках, вывели с территории завода «Азот». Сам завод после восстановления продолжит работу. 
Продолжается прочесывание промзоны и лесопосадок рядом с Боровским и Сиротино. Активизированы фильтрационные мероприятия. 
Прямого штурма Лисичанска со стороны Северодонецка не ожидается — мосты разрушены + сам Лисичанск стоит на возвышенности. Интенсивность обстрелов Северодонецка упала — основные усилия артиллерия противника прикладывает для удержания фронта под Лисичанском.
**__2.  
Лисичанск. 
__**Бои за Верхнекаменку, Лисичанский НПЗ и заводы на южных окраинах города. 
Бои за Белую Гору. 
Горловина Лисичанского котла — до 8 км. Реальный маршрут выхода на Северск теперь есть только через Белогоровку, но эта дорога уже находится под огневым воздействием российской артиллерии. Украинская пропаганда уже готовит общество к сдаче Лисичанска. В ЛНР заявляют, что город будет освобожден до конца недели.
**__3.  
Артемовск. 
__**Бои в Клиновом и в районе Покровского. Противник укрепил оборону города, осуществляя ротацию потрепанных бригад, оборонявших город. Нажим ВС РФ на Артемовск в ближайшей перспективе будет усиливаться, но без взятия Покровского к прямому штурму города вряд ли приступят. 
В районе Светлодарска пока без существенных изменений.
**__4.  
Соледар. 
__**Бои у Берестово, Белогоровки и у трассы Лисичанск—Артемовск в районе Николаевки. 
Соледар после потери Лисичанска станет элементом оборонительной линии Соледар—Северск, на которой ВСУ попытаются удержать фронт к северу от Артемовска. После взятия Лисичанска стоит ждать наступления в направлении Северска и Соледара с севера.
**__5.  
Харьков. 
__**Позиционные бои в районе Цуповки, Уды, Дементьевки, Верхних Проходов и Верхней Салтовки. Противник практически полностью перешел к обороне. Усиливается огневое поражение позиций ВСУ у Харькова и Чугуева. Также прощупывают район Золочева. 
**__6.  
Славянск. 
__**Бои у Долины, Краснополья, Богородичного, Пришиба и Сидорово. Противник отмечает некоторое продвижение ВС РФ к Славянску. Также усиливается огневое поражение сил противника в районе Северска. 
На Изюмском направлении без существенных изменений.
**__7.  
Авдеевка. 
__**На фронте без существенных изменений. Как и ранее бои в промке, на у трассы Авдеевка—Константиновка и на окраинах Нью-Йорка. 
Усиливается контрбатарейная работа, что, впрочем, пока не останавливает обстрел городов Донбасса. Сегодня снова были убитые и раненые гражданские.
**__8.  
Змеиный. 
__**ВСУ заявляют, что в результате обстрела острова Змеинный смогли добиться попадания в ЗРПК «Панцирь». О других успехах не сообщается. Заявляется, что Зеленский дал приказ попытаться отбить Змеиный у ВС РФ за 2 недели. Видимо на других участках шансов на «контрнаступление» еще меньше.
**__9.  
Николаев. 
__**Позиционные бои на Никопольском, Криворожском и Николаевском направлениях. Наступление ВСУ остается тут сугубо виртуальным. Украинское командование уже открытым текстом призывает прекратить писать про «успехи ВСУ», так как картина «наступления» становится все более нелепой на фоне многочисленных кадров уничтожения живой силы и техники ВСУ ракетными и артиллерийскими ударами.
**__10.  
Запорожье. 
__**На линии Каменское—Орехов—Гуляйполе—Великая Новоселовка без существенных изменений. 
Бои в районе Угледара и Павловки. В Новомихайловке и Марьинке без изменений. Активности противника с наступлением на Павловку и Егоровку хватило ненадолго.

@voenkorKotenok",Yes,A
3,1080134301,20423,"**Пассажирка метро напала с ножом на москвичку за громкий разговор по телефону.

**Женщины ехали в одном поезде, между станциями Говорово и Минская пассажирка набросилась с ножом на 36-летнюю москвичку: женщине не понравилось, что соседка по вагону громко говорит по телефону. Нападавшая ранила пассажирку в лицо. 50-летнюю женщину задержали на станции Октябрьское поле, возбуждено дело по статье «Угроза убийством».",Yes,C
4,1247556894,3152,"Розумію, що киянам, які виїхали з міста, хочеться чим швидше повернутися додому.

Однак, прошу утриматися від цього принаймні ще тиждень. 
Також прошу не повертатися поки до своїх домівок жителів звільнених від окупантів передмість Києва.

По-перше, в кількох районах Київській області зараз діє цілодобова комендантська година. Також у містах біля столиці, де тривали бої, виявляють велику кількість вибухонебезпечних предметів. Які можуть становити велику загрозу.

Не виключаємо ми і вірогідності ракетних обстрілів. Так, наші сили ППО працюють на відмінно. Але, все може статися. Тож  прошу людей трохи почекати і не повертатися.",Yes,B
5,1093357968,13253,"❗️ЭКСКЛЮЗИВ❗️

🔥На Соледарском направлении казаки 6-го Казачьего Полка проводят зачистки улиц под прикрытием танка. 
Заняли ключевую улицу, для наиболее эффективного продвижения.

Любо Казакам❗️❗️❗️

Евгений Лисицын @evgeniy_lisitsyn",No,
6,1498939244,36232,"Ещё кадры с последствиями ночного обстрела Калининского района Донецка.

Пострадал жилой сектор, медицинский университет и больница.",Yes,B
7,1469021333,11669,"🤣Тим часом пропагандонам рве дах..
Вже з «сатаністами і бісами» воюють😁",No,
8,1457892982,24979,"**Народное творчество не остановить😏

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
9,1457892982,26732,"**Новые кадры из Крымского моста. Работает 1 полоса. Цистерны стоят

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
10,1144404150,12095,"⚡️Гуманитарные коридоры и маршруты выхода согласованы с украинской стороной — Минобороны РФ.

@warjournaltg",No,
