Index,channel_id,post_id,date,Post,Trans,Label,Type
0.0,1409438904.0,40782.0,2025-07-07 02:10:56+00:00,"🚔🇻🇪 **Encuentran enterrado el cadáver de hombre que tenía casi dos semanas desaparecido**

 https://alertas24.com/encuentran-enterrado-el-cadaver-de-hombre-que-tenia-casi-dos-semanas-desaparecido/

📡📲 Únete a nuestro canal de noticias en Telegram y entérate 24/7 y al instante de las noticias más importantes de Venezuela y el mundo:

https://t.me/Alertas24

📲  **Suscríbete a Alertas 24 en YouTube para recibir más contenido relevante al instante:**

https://youtube.com/@Alertas24

Alertas 2️⃣4️⃣",🚔🇻🇪 **Body of man missing for nearly two weeks found buried** https://alertas24.com/encuentran-enterrado-el-cadaver-de-hombre-que-tenia-casi-dos-semanas-desaparecido/ 📡📲 Join our Telegram news channel and get 24/7 instant updates on the most important news from Venezuela and the world: https://t.me/Alertas24 📲 **Subscribe to Alertas 24 on YouTube for more relevant content instantly:** https://youtube.com/@Alertas24 Alertas 2️⃣4️⃣,No,
1.0,1375124677.0,33233.0,2023-10-08 19:39:27+00:00,"**Gobernador de Trujillo detendrá a quien genere violencia durante la primaria**

Gerardo Márquez aseguró que hay “información sobre presuntas intenciones de generar focos de confrontación promovidos por factores de oposición”.

El gobernador de Trujillo, Gerardo Márquez, advirtió que de generarse violencia en los centros de votación que habilitará la oposición para la elección primaria del 22 de octubre, los responsables del lugar serán procesados judicialmente.

Precisó que existe la intención de hacer el proceso de votación en casas de familias, condominios…

https://elperiodiquito.com/?p=123024

📡  🇻🇪 𝐂𝐚𝐧𝐚𝐥 𝐏𝐚𝐭𝐫𝐢𝐚 𝐃𝐢𝐠𝐢𝐭𝐚𝐥

🛰️ Telegram :
https://t.me/PatriaDigital","**Governor of Trujillo Will Arrest Anyone Who Instigates Violence During the Primary** Gerardo Márquez asserted that there is “information about alleged intentions to create hotspots of confrontation promoted by opposition figures.” The governor of Trujillo, Gerardo Márquez, warned that if violence erupts at the polling stations that the opposition will set up for the October 22 primary election, those responsible will be prosecuted. He specified that there is an intention to conduct the voting process in family homes, condominiums… https://elperiodiquito.com/?p=123024 📡 🇻🇪 𝐂𝐚𝐧𝐚𝐥 𝐏𝐚𝐭𝐫𝐢𝐚 𝐃𝐢𝐠𝐢𝐭𝐚𝐥 🛰️ Telegram : https://t.me/PatriaDigital",No,
2.0,1246484941.0,43019.0,2024-06-03 21:02:16+00:00,"#EnFotos || Durante la tarde de este #lunes, la Vicepresidenta Ejecutiva de la República, Delcy Rodríguez, lideró una reunión del Consejo de Vicepresidentes Sectoriales para hacer seguimiento a la ejecución de casos atendidos a través del 1X10 del Buen Gobierno.

 También se revisaron las obras ejecutadas a través del Consejo Federal de Gobierno y evaluaron el avance de los 4.500 proyectos elegidos por el pueblo venezolano en la Consulta Popular Nacional.

#03Jun","#InPhotos || On Monday afternoon, Executive Vice President Delcy Rodríguez led a meeting of the Council of Sectoral Vice Presidents to monitor the progress of cases addressed through the 1x10 Good Governance program. They also reviewed projects carried out through the Federal Government Council and assessed the progress of the 4,500 projects selected by the Venezuelan people in the National Popular Consultation. #June3",No,
3.0,1375124677.0,45240.0,2024-09-10 18:58:56+00:00,"**Delcy Rodríguez Vicepresidenta Ejecutiva**


Por instrucciones del Pdte. @NicolasMaduroMoros durante el Consejo de Vicepresidentes Sectoriales hemos evaluado el Plan de Gobierno vinculado a los circuitos comunales territoriales para avanzar con el fortalecimiento del poder popular y la democracia participativa. Además, revisamos los proyectos que se encuentran en ejecución y que fueron aprobados en la segunda Consulta Popular Nacional 2024.

Asimismo, en este encuentro abordamos el inicio del año escolar 2024 - 2025, previsto para el próximo #30Sept, el trabajo que vienen realizando las Bricomiles de educación en la adecuación y embellecimiento de los planteles en todo el territorio nacional, la entrega de la Colección Bicentenaria a los estudiantes, la formación a los docentes y la continuidad de las Ferias Escolares para que nuestro pueblo adquiera los útiles y uniformes a precios justos.

📡  🇻🇪 𝗥𝗘𝗗𝗘𝗦 𝗦𝗢𝗖𝗜𝗔𝗟𝗘𝗦

Telegram
https://t.me/PatriaDigital

Instagram
https://bit.ly/4aeiHsj

Canal en WhatsApp
https://whatsapp.com/channel/0029VaYsEiEFnSzIkanp4A3K","**Delcy Rodríguez, Executive Vice President** Following instructions from President @NicolasMaduroMoros, during the Council of Sectoral Vice Presidents, we evaluated the Government Plan related to the territorial community circuits to advance the strengthening of popular power and participatory democracy. We also reviewed the projects currently underway that were approved in the second National Popular Consultation of 2024. Furthermore, in this meeting, we addressed the start of the 2024-2025 school year, scheduled for September 30th, the work being carried out by the Bricomiles education brigades in the renovation and beautification of schools throughout the country, the distribution of the Bicentennial Collection to students, teacher training, and the continuation of the School Fairs so that our people can purchase school supplies and uniforms at fair prices. 📡 🇻🇪 SOCIAL MEDIA Telegram https://t.me/PatriaDigital Instagram https://bit.ly/4aeiHsj WhatsApp Channel https://whatsapp.com/channel/0029VaYsEiEFnSzIkanp4A3K",No,
4.0,1375124677.0,55112.0,2025-05-28 17:03:54+00:00,"📰📰📰📰📰


🚨🇻🇪⛓️🚔 **Funcionarios de la Policía Nacional Bolivarianna (PNB) adscritos a División de investigación Penal Base Tiuna detuvieron en el Valle, municipio Libertador, Caracas al ciudadano Carlos Andrés Pérez Abreu, responsable de la página Monitor Dólar Venezuela.**

El detenido difundía por redes sociales el valor del dólar a un precio distinto y especulativo al oficial publicado por el BCV

Al momento de su detención, portaba un carnet de la Dirección Ejecutiva de la Magistratura.

🌍🌐  🇻🇪  𝗖𝗮𝗻𝗮𝗹 𝗣𝗮𝘁𝗿𝗶𝗮 𝗗𝗶𝗴𝗶𝘁𝗮𝗹.

📱Telegram
https://t.me/PatriaDigital

Instagram
https://bit.ly/43sxGxA

Canal en WhatsApp
https://whatsapp.com/channel/0029VaYsEiEFnSzIkanp4A3K","📰📰📰📰📰 🚨🇻🇪⛓️🚔 **Officers of the Bolivarian National Police (PNB) assigned to the Tiuna Base Criminal Investigation Division arrested Carlos Andrés Pérez Abreu, the person responsible for the Monitor Dólar Venezuela page, in El Valle, Libertador Municipality, Caracas.** The detainee was disseminating a speculative dollar exchange rate on social media, different from the official rate published by the Central Bank of Venezuela (BCV). At the time of his arrest, he was carrying an identification card from the Executive Directorate of the Judiciary. 🌍🌐 🇻🇪 Digital National Channel. 📱Telegram https://t.me/PatriaDigital Instagram https://bit.ly/43sxGxA WhatsApp Channel https://whatsapp.com/channel/0029VaYsEiEFnSzIkanp4A3K",No,
5.0,1375124677.0,51632.0,2025-02-23 12:20:25+00:00,"El #23Feb quedó marcado como el día en que Venezuela luchó por la soberanía y la Paz en la ""Batalla de Los Puentes"", donde pretendían invadirnos con una supuesta “ayuda humanitaria”, y así generar violencia para desestabilizar a nuestro país.

La derecha extremista, el mismo grupo de siempre, perverso y malvado, que ha estado en todas las conspiraciones para dañar la sociedad venezolana, no contaba con un detalle definitivo: la unión cívico-militar-policial que defendió nuestras fronteras, garantizando la integridad territorial.

A 6 años de esta victoria del Pueblo, recordamos que ante cada prueba hemos salido más fuertes. Es un aprendizaje colectivo que va a lo individual, y es la admiración del mundo entero.

¡No han pasado, ni los dejaremos pasar! La Paz de Venezuela es sagrada y nosotros la cuidaremos.","February 23rd is etched in history as the day Venezuela fought for sovereignty and peace in the ""Battle of the Bridges,"" where an attempt was made to invade us under the guise of ""humanitarian aid,"" hoping to incite violence and destabilize our country. The extremist right wing, the same perverse and evil group that has always been involved in conspiracies to harm Venezuelan society, failed to account for one crucial detail: the civic-military-police alliance that defended our borders, guaranteeing territorial integrity. Six years after this victory of the people, we remember that we have emerged stronger from each challenge. It is a collective lesson that extends to the individual, and it has earned the admiration of the entire world. They have not succeeded, and we will not succeed! The peace of Venezuela is sacred, and we will protect it.",No,
6.0,1375124677.0,45502.0,2024-09-17 10:45:57+00:00,"**Durante la edición N.º 57 del programa Con Maduro +, el Presidente Nicolás Maduro: **

📌 Destacó la recuperación de más de 8 mil Instituciones Educativas del país con las Bricomiles.

📌 Manifestó el **repudio absoluto ante el segundo intento** de asesinato al expresidente y candidato Donald Trump.

📌 Subrayó que el Gobierno de Estados Unidos no esperaba que se lograra la captura del Jefe de operaciones del plan terrorista contra Venezuela, el militar activo reconocido así por los EE. UU.

📌  Señaló el gran trabajo de la **Gran Misión Ciencia, Tecnología e Innovación** en el país para garantizar ayuda y bienestar a los más necesitados.

📌 Anunció el inicio del proyecto para constituir y organizar a los jóvenes  en los núcleos, comités y otras formas de organización de la juventud en los Circuitos Comunales.

📌 Convocó a las 5 Generaciones a participar en el **Gran Congreso Nacional del Bloque Histórico Bolivariano Popular y Chavista de Venezuela**; para integrar un bloque de fuerzas.

VTV

📡  🇻🇪 𝗥𝗘𝗗𝗘𝗦 𝗦𝗢𝗖𝗜𝗔𝗟𝗘𝗦

Telegram
https://t.me/PatriaDigital

Instagram
https://bit.ly/4aeiHsj

Canal en WhatsApp
https://whatsapp.com/channel/0029VaYsEiEFnSzIkanp4A3K","During the 57th edition of the program ""Con Maduro +,"" President Nicolás Maduro: 📌 Highlighted the restoration of more than 8,000 educational institutions across the country through the Bricomiles program. 📌 Expressed his absolute condemnation of the second assassination attempt against former President and candidate Donald Trump. 📌 Underscored that the United States government did not expect the capture of the head of operations for the terrorist plot against Venezuela, the active-duty military officer recognized as such by the U.S. 📌 Acknowledged the significant work of the Great Mission for Science, Technology, and Innovation in the country to guarantee aid and well-being for those most in need. 📌 Announced the launch of a project to establish and organize young people in youth groups, committees, and other forms of youth organization within the Communal Circuits. 📌 He called upon the five generations to participate in the **Grand National Congress of the Bolivarian Popular and Chavista Historical Bloc of Venezuela**; to form a united front. VTV 📡 🇻🇪 SOCIAL MEDIA Telegram https://t.me/PatriaDigital Instagram https://bit.ly/4aeiHsj WhatsApp Channel https://whatsapp.com/channel/0029VaYsEiEFnSzIkanp4A3K",No,
7.0,1409438904.0,17740.0,2023-07-06 16:00:35+00:00,"🛥️🇪🇸⚠️ **Casi mil inmigrantes han muerto en embarcaciones precarias rumbo a España**

https://alertas24.com/internacionales/casi-mil-inmigrantes-han-muerto-en-embarcaciones-precarias-rumbo-a-espana/

📡📲 Únete a nuestro canal de noticias en Telegram y entérate 24/7 y al instante de las noticias más importantes de Venezuela y el mundo:

https://t.me/Alertas24

📲  **Síguenos en Threads:**

@alertas24

Alertas 2️⃣4️⃣",🛥️🇪🇸⚠️ **Nearly a thousand migrants have died in precarious boats bound for Spain** https://alertas24.com/internacionales/casi-mil-inmigrantes-han-muerto-en-embarcaciones-precarias-rumbo-a-espana/ 📡📲 Join our news channel on Telegram and get 24/7 instant updates on the most important news from Venezuela and the world: https://t.me/Alertas24 📲 **Follow us on Threads:** @alertas24 Alerts 2️⃣4️⃣,No,
8.0,1375124677.0,45377.0,2024-09-13 22:12:16+00:00,"**¡Golpe de escritorio! Gustavo Petro presenta prueba sobre la ejecución de un plan en su contra**

https://venezuela-news.com/golpe-de-escritorio-gustavo-petro-presenta-prueba-sobre-la-ejecucion-de-un-plan-en-su-contra/

📡  🇻🇪 𝗥𝗘𝗗𝗘𝗦 𝗦𝗢𝗖𝗜𝗔𝗟𝗘𝗦

Telegram
https://t.me/PatriaDigital

Instagram
https://bit.ly/4aeiHsj

Canal en WhatsApp
https://whatsapp.com/channel/0029VaYsEiEFnSzIkanp4A3K",**A power play! Gustavo Petro presents evidence of a plot against him** https://venezuela-news.com/golpe-de-escritorio-gustavo-petro-presenta-prueba-sobre-la-ejecucion-de-un-plan-en-su-contra/ 📡 🇻🇪 SOCIAL MEDIA Telegram https://t.me/PatriaDigital Instagram https://bit.ly/4aeiHsj WhatsApp Channel https://whatsapp.com/channel/0029VaYsEiEFnSzIkanp4A3K,No,
9.0,1409438904.0,20949.0,2023-11-02 01:13:06+00:00,"🚔⚖️ **Hombre pagará 12 años de prisión por abusar sexualmente de su sobrina**

https://alertas24.com/sucesos/hombre-pagara-12-anos-de-prision-por-abusar-sexualmente-de-su-sobrina/

📡📲 Únete a nuestro canal de noticias en Telegram y entérate 24/7 y al instante de las noticias más importantes de Venezuela y el mundo:

https://t.me/Alertas24

📲  **Sigue a Alertas24 en Instagram para recibir más contenido relevante al instante:**

https://instagram.com/Alertas24

Alertas 2️⃣4️⃣",🚔⚖️ **Man to serve 12 years in prison for sexually abusing his niece** https://alertas24.com/sucesos/hombre-pagara-12-anos-de-prision-por-abusar-sexualmente-de-su-sobrina/ 📡📲 Join our Telegram news channel and stay informed 24/7 and instantly about the most important news from Venezuela and the world: https://t.me/Alertas24 📲 **Follow Alertas24 on Instagram to receive more relevant content instantly:** https://instagram.com/Alertas24 Alertas 2️⃣4️⃣,No,
