Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
6901,"**Київ: важливе на сьогодні **🔵🟡

**📲У міському застосунку «Київ Цифровий» тепер можна голосувати за електронні петиції. **Це вже третій інструмент е-демократії у застосунку після голосування за проєкти Громадського бюджету і дерусифікацію.

**🏭У Києві виконають частину енергоефективних проектів у житлових будинках за програмою «70/30%».** Місто посилено готується до опалювального сезону: проводять планові роботи, накопичують запаси резервного палива та встановлюють генератори.

⛈**У столиці 17 серпня знову очікуються грози: гідрослужби КК «Київавтодор» продовжують роботу у посиленому режимі. **На місцях імовірних підтоплень чергують бригади із технікою.

**Детальніше:** https://cutt.ly/DXjQH5H

**Kyiv: important news** 🔵🟡

**📲Now you can vote on electronic petitions in the Kyiv Digital (Київ Цифровий) app.** This is now the third e-voting tool in the app after the vote on the Public Budget and derussification projects.

**🏭In Kyiv, some of the 70/30% program's energy-efficient projects in residential buildings will be implemented in preparation for the heating season.** Kyiv is intensively preparing for the heating season: scheduled works are being carried out, fuel reserves are being accumulated, and generators are being installed.

**⛈Thunderstorms are again expected to hit Kyiv on August 17. Kyivavtodor's hydraulic service units continue to operate in an enhanced mode. **The hydraulic service units are watching the sites of possible flooding.

**More details:** https://cutt.ly/DXjQH5H","**Kyiv: Important News** 🔵🟡

**📲Now you can vote on electronic petitions in the Kyiv Digital (Київ Цифровий) app.** This is now the third e-voting tool in the app after voting on public budget projects and derussification initiatives.

**🏭In Kyiv, some of the 70/30% program's energy-efficient projects in residential buildings will be implemented in preparation for the heating season.** The city is intensively preparing for the heating season by carrying out scheduled work, accumulating fuel reserves, and installing generators.

**⛈Thunderstorms are again expected to hit Kyiv on August 17. Kyivavtodor's hydraulic service units continue to operate in an enhanced mode.** The hydraulic service units are monitoring potential flood sites.

**More details:** https://cutt.ly/DXjQH5H",,,,,
6902,"**📲У міському застосунку «Київ Цифровий» тепер можна голосувати за електронні петиції

**✔️Як [повідомив](https://t.me/olenych_digital/201?single) керівник цифрової трансформації Києва і заступник голови КМДА Петро Оленич, це вже третій інструмент е-демократії у застосунку після голосування за проєкти Громадського бюджету і дерусифікацію.

✔️У застосунку «Київ Цифровий» користувачі зможуть:

▪️переглянути опубліковані на сайті петиції та детальну інформацію про них
▪️підтримати петицію
▪️відслідковувати прогрес підписаних ними петицій.

ℹ️Електронна петиція – це сервіс для громадян, який дає змогу донести свої ініціативи до Київської міської ради. У разі отримання 6000 підписів ініціативи розглянуть і за можливості виконають. Петиції можуть стосуватися будь-якого питання, яке належить до компетенції Київської міської ради, Київської міської державної адміністрації та їхніх структурних підрозділів.","**📲Now you can vote on electronic petitions in the city app ""Kyiv Digital""**

**✔️As reported by Oleanych Digital [here](https://t.me/olenych_digital/201?single), Kiev's digital transformation head and Deputy Head of KMDA Petro Oleanych, this is the third e-democracy tool in the app after voting on citizen budget projects and de-russification.

✔️In the ""Kyiv Digital"" app, users can:

▪️view published petitions on the website and detailed information about them
▪️support a petition
▪️track the progress of signed petitions.

ℹ️An electronic petition is a service for citizens that allows them to present their initiatives to the Kyiv City Council. If an initiative gathers 6,000 signatures, it will be considered and, if possible, implemented. Petitions can address any issue within the competence of the Kyiv City Council, Kyiv City State Administration, and their structural subdivisions.",,,,,
6903,🍒**У Києві цього тижня тривають продуктові сільськогосподарські ярмарки – ****https://cutt.ly/XXgxug9**,"🍒 This week in Kyiv, there are agricultural product fairs – [https://cutt.ly/XXgxug9](https://cutt.ly/XXgxug9)",,,,,
6904,"🚇**Станція метро «Теремки» працює у звичайному режимі

**«Київський метрополітен» перепрошує за тимчасові незручності!","🚇The metro station ""Teryoki"" is operating in normal mode.

""Kyiv Metro"" apologizes for any inconvenience caused!",,,,,
6905,"⚡️🚇**Станція «Теремки» зачинена на вхід та вихід для пасажирів у зв’язку із задимленням у підземному переході
**
На місце викликано всіх необхідних фахівців.

Про відкриття станції буде повідомлено додатково.","⚡️🚇**The ""Terepki"" station is closed for entry and exit due to smoke in the underground passage.**

All necessary specialists have been called to the scene.

Further updates on the reopening of the station will be provided.",,,,,
6906,"**Київ: важливе на сьогодні **🔵🟡

**🚲 Нове асфальтове покриття, бруківка на тротуарах і велодоріжки: на вулиці Івана Франка закінчили капітальний ремонт**. Вулиця стала зручнішою й безпечнішою для пішоходів. На пішохідних переходах з’явились антикишені, які розширяють тротуар, а щоб водії не паркували авто на тротуарах, встановили близько 500 стовпчиків.

**❗️Киянам нагадують про необхідність неухильно дотримуватися комендантської години, яка триває із 23:00 до 5:00**. Виходити під час комендантської години можна тільки у разі отримання сигналу про повітряну тривогу, аби дістатися найближчого укриття. При цьому, обов’язково мати з собою документ, який посвідчує особу.

**⏰ У застосунку «Київ Цифровий» можна увімкнути сповіщення, що за 60 хвилин нагадуватиме про початок комендантської години. **Для цього необхідно підключити нагадування в налаштуваннях застосунку.  О 22:00 сповіщення нагадає, що потрібно поквапитися додому.

**🦠У Києві за минулий тиждень виявили 316 хворих на коронавірус**. Міська влада нагадує, що єдиний дієвий спосіб уберегти себе від важкого перебігу хвороби – це щеплення.

**🐶🐱У столиці провели безоплатний тренінг із надання невідкладної допомоги тваринам, до якого долучилось більше ста містян**.

**Детальніше:** [https://bit.ly/3A4NLcK

](https://bit.ly/3A4NLcK)**Kyiv: important news** 🔵🟡

**🚲** **New asphalt surfaces, paving stones on sidewalks, and bike lanes: the capital repairs on Ivan Franko Street have been completed**. Crosswalks now have raised medians that expand the sidewalk so that drivers don't park their vehicles on sidewalks. Approximately 500 bollards have been installed.

❗️**Kyivans must strictly follow the curfew, which lasts from 23:00 to 5:00.** You can go outside during curfew only if there is an air raid signal and only to get to the nearest shelter. Please make sure to have an ID with you.

⏰ **The Kyiv Digital (Київ Цифровий) app has a useful feature. It can send notifications an hour prior to the start of curfew**. To receive notifications, enable the feature in the app's settings. The app will remind you that it's time to hurry home at 22:00.

**🦠316 cases of coronavirus were reported in Kyiv last week**. The local authorities want to remind everyone that vaccination is the most effective way to prevent severe disease.

**🐶🐱A training session on providing emergency medical care to animals was attended by over 100 citizens**.

**More details:** https://bit.ly/3A4NLcK","**Kyiv: Important News** 🔵🟡

**🚲 New asphalt surfaces, paving stones on sidewalks, and bike lanes: the capital repairs on Ivan Franko Street have been completed**. This has made the street more convenient and safer for pedestrians. Raised medians have been added to crosswalks to expand the sidewalk width, and approximately 500 bollards have been installed to prevent cars from parking on the sidewalks.

❗️**Kyiv residents are reminded to strictly adhere to the curfew, which runs from 23:00 to 05:00**. You can only leave your home during the curfew if there is an air raid alert and only to reach the nearest shelter. It is mandatory to carry identification at all times.

⏰ **The Kyiv Digital (Київ Цифровий) app offers a helpful reminder feature. It sends notifications one hour before the curfew begins**. To use this feature, enable reminders in the app's settings. At 22:00, the app will remind you to hurry home.

**🦠 Last week, 316 cases of coronavirus were reported in Kyiv**. The city administration emphasizes that vaccination is the most effective way to prevent severe illness",,,,,
6907,"**📲У застосунку «Київ Цифровий» можна увімкнути сповіщення, що за 60 хвилин нагадуватиме про початок комендантської години

**✔️Як [повідомив ](https://t.me/olenych_digital/199)заступник голови КМДА Петро Оленич, для цього необхідно підключити нагадування в налаштуваннях застосунку.

🔔О 22:00 сповіщення нагадає, що потрібно поквапитися додому.","**📲 In the ""Kyiv Digital"" app, you can enable notifications that will remind you 60 minutes before the start of the curfew.

**✔️ As [reported by](https://t.me/olenych_digital/199) Petro Olenich, deputy head of KMDA, to do this, you need to turn on reminders in the app settings.

🔔 At 22:00, the notification will remind you to hurry home before the curfew starts.",,,,,
6908,"**⛈Сьогодні до кінця доби і завтра у Києві очікуються грози –  Укргідрометцентр

**❗️Під час сильного вітру необхідно триматися подалі від рекламних щитів, ліній електропередачі, дерев, а також не паркувати поряд із ними автотранспорт.

✔️Під час грози на місцях можливих підтоплень дорожньої мережі чергуватиме спецтехніка КК «Київавтодор». Загалом підприємства «Київавтодору» мають 91 одиницю спецтехніки і спецзасобів для ремонту та очистки системи зливової каналізації. Серед них мотопомпи, гідромонітори, насосні станції.

📞У разі підтоплень проїжджої частині чи тротуарів звертайтесь до диспетчерської: 044-284-74-19.

🚒При падінні дерев чи гілок, при травмуванні людей тощо негайно інформувати екстрені служби: 101 або 103. Телефон КАРС: 044-430-37-13.","**⛈ Today until the end of the day and tomorrow in Kyiv, thunderstorms are expected – Ukrainian Hydrometeorological Center

**❗️ During strong winds, it is necessary to stay away from advertising billboards, power lines, trees, and also not to park next to them.

✔️ During thunderstorms, special equipment from KKH ""Kyivavtodor"" will be used to clear roads in areas prone to flooding. In total, the ""Kyivavtodor"" enterprises have 91 units of special equipment and tools for repairing and cleaning the drainage system, including motopumps, hydromonitors, and pumping stations.

📞 In case of road or sidewalk flooding, contact the dispatcher at 044-284-74-19.

🚒 In case of fallen trees or branches, or if there are injuries, immediately inform emergency services at 101 or 103. The number for KARS: 044-430-37-13.",,,,,
6909,"**Нове асфальтове покриття, бруківка на тротуарах і велодоріжки: на вулиці Івана Франка закінчили капітальний ремонт

**✔️Вулиця стала зручнішою й безпечнішою для пішоходів. На пішохідних переходах з’явились антикишені, які розширяють тротуар, а щоб водії не паркували авто на тротуарах, встановили близько 500 стовпчиків.

✔️Для людей з інвалідністю, батьків із дитячими візками збудовано пандус на перетині вулиць Івана Франка і В’ячеслава Липинського. На тротуарах вставили тактильну плитку і тактильні напрямні. А в розмітці пішохідних переходів використали яскраві смуги-орієнтири.

🚲Вулиця стала «дружньою» до велосипедистів. Окрім велодоріжки, влаштували 11 велопарковок.

✔️У рамках ремонту оновили сходи до вулиці Ярославів Вал.  Сходи добре освітлюються і стали місцем прогулянок вечірнім Києвом.

🌳На всій протяжності вулиці оновлено газони і висаджено близько 30 дорослих платанів.","**New asphalt pavement, pedestrian crossings on sidewalks, and bike paths: The Ivan Franko street has completed its major renovation.

**✔️The street has become more convenient and safer for pedestrians. Anti-skid surfaces have been added to the crosswalks, and around 500 posts have been installed to prevent cars from parking on the sidewalks.

✔️For people with disabilities, parents with strollers, and others, a ramp has been built at the intersection of Ivan Franko and Vyacheslav Lypynsky streets. Tactile paving and directional markings have been installed on the sidewalks, and bright guide stripes have been used in the crosswalk markings.

🚲The street is now ""friendly"" to cyclists. In addition to the bike path, 11 bike parking areas have been set up.

✔️As part of the renovation, the steps leading to Yaroslaviv Val Street were updated. The steps are well-lit and serve as a gathering place for evening walks in Kyiv.

🌳The entire length of the street has had its lawns refreshed, and about 30 mature plane trees have been planted.",,,,,
6910,"**🚌 Відзавтра, 14 серпня, автобуси маршруту № 21 курсуватимуть із заїздом до станції метро «Почайна»

**🔁Роботу автобусів буде організовано в напрямку руху до станції метро «Почайна» за постійною схемою руху, в зворотньому напрямку: проспект Оболонський – проспект Степана Бандери, далі за постійною схемою.

ℹ️Нагадаємо, автобус №21 курсує від вулиці Милославської до Залізничної станції «Зеніт».

🚋Крім того, із 15 серпня буде відновлено роботу трамвайного маршруту № 28: вулиця Милославська – станція метро «Лісова».","**🚌 Starting from August 14, buses on route #21 will stop at the ""Pochayivska"" metro station.

**🔁 The operation of buses will be organized in the direction towards the ""Pochayivska"" metro station according to a fixed schedule. In the opposite direction, the route will follow Obolonsky Prospekt - Stepan Bandera Prospekt, then according to a fixed schedule.

ℹ️ Remember, bus #21 runs from Myloslavskaya Street to the ""Zenit"" railway station.

🚋 Additionally, starting from August 15, tram route #28 will resume operation: Myloslavskaya Street - ""Lisova"" metro station.",,,,,
