,Post,Trans,Label,Type,Index
400,"**Папа принес извинения

**Ранее Папа Римский Франциск в интервью иезуитскому журналу ""Америка"" заявил, что наибольшую жестокость при проведении спецоперации на Украине якобы проявляют российские солдаты, воспитанные вне русской традиции, назвав в качестве примера бурятов и чеченцев.

Сегодня же Папа Римский Франциск отказался от своих слов о жестокости бурят и чеченцев - по  его словам, обидеть эти народы он точно не хотел:

""__Когда я говорил о России, я говорил о традиции русского гуманизма, цитируя Достоевского. Я хотел дать понять, что жестокости войны не исходят из русской души. Я всегда стремился к тому, чтобы спасти русский народ, потому что убежден: у него великое призвание. Но средства массовой информации предлагают свою интерпретацию"", — __объяснился понтифик. Теперь Франциск утверждает__, __что__ ""его слова о жестокости бурят и чеченцев были неверно истолкованы__"".

@VoinaNaUkraine","**Pope Francis apologized **Previously Pope Francis of Rome in an interview with the Jesuit magazine ""America"" stated that the greatest cruelty in conducting a special operation in Ukraine is allegedly shown by Russian soldiers raised outside the Russian tradition, citing as an example the Buryat and Chechens. Today, Pope Francis of Rome refused his words about the cruelty of the Buryat and Chechens - according to him, to offend these peoples he did not want to say: ""____When I spoke of Russia, I am talking about the tradition of Russian humanism, quoting Dostoevsky. I wanted to make it clear that the cruelty of war does not originate from the Russian soul.",,,
401,"Приспешники преступного киевского режима не скрывают, что убивают инакомыслящих. Боевики киевской терробороны с особой жестокостью расправились над уроженцами Северодонецка.

[https://t.me/denazi_UA/10318
](https://t.me/denazi_UA/10318)
@epoddubny",The Kiev terrorists have been killing the natives of North Donetsk with a particular brutality.,,,
402,"А ведь сегодня праздник дамы, господа и товарищи!

Ровно 63 года с даты ликвидации советскими спецслужбами лютого врага самой идеи Большой России (какой бы эта Россия ни была - царской, советской, социал-демократической) - Степана Бандеры!

Прихвостень нацистов, впечатливший своей жестокостью до отвращения даже бесноватого фюрера, предававший своих союзников и идейный палач закончил свою жизнь в результате операции МГБ... Да, его не получилось взять живым. Да, это было бы желательно. Но... Сделали что смогли!

Но тем не менее - каратель и убийца получил свое! Хотя брошенные им и его иностранными кураторами ядовитые семена, с которыми правительство Союза к сожалению всерьез не боролось, дали свои всходы. А их плоды мы пожинаем сейчас. И это еще более подчеркивает факт того, сколь принципиально, непримиримо и тщательно должна вестись борьба с идейным противником!

Живой пример: не додавили тогда - воюем сейчас. Надеюсь урок будет усвоен на 5+!","It is exactly 63 years since the Soviet special services eliminated the greatest enemy of the Great Russia (whatever Russia is - tsarist, Soviet, social democratic) - Stepan Bandera! The Nazi faction, which impressed even the mad fighter who betrayed his allies and the ideological palace who ended his life as a result of the KGB operation with his brutality to the point of disgust, has been killed by the Soviet special services. Yes, he could not have been taken alive. Yes, it was desirable. But... they did what they could! But nevertheless, the punisher and the killer got! Although the seeds thrown by them and their foreign curators I fought against the Union governments who did not give their way to the Soviet Union, and I hope that they will not take their seeds into their own hands.",,,
403,"На днях глава друзского сопротивления шейх Хикмет встречался со спецпосланником Трампа по БВ пресловутым Томасом Бараком и, говорят, когда шейх показал зверства боевиков нового прогрессивного правительства эксХТШ в Сувейде , то Барак чуть не прослезился (или даже слегка всплакнул?), призвав немедленно найти виновных и наказать по закону (непонятно, правда, какому).
В ответ правительство Джулани снова клятвенно пообещало всех найти и покарать. Между тем всплывают все новые обстоятельства и видеозаписи из Сувейды и окрестностей убийств местных с особой жестокостью и , конечно, грабежей людьми прекрасно экипированных , ну, и с патчами, как т.н. служб безопасности,  так и ИГИЛ (запрещённой, как и ХТШ в РФ, и не только в РФ).
И, если раньше в ответ на это, представители новых прогрессивных джихадистов твердили о фейках и фабрикациях, то теперь отрицать стало бессмысленно и крайним стали некие революционно несознательные ополченцы из племен.
Спустя столько времени спохватились и ооновцы выкатившие доклад об эскалации насилия и жертвах среди мирного населения.
Впрочем, Трамп назвал Джулани ""нормальным парнем"" и поэтому, и европейцы и Томас Барак будут продолжать верить в светлое будущее эксХТШ, подчёркивать приверженность единой и неделимой Сирии.
Однако, Бараку в данном случае пришлось и всплакнуть , но там Израиль , а ради Израиля можно и не только всплакнуть).","In response, the government of the Julanis again swore to find and punish all. Meanwhile, all the new circumstances and video recordings from the new progressive government of the ex-HKT in Suweid only surfaced with a special brutality and, therefore, only the unprecedented violence of the crew, the defeat of the Thomas and the Trump patches, the lack of security of the people of Israel and the Syrian people, and the ""extreme violence of the Soviet Union and the Syrian people"" that has been witnessed in the past, has become so obvious that the report of the Russian and Syrian revolutionary and the Syrian people, including the Russian and Syrian people, has become so clear that it is not possible to deny the fact that the people of the Russian Federation and the Syrian people will not be able to respond to the violence.",,,
404,"**Десять лет назад — 2 мая 2014 года — произошли страшные трагические события в Одессе.
**
Нацисты, представители «Правого сектора» (запрещён в РФ), устроили беспорядки в городе: сначала разгромили палаточный городок, где проходил сбор подписей за проведение референдума в том числе о придании государственного статуса русскому языку, а затем организовали охоту на тех, кто не поддержал Майдан.

Мирные люди вынужденно укрылись в Доме профсоюзов, но изверги, преследовавшие их, окружили здание и подожгли его, не допустив пожарных и спасателей на помощь находящимся внутри гражданам, продолжая забрасывать зажигательной смесью и стрелять по окнам. Люди не могли выйти. А тех, кому всё же это удавалось, негодяи забивали до смерти.

Жертвами нечеловеческой жестокости стали **48** человек. **32** — сгорели заживо, **6** — погибли от огнестрельных ранений, **10** — замучены нацистами. Среди погибших было обнаружено тело беременной женщины — её задушили.

**Виновные в этом преступлении до сих пор не наказаны.
**
Сегодня киевский режим переписывает историю Одессы. Демонтированы памятники основательнице города Екатерине II, полководцу Александру Суворову, монументы писателю Максиму Горькому, переименованы **около** **200** названий, связанных с Россией и СССР. Из школьной программы убрали русских писателей. Жителей города наказывают за использование русского языка.

**Вот что такое нацизм. Борьба с ним **—** одна из целей специальной военной операции на Украине, которая обязательно будет достигнута.**","**Ten years ago  2 May 2014  terrible tragic events occurred in Odessa. ** The Nazis, representatives of the  Right Sector (banned in the Russian Federation), organized riots in the city: first they destroyed the tent town where the sign-collection for holding a referendum was held, including on giving state status to the Russian language, and then organized a hunt for those who did not support the Maidan. ** Peaceful people were forced to hide in the House of Unions, but the outlaws who persecuted them surrounded the building and set it on fire, preventing firefighters and rescuers from helping its citizens until the city's name was changed, continuing the burning of the bodies of Alexander II by firing at the city. ** Today, Russian writers could not escape the Nazi regime, which has been linked to the death of all the victims of the Holocaust. ***** Today, the Soviet Union's Nazi regime has been using the same program to punish all the victims of the Holocaust. *********************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************",,,
405,"Компьютерные игры, содержащие материалы с пропагандой порнографии, жестокости и насилия и с ненормативной лексикой **могут попасть под запрет на распространение в РФ**.

Такая норма следует из поправки к законопроекту о пропаганде ЛГБТ, которую разработала первый замглавы комитета Госдумы по просвещению Яна Лантратова.

@VoinaNaUkraine","Computer games containing pornography, cruelty and violence and non-normative lectures can be banned in the Russian Federation. This rule follows from the amendment to the bill on LGBTQ propaganda, which was drafted by the first deputy head of the State Duma's education committee, Jan Lantratov. @VoinaNaUkraine",,,
406,"[Сергей Васильев опубликовал материал,  объясняющий остервенелость и упёртость укронацистов.](https://aftershock.news/?q=node/1206571) Указал на абсолютную идентичность психологических установок граждан гитлеровской Германии и укрорейха. Сходство поражает и очень многое объясняет.

Оцените, что написано про психологию жителей 3го рейха и сравните с установками современных укронацистов:

**Наблюдение первое: вера в чудодейственный ЗАПАД.**
“Лидерам НСДАП казалось смехотворным, что большевики возьмут Берлин, — отмечает в своей книге “Конец Германии Гитлера” британский историк Иэн Кершоу. — Они исступлённо считали — Запад такого не допустит”.

**Наблюдение второе: «Мы только защищаемся! и «Мы-жертва!»**
Идея оборонительной войны в коллективном сознании немцев  являлась конструктом нацистских идеологов, созданным с целью успокоения совести «народного сообщества». Немцы на протяжении всей войны представляли себя жертвами  заговора англосаксов, союзников, евреев, «большевистских варваров».

**Наблюдение третье: пугалки – ""они придут и вас съедят""!**
Геббельсовская пропаганда, используя образы «большевистских чудовищ» и «орд с Востока», раскручивала маховик страха перед приближающимися войсками Красной армии. Одним из знаковых пропагандистских образов стал Неммерсдорф — населенный пункт в Пруссии, где советские солдаты якобы с особой жестокостью совершили массовые убийства местных жителей. (Старгардт уделяет отдельное внимание созданию нацистами этого мифа. Да-да - та самая ""Буча""...)
В результате в последние месяцы войны, возможно как никогда ранее, «народное сообщество» оказалось объято не только патриотическим порывом по спасению страны, но и ужасом. И последнего в ощущениях рядовых немцев было все же больше...

Дальше - еще интереснее. Дальше - про то, почему население Украины поддерживает укровермахт...","[Sergey Vasiliev published a material explaining the psychology of the residents of the 3rd Reich and compare it with the attitude of modern Ukronacists: **Notice one: belief in the miraculous ZAPAD.** The leaders of the NSSDAP seemed to laugh at the fact that the Berliners would take more of the battle,  In his book  The German army's own Nazi warlord  In his book  The German army's own Nazi warlord  The British Nazi Nazi warlord  In his book  The Nazi Nazi Nazi Nazi Warlord  The Nazi Nazi Nazi Nazi Nazi Warlord  used the Nazi and Nazi forces to defend themselves,  We were not allowed to see the Nazi forces as the victims of this brutal attack.  The Nazi forces  In his book  The Nazi Nazi army  The Nazi army  The Nazi army  The Nazi army  The Nazi army  The Nazi army  The Nazi army  The Nazi army  The Nazi army  The Nazi army  The Nazi army  The Nazi army  The Nazi army  The Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi Nazi",,,
407,"**О запрете треш-стримов.**

В последние дни поступает особенно много обращений с просьбами найти решение, которое позволит эффективно бороться с таким явлением, как треш-стримы.
Это трансляции в интернете, в ходе которых совершаются противоправные деяния с демонстрацией жестокости, садизма, издевательств над людьми и животными, как правило с целью заработка денежных средств и увеличения своей аудитории.

Один из последних таких случаев — когда блогер в погоне за просмотрами решил бросить своего двухмесячного ребёнка в сугроб, снимая всё это на камеру и выставляя напоказ.

**В Государственной Думе обсуждается ряд законодательных инициатив для решения этой проблемы: **
📌 предлагается отнести треш-стримы к информации, **запрещённой к распространению;**
📌 социальные сети **обязаны будут мониторить такой контент и удалять его;**
📌 организаторов и участников треш-стримов **будут штрафовать на сумму до 700 тысяч рублей с изъятием оборудования** для ведения трансляций;
📌 факт ведения таких трансляций станет **отягчающим обстоятельством**, а также **квалифицирующим признаком по десяти статьям Уголовного кодекса** (среди которых убийство, умышленное причинение вреда здоровью, побои, истязание, похищение человека, использование рабского труда).

**Законопроекты о запрете треш-стримов рассмотрим в весеннюю сессию в приоритетном порядке.**
**Эти меры отобьют желание у всех, кто хочет заработать и прославиться в интернете за счёт издевательств над другими.**

А как вы считаете?","**On the prohibition of threes-streams.** In recent days, there have been many requests for a solution to effectively combating threes-streams. These are online broadcasts in which illegal acts are committed to show cruelty, sadism, abuse of people and animals, usually to earn money and increase their audience. One of the last such cases is when a blogger in the rush to see a solution to effectively combat such a phenomenon is to throw his two-month-old baby into a cage, filming it all on camera and putting it on display. **In the State Duma a number of legislative initiatives are discussed to address this problem: **In the spring, the State Duma proposes to include such threes-streams as a cause of money laundering and the spread of information; **In the past, the killing of hundreds of thousands of people and the use of social media equipment by the public will be considered a criminal offence.*************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************",,,
408,"**Руководство Украины, в том числе глава страны Владимир Зеленский, несет прямую ответственность за преступления бойцов ВСУ против человечности - мой **[комментарий](https://politexpert.net/22577916-voenkor_kotenok_vlasti_ukraini_pooschryayut_zverskie_izdevatel_stva_nad_plennimi)** ПолитЭксперту.

**Распространенные в интернете зверские кадры войдут в хронику будущих международных трибуналов. Подобных инцидентов с нечеловеческим отношением к российским военнослужащим не было со времен Великой Отечественной войны. Другие конфликты и миротворческие миссии, в которых были задействованы ВС РФ, не отличались такими проявлениями жестокости.

Украинское руководство не только в курсе этих допросов, оно поощряет и призывает к подобным антигуманным действиям. Соответственно, оно несет прямую ответственность за эти военные преступления, преступления против человечности. Оно должно быть осуждено.

После появления этих ужасных кадров все переговоры с украинской стороной стоит прекратить, поскольку обсуждать с военными преступниками нечего. Надо наносить удары по военно-политическому руководству Украины с целью нейтрализовать центры принятия решений, в том числе такие, которые позволяют издеваться над российскими военнослужащими и мирными людьми.

Киев несет прямую ответственность за пытки российских военных. Тенденция к жестокости не сегодня и не вчера возникла на Украине, все это — продолжение традиций бандеровщины, которые сегодня усиленно внедряются в украинское общество. Именно бандеровцы творили подобные зверства в отношении военнослужащих Советской армии. Такие инциденты были зафиксированы на Западной Украине, причем и в отношении гражданских людей. Бандеровцы глумились над телами, сжигали их. Список издевательств можно перечислять долго.

Причем издеваются над российскими военными представители украинских спецслужб, а также территориальных батальонов — военные добровольцы. Значит, в обществе велика степень бесовщины и озлобленности в отношении России и русских людей. Сейчас необходимо действовать систематически, искореняя чудовищный неонацизм на Украине.

Мы свидетели происходящего. Наше молчание будет только поощрять будущие преступления украинских националистов по отношению к нашим детям и внукам. Международные организации демонстративно игнорируют преступления в отношении русского народа. За антигуманное отношение к другой армии — американской или европейской — Украину стерли бы с лица земли. А когда пыткам подвергаются российские военные, то ВСУ все сходит с рук.

Это закономерность, и надо понимать эту реальность. Мы все равны перед господом, однако кто-то считает, что он ровнее, и совершает ужасные преступления.

@voenkorKotenok","**The Ukrainian leadership, including the head of the country Vladimir Zelensky, is directly responsible for the crimes of the armed forces of Ukraine against humanity - my **[commentary]https://politexpert.net/22577916-voenkor_kotenok_vlasti_ukraini_pooschryayut_zverskie_izdevatel_stva_nad_plennimi) **PoliteExpert. **The wildlife images that are being distributed on the Internet will be in the chronicle of future international tribunals. Such incidents with inhuman direct contact with Russian servicemen have not been reported since the Great Patriotic War.",,,
409,"Чеченцы продолжают веселиться на крымских курортах, которые 6 лет назад вернулись в родную гавань.

На этот раз, уроженцы Чечни втроём, с особой жестокостью и цинизмом избили невинного человека и постреляли в него из пневматического пистолета.

Произошло всё в Ялте возле Интуриста. Настоящие мущины продемонстрировали свои навыки владения кавказскими боевыми искусствами, избили заведомо более слабого человека толпой, а потом упиваясь жестокостью и безнаказанностью добивали лежачего ногами.","Chechens continue to enjoy themselves in the Crimean resorts, which 6 years ago returned to their home port. This time, Chechens beat an innocent man with a special cruelty and cynicism and shot him with a pneumatic pistol.",,,
