Sr. no.,Channel ID,Post ID,Post
1,1469021333,13825,"🔥**За словами Генерального Штабу, відбувся невдалий запуск московицьких танкістів у космос

**Від себе додамо, що люди не постраждали.

[Магазин](https://deepstateua.shop/)▫️[Твітер](https://twitter.com/Deepstate_UA)▫️[Ютуб](https://www.youtube.com/channel/UCMGRXVYg1wMA6e4zTGX-DwQ)▫️[Мапа](https://deepstatemap.live/)▫️[Написати нам](http://t.me/newsDeepStatebot)▫️[Звіти](https://sites.google.com/view/deepstate-donate/report?authuser=0)"
2,1283359437,38982,"Число погибших в результате сегодняшнего обстрела Ворошиловского районе Донецка возросло до пяти. Еще шесть человек получили ранения различной степени тяжести.

@voenkorKotenok"
3,1247556894,3648,"🙏🏻**Киян  закликають за можливості не пересуватися приватним автотранспортом, аби першочергово забезпечити потребу у пальному для військових

**🇺🇦Киян просять пам’ятати про потреби армії і наших захисників і за можливості користуватися громадським транспортом. Мережа постійно розширюється, аби забезпечити перевезення мешканців, які повертаються у столицю.

✔️Нагадаємо, що у столиці працюють:

🚌140 автобусів на 62 маршрутах
🚃70 трамваїв на 16 маршрутах
🚎77 тролейбусів на 25 маршрутах

🚌Приватні перевізники здійснюють перевезення на 74 маршрутах загальною кількістю майже 400 автобусів.

✔️Метро працює із 06:30 до 20:00. Наземний пасажирський транспорт курсує з 07:00 до 21:00.

↪️Перелік актуальних маршрутів доступний за посиланням – https://bit.ly/3xB5UPD"
4,1283359437,42741,"Первые кадры из Шебекино, которое подверглось ракетному обстрелу со стороны Украины. В данный момент известно уже о четырех погибших.

@voenkorKotenok"
5,1283359437,43214,"**Запад не перестанет поддерживать Киев — мой комментарий **[**РИА ФАН**](https://riafan.ru/23780403-voenkor_kotenok_nato_uzhe_skrebet_po_susekam_v_plane_postavok_sovetskih_vooruzhenii_ukraine)**.

**Как заявил накануне госсекретарь США Энтони Блинкен, НАТО изучает возможность помощи Украине с организацией производства боевых систем и боеприпасов советского образца. Это вновь говорит о том, что коллективный Запад готов сделать все, чтобы боевые действия на Украине продлились как можно дольше. Однако сегодня страны Восточной Европы уже «выскребли» в интересах Киева три четверти своих советских оружейных запасов.

Понятно, что в плане предоставления Украине вооружений советского образца из стран Восточной Европы руководство НАТО сегодня уже «скребет по сусекам». На сегодня, по данным источников, восточноевропейцы уже «выскребли» три четверти своих складских запасов, которые десятилетиями хранились в странах бывшего Варшавского договора. Все это в последние девять месяцев ушло на Украину.

Тем не менее, нет никаких оснований говорить, что поддержка киевского нацистского режима будет ослабевать. К сожалению, для Запада сегодня складывается крайне выгодная конфигурация — руками украинского «пушечного мяса» он пытается в ежедневном режиме ослаблять Россию. А также в регулируемом режиме поддерживать «непогашенный пожар» на юго-восточных границах РФ.

Все это так или иначе парализует процессы нормального развития в нескольких регионах РФ. Мы знаем, что из-за военной операции на юге РФ уже который месяц закрыты аэропорты, не летают самолеты, там нет нормального пассажиропотока, в ряде регионов введено военное положение и т. д. Поэтому задача Запада остается прежней — как можно больше нагадить России, в том числе поставляя максимальное количество оружия Киеву. 

Понятно, что ради достижения своих целей западным политикам совсем не жалко десятков тысяч украинских жизней. Поэтому Украине будут передаваться последние остатки старого советского оружия, а также образцы новейших западных вооружений. Здесь не стоит питать никаких иллюзий по поводу того, что «еще чуть-чуть, и им нечем будет воевать.

Для более эффективного ослабления России Запад, помимо возможного «оживления» производства советских образов, может передавать Киеву и еще не опробованные на практике вооружения.

В этом плане задача российской армии остается неизменной — нам нужно спокойно и планомерно уничтожать все западное оружие, поставляемое для ВСУ. Причем уничтожать это оружие необходимо еще на этапе его подвоза к линии фронта, складирования, маскировки и т. д. В ходе самих боевых действий делать это, конечно, в разы труднее.

Запад продолжит передавать Киеву все возможные вооружения, не исключая и бывших советских образцов. К счастью, на складах бывших социалистических стран осталось уже не так много тех же самолетов МИГ, которые можно передать ВСУ. Те же поляки, по моим данным, передали Украине почти все свои МИГ-29 — в надежде на то, что США заменят их своими F-35.

Все активнее идут на Западе и разговоры, что Украине все-таки надо поставлять основные боевые танки стран НАТО — пусть даже на уровне отдельных экземпляров в режиме тестирования. В данный момент главный вопрос для НАТО — прикрытие с воздуха Киевского укрепрайона силами ПВО. Однако создать единый «противоракетный зонтик» даже над отдельными городами Украины пока что не в их силах. Кроме того, западные инструкторы делают все, чтобы создать цепь опорных пунктов со стороны белорусской границы, чтобы предотвратить возможное наступление. В любом случае нужно понимать — коллективный Запад сделает все возможное, чтобы обеспечить режим Зеленского всем необходимым в военном плане.

@voenkorKotenok"
6,1093357968,8614,"Путин: Помощь жителям Донбасса была долгом России, иначе поступить было нельзя. 

[…] «То, что наши граждане так откликаются на необходимость оказания помощи людям, которые оказались в беде, это о многом говорит. Это говорит о том, что в целом люди поддерживают наши действия. Говорит о том, что мы правильно поступаем, что поддерживаем Донбасс».


@epoddubny

***
Сбор средств для организации помощи населению Донбасса и других регионов освобожденной Малороссии. 

Перечисление средств в фонд РГМ и фонд им. Елизаветы Глинки контролирую лично. 

2202 2032 5864 7967

карта МИР"
7,1469021333,9240,"Руйнування після обстрілу російських військ. Вулиця Пухова. Чернігів

[PanDa](tg://user?id=561988922), @WooDya_Che (#ID561988922)"
8,1351029634,73,"Историк и учитель Тамара Эйдельман:
 
– Сейчас в школах проходят педсоветы, на них показывают Маргариту Симоньян и Марию Захарову, которые объясняют учителям, как надо учить. Я прожила это в более мягкой форме, чем мои родители. Но я помню 1 сентября 1968 года.
 
Я пришла в третий класс, наша учительница развернула «Пионерскую правду», где было написано: «Братская помощь народам Чехословакии». И она объясняла нам, как только что, в августе, наши войска спасли народ Чехословакии от фашизма, от фашистского переворота.
 
– Танки в Праге так объяснялись?
 
– Да. Что если мы сейчас не войдем, то из ФРГ придут фашисты и произведут переворот. Ясно, что наша учительница не сама это придумала, а ей велели это делать.
 
– Почему за 50 лет формулировки пропагандистов не поменялись?
 
– Потому что фашизм страшно звучит везде. А для нашей страны это страшная травма. И этим очень просто запугать.

https://youtu.be/ARaX2djZYFw"
9,1457892982,30499,"❗️**""Ожидаем около 60 шт. На севере уже над территорией Украины часть**"", — К**им предупреждает о ракетах над Украиной

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)"
10,1511148555,9816,"Человек не требующий представления и герой дня, за один день сделал пуск баллистической ядерной ракеты над Японией и разбомбил южнокорейскую авиабазу.

Вот у кого яйца явно на месте, он не обеспокоен, он действует. Отдаю голос за Кима😂"
11,1511148555,12796,"⚡️⚡️⚡️⚡️

Украина .Ноябрь 2022 год .

[Конфликт🔥Z Подписаться](https://t.me/konfliktworld)"
12,1164348791,6360,Немного о жизни Донецка
13,1093357968,12224,"Парни, которые сейчас героически работают на лиманском направлении сообщают: «укрофашисты к Лиману не подошли, идёт бой гораздо южнее, в Диброво и под Брусовкой». Там и рубятся Барсы и другие подразделения ВС РФ и союзников. 

@epoddubny"
14,1469021333,10086,"⚡️Міський голова Енергодара про ситуацію в місті: 

❗️Пострілів станом на зараз немає.

❗️Ввечері, десь о 16:30 ворожа колона прорвалась до Енергодара. Пішли одразу на атомну станцію. І почали майже впритул гасити по будівлях. Сталася пожежа. Окупанти стріляли прямо по енергоблокам. 

❗️Є поранені. Про їхню кількість інформації немає. Вивезти до лікарні їх немає можливості. Попередньо до лікарні доставили двох поранених, як мінімум. 

❗️Пожежних не допускають до гасіння пожежі. Ситуація дуже критична."
15,1109403194,34196,"При обстреле ВСУ в центре Макеевки погибли двое детей, еще трое получили ранения, также ранены двое взрослых, сообщили в штабе теробороны ДНР 

[Подписаться на @truekpru](https://t.me/+p3pOHrMFlcI0NWRi)"
16,1457892982,23632,"**⚡️В Севастополе воздушная тревога.

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)"
17,1080134301,19904,"le classique: гопник жестко накидал пончику, а добил он его запахом своих недельных носков 🥊"
18,1093357968,8852,"На западе Донецка в результате утреннего обстрела со стороны украинских боевиков погибло четыре человека. 

@epoddubny"
19,1457892982,26428,"**Песков заявил, что для переговоров с Украиной придется ждать смены президента Украины🤡

**Российские петухи обиделись.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)"
20,1498939244,34695,"__«Украине понадобятся недели для перехода энергосистемы на плановые отключения электроэнергии. Главное условие - это **отсутствие новых обстрелов и разрушений**», — директор ДТЭК Сахарук

__Минобороны, намёк понятен?"
21,1366346975,49768,"Военкор Александр Коц о боях за Соледар. Сегодня они продолжались уже в промзоне Соледара. 
Стоит напомнить (помимо оперативно-тактического значения), что в Соледаре расположено крупнейшее в Европе предприятие по производству соли - завод ""Артемсоль"".

https://t.me/vysokygovorit/8995"
22,1511148555,9010,🔥🔥🔥Парни из полиции давите эту погань и предателей Родины‼️‼️‼️
23,1109403194,34983,"«Медали всем надо дать»

Новая часть интервью [пленного наёмника хорвата Векослава Пребега](https://t.me/MilitaryCriminal/666), которому может грозить смертная казнь в ДНР.

На видео он похвалил российских военных и рассказал, что, когда сдавался в плен, никто его не бил, не оскорблял и не издевался над ним:

«Просто разоружили. Парни, у кого были религиозные крестики, — [российские военные] — ничего не забирали. Просто руки нам связали и отвезли дальше». 

@MilitaryCriminal"
24,1511148555,14617,"🇷🇺**  Путин подписал указ об ответных мерах на введение потолка цен на российскую нефть**.   

❗️**Запрещаются поставки российских нефти и нефтепродуктов иностранным юр- и физлицам** при условии, что в контрактах на эти поставки предусмотрено введение потолка цен – указ Путина"
25,1498939244,33115,"Воины Субэдэя — 4 серия

**«Язык как шифр»**

55-я мотострелковая бригада из Тувы незаменима для выполнения задач в зоне СВО. Тувинцы от природы и своих предков-воинов унаследовали уникальные навыки ведения сражений. История героических побед тувинского народа берет свое начало с великого Субэдэя, виднейшего полководца-соратника Чингисхана.

Четвертая серия проекта расскажет нам истории бойцов Амира Ни и Николая Чамьяна. Они, как и их предки-герои Великой Отечественной войны, рискуют жизнями, создавая большие проблемы силам противника. Для того, чтобы их семьи спали спокойно, они каждый день доблестно и без сомнений выполняют поставленные задачи, при этом не забывая о смекалке и военной хитрости, одной из которых стал их родной язык."
26,1080134301,17076,"**Донбасс и Запорожье в цифрах

**Согласно открытым данным, **территории ДНР и ЛНР, а также Херсонской и Запорожской областей обладают высоким экономическим и промышленным потенциалом. **Так, **посевные площади** **Херсонской области **составляют **1 968 тысяч гектар**, что **соответствует** общей **площади Словении**. Кроме того, **Херсонская** **и Запорожская области** могут войти в **ТОП-3 регионов по валовому сбору зерна**. 

**Объем добычи Запорожского железорудного комбината **составляет **4,5 млн тонн**, что в **9 раз превышает** совместный показатель добычи **немецких предприятий** (**0,53 млн тонн**). Кроме того, **Запорожская АЭС** способна производить почти **столько же электроэнергии, как и все атомные электростанции** **Индии**. 

Также стоит отметить, что общая **стоимость месторождений полезных ископаемых Донбасса** составляет **730 трлн рублей**; для сравнения: **ВВП РФ** за 2022 год составил **131 трлн рублей**."
27,1498939244,29788,"За вхождение Херсонской области в РФ после обработки 53% протоколов проголосовали 96,3% избирателей на участках в России, свидетельствуют данные избиркомов.

За вхождение Запорожской области в РФ после обработки 57% протоколов проголосовали 97,75% избирателей на участках в России, свидетельствуют данные избиркомов.

P.S. это данные голосования на избирательных участках в РФ.

На самом деле удивляться таким результатам и закатывать глаза не стоит. Украинская сторона своими угрозами уголовной ответственности за любое участие в референдумах сделали всё, чтобы поддерживающая Украину часть населения просто не голосовала."
28,1144404150,18411,"❗️**__За неделю на Украине освободилось минимум 4 вакантные должности подполковников

__**▪️21 сентября ликвидирован командир батальона огневой поддержки подполковник **Николай Озеров
**▪️22 сентября ликвидирован заместитель командира 93 бригады ВСУ подполковник **Валерий Матвейчук
**▪️26 сентября ликвидирован замкомандира нацистского полка «Азов» по боевой и спецподготовке подполковник **Игорь Безоглюк
**▪️также на днях после болезни скончался подполковник ВСУ **Виктор Пантелеев**"
29,1511148555,11316,"**‼️🇧🇾🇵🇱🇱🇹 Войска Польши и Литвы перебрасываются к границам Белоруссии
**Обе страны концентрируют военную технику и пехоту под прикрытием учений. Интересно, что литовские военные с красными тактическими опознавательными знаками.

☢️**Ядерные удары?**"
30,1511148555,10155,У свиней тревога ✅🚀
31,1469021333,13545,"**📍Підрив московського танка біля Золотарівки

**https://deepstatemap.live/#13/48.8703/38.2515"
32,1283359437,42788,"Подтверждается поражение инфраструктурного объекта в Одесской области.

@voenkorKotenok"
33,1283359437,42213,"В Киеве более десяти взрывов. В ряде городов уже фиксируются проблемы с электроснабжением.

@voenkorKotenok"
34,1511148555,10210,✅🔥🔥🔥🔥🚀Сообщается о взрывах в Тернополе и центре Львова‼️‼️‼️‼️
