Post,Trans,Label,Type
"وضعیت جنگی در سوسنگرد

شلیک گلوله های گاز اشک اور به سمت مردم

بامداد دوشنبه ۲۸ تیرماه ۱۴۰۰

#خوزستان_تنها_نیست #اعتراضات_خوزستان #انا_عطشان #علی_مزرعه #مصطفی_نعیماوی #قاسم_خضیری #شوش #شادگان #اعتراضات_سراسری #اهواز #اندیمشک #سوسنگرد #نافرمانی_مدنی #بحران_آب
@irannc","War situation in Susangerd, tear gas shells fired at people on Monday morning, July 18, 2021 #Khuzestan_is_not_alone #Khuzestan_protests #Ana_Atshan #Ali_Mazraeh #Mostafa_Naeimawi #Qasem_Khaziri #Shush #Shadegan #Worldwide_Protests #Ahvaz #Andimeshk #Susangerd #Civil_Disobedience #Water_Crisis @irannc",Yes,A
"🎥 **رژیم صهیونیستی با اتکا به حمایت آمریکا مرتکب کشتار و نسل‌کشی شده است**

**وزیر امور خارجه:**
🔹به دستور رئیس‌جمهور آمریکا، حمله به ایران آغاز شد و نخستین «بمب‌ها» پیش از اصابت به خاک، بر پیکر مذاکرات ایران و آمریکا فرود آمد؛ مذاکراتی که پنج دور آن برگزار شده بود و دور ششم آن برای ۲۵ خرداد برنامه‌ریزی شده بود. بدین ترتیب، دیپلماسی نخستین قربانی جنگ ۱۲روزه شد.
🔹رژیم صهیونیستی که با اتکا به حمایت بی‌قید و شرط آمریکا و برخی دولت‌های اروپایی عمل می‌کند، با نقض آشکار حقوق بین‌الملل، جاه‌طلبی‌های نامحدود خود را با تکیه بر انبوهی از تسلیحات غربی دنبال کرده و مرتکب جنایاتی چون کشتار، نسل‌کشی و پاکسازی نژادی شده است.
🔹تجاوز نظامی به خاک ایران، شهادت غیرنظامیان، ترور فرماندهان در منازل مسکونی و هدف قرار دادن تأسیسات صلح‌آمیز هسته‌ای، نقض صریح اصول بنیادین حقوق بین‌الملل و منشور ملل متحد و تجاوزی تمام‌عیار به نظام پادمان و عدم اشاعه به شمار می‌رفت.
✅ @Khabar_Fouri","🎥 **The Zionist regime has committed massacres and genocide relying on US support** **Foreign Minister:** 🔹On the orders of the US President, the attack on Iran began, and the first ""bombs"" fell on the Iranian-American negotiations before hitting the ground; the negotiations had been held for five rounds, with the sixth round scheduled for June 15. Thus, diplomacy became the first victim of the 12-day war. 🔹The Zionist regime, which operates with the unconditional support of the US and some European governments, has pursued its unlimited ambitions by relying on a multitude of Western weapons, in clear violation of international law, and has committed crimes such as massacres, genocide, and ethnic cleansing. 🔹The military invasion of Iranian territory, the martyrdom of civilians, the assassination of commanders in residential buildings, and the targeting of peaceful nuclear facilities were clear violations of the fundamental principles of international law and the UN Charter, and were a complete violation of the safeguards and non-proliferation system. ✅ @Khabar_Fouri",Yes,A
"🔻[ ](https://pbs.twimg.com/media/Fn9ERY-WAAMkuv8?format=jpg&name=900x900) [واشنگتن پست](https://www.washingtonpost.com/world/2023/02/02/iran-protests-government/) در مطلب تحقیقی که یکی دو ساعت پیش منتشر کرد، با روش بررسی علمی ویدیو‌های اعتراضات و داده‌هایی که در اختیارمون میذارن، ساختار و روش سرکوب رو به خوبی نمایان کرده.:

- «۴ ماه از اعتراضات گذشته و معترضان همچنان در خیابانها حضور دارن. حکومت هم همچنان پاسخی جز اعمال خشونت و ایجاد وحشت به اعتراضات نداره.»
با این دو جمله مطلب شروع میشه و میگه که هیچ کجا این تقابل، مثل سیستان و بلوچستان به وضوح قابل مشاهده نبوده که خونین‌ترین سرکوب رو تجربه کرد و الانم هر هفته بعد از نماز جمعه محل برگزاری اعتراضاته.

− این پژوهش تصویری نشون میده که «نیروهای مختلف سرکوب، شامل نیروهای سپاه، ضد شورش، نیروی انتظامی و نیروهای موسوم به لباس شخصی» در چه زمانی، با چه روشهایی، در چه سطح از هماهنگی و هر کدام با چه وظایفی وارد صحنه میشن و عملیات سرکوب رو اجرا میکنن.

این روشها شامل «بازداشت‌های فله‌ای و خودسرانه، ضرب و شتم کورکورانه و بی‌هدف معترضان، شلیک مستقیم به شهروندان...» میشه.
۸ مهر، در ‎#جمعه_خونین_زاهدان، دست کم ۶۶ نفر در این شهر، بنا به گفته امنستی کشته شدن.

− «اگر هدف این کشتار، سرکوب اعتراضات بود، که نتیجه معکوس داده. چون وسط مردم موندن خونه، ولی جمعه بعد ریختن تو خیابونا و از اون جمعه به بعد هم هر جمعه اعتراضاته.»

در ویدیویی که ۲ هفته بعدش از زاهدان منتشر شد، میشد یه تک تیرانداز رو دید که بالای بام یه فروشگاه با اسلحه ایستاده. «برایان کستنر»، کارشناس نظامی، میگه که اسلحه احتمال زیاد، کلاشینکوفه که باهاش فقط میشه گلوله جنگی شلیک کرد، نه مشقی.
گزارش در ادامه، «اشغال نظامی» شهر #زاهدان توسط نیروهای وابسته به سپاه و نیروی انتظامی بررسی میکنه.

گزارش خوندنی و آموزنده‌ست.
با یه جمله از یه هموطن بلوچ هم تموم میشه: «ما هم در این کشور حقوقی داریم. ولی تا الان کوچکترین شکل از حقوق بشر هم ندیدیم. ما حاضریم جونمون رو فدا کنیم برای آینده فرزندانمون.»

لینک مقاله
https://www.washingtonpost.com/world/2023/02/02/iran-protests-government/

[netvand](https://twitter.com/netvand/status/1621107115694895104?t=CuGcI0V80wY1xq69Tp95Pw&s=19)
@mamlekate","🔻[ ](https://pbs.twimg.com/media/Fn9ERY-WAAMkuv8?format=jpg&amp;name=900x900) [The Washington Post](https://www.washingtonpost.com/world/2023/02/02/iran-protests-government/) In an investigative article that it published a couple of hours ago, it clearly showed the structure and method of repression by scientifically examining the videos of the protests and the data they provide us: - ""Four months have passed since the protests and the protesters are still present in the streets. The government still has no response to the protests except violence and instilling fear."" The article begins with these two sentences and says that nowhere has this confrontation been more clearly visible than in Sistan and Baluchestan, which experienced the bloodiest repression and is now the site of protests every week after Friday prayers. − This research shows a picture of when “various repressive forces, including the IRGC, counter-riot forces, the police, and the so-called plainclothes forces,” enter the scene and carry out repression operations, using what methods, at what level of coordination, and with what tasks each has. These methods include “mass and arbitrary arrests, indiscriminate and aimless beatings of protesters, direct shooting at citizens…” On October 28, on #BloodyFriday in Zahedan, at least 66 people were killed in this city, according to Amnesty. − “If the goal of this massacre was to suppress protests, it backfired. Because the people stayed home, but the next Friday they poured into the streets, and from that Friday on, there have been protests every Friday.” In a video released from Zahedan two weeks later, a sniper could be seen standing on the roof of a store with a gun. Military expert Brian Kastner says the weapon is most likely a Kalashnikov, which can only fire live ammunition, not a practice round. The report then examines the “military occupation” of the city of #Zahedan by forces affiliated with the Revolutionary Guard and the police. The report is readable and informative. It ends with a sentence from a fellow Baluch: “We also have rights in this country. But we have not seen even the smallest form of human rights. We are willing to sacrifice our lives for the future of our children.” ",Yes,A
"‏پدر ‎#محسن_شکاری، معترضی که اعدام شد، با انتشار عکسی از خود در کنار آرامگاه ‎#یلدا_آقافضلی نوشت که عکس آرامگاه او «شکسته» شده است.

پیشتر عکسی از چهره یلدا آقافضلی بر بالای سنگ قبر او نصب شده بود. مادر او قبلا گفته بود که تهدیدهایی مبنی بر شکستن سنگ قبر دخترش دریافت کرده است.

[RadioFarda](https://twitter.com/RadioFarda_/status/1652228970027405314?t=s6R7ESkDIGfqKmvwwhmp2Q&s=19)
@mamlekate","The father of #Mohsen_Shekari, a protester who was executed, posted a photo of himself next to the tomb of #Yalda_Aghafazli, writing that the photo of her tomb had been ""broken."" A photo of Yalda Aghafazli's face had previously been placed above her tombstone. Her mother had previously said she had received threats to break her daughter's tombstone. [RadioFarda](https://twitter.com/RadioFarda_/status/1652228970027405314?t=s6R7ESkDIGfqKmvwwhmp2Q&amp;s=19) @mamlekate",Yes,C
"**شهادت سومین بوکسور ایران در حملات رژیم صهیونی**

🔹فدراسیون بوکس:در پی تجاوز رژیم صهیونیستی به خاک ایران، نماینده بوکس استان‌ البرز به فیض شهادت نائل شد.
✅ @Khabar_Fouri","**The third Iranian boxer was martyred in the attacks of the Zionist regime** 🔹Boxing Federation: Following the Zionist regime's aggression on Iranian soil, the boxing representative of Alborz province was martyred. ✅ @Khabar_Fouri",Yes,A
"🔻 [میزان، خبرگزاری قوه قضاییه، اعلام کرد جمشید شارمهد اعدام شد](https://telegra.ph/جمشید-شارمهد-شهروند-دوتابعیتی-در-ایران-اعدام-شد-10-28)

میزان، خبرگزاری قوه قضاییه، اعلام کرد #جمشید_شارمهد، شهروند ایرانی-آلمانی اعدام شد. شارمهد ۶۷ ساله که پیشتر ساکن آمریکا بود، مرداد سال ۹۹ در سفری از آلمان به هند، پس از یک توقف سه‌ روزه در دبی، از سوی ماموران جمهوری اسلامی ربوده و به ایران منتقل و به اعدام محکوم شد.

▫️انتقام سخت جمهوری‌اسلامی از اسرائیل، باز هم نتیجه‌اش گرفتن جان یک ایرانی شد. چقدر حقیرید شما که از ترس مردم با کشتن انسانها برای خودتان وقت میخرید!
[DM42915806](https://twitter.com/DM42915806/status/1850940138995798127)

▫️برای منحرف کردن افکار عمومی از افتضاح پریشب.
[azadtarin123](https://twitter.com/azadtarin123/status/1850943196613738605)

▫️عصبانیتشون رو رو سر این بدبخت خالی کردن. خدا به دخترش صبر بده

[real_gada](https://twitter.com/real_gada/status/1850937837744783791)
@mamlekate","🔻 [Mizan, the judiciary news agency, announced that Jamshid Sharmehed was executed](https://telegra.ph/جمشيد-شارمهد-شاروند-دوتابييتي-در-إيران-عدام-شد-10-28) Mizan, the judiciary news agency, announced that #Jamshid_Sharmehed, an Iranian-German citizen, was executed. Sharmehed, 67, who previously lived in the United States, was kidnapped by the Islamic Republic of Iran agents in August 2020 while traveling from Germany to India. After a three-day stopover in Dubai, he was transferred to Iran and sentenced to death. ▫️The Islamic Republic's harsh revenge on Israel has once again resulted in the death of an Iranian. How despicable you are, buying time for yourselves by killing people out of fear! [DM42915806](https://twitter.com/DM42915806/status/1850940138995798127) ▫️To distract public opinion from last night's disaster. [azadtarin123](https://twitter.com/azadtarin123/status/1850943196613738605) ▫️They vented their anger on this unfortunate person. May God grant his daughter patience [real_gada](https://twitter.com/real_gada/status/1850937837744783791) @mamlekate",Yes,C
"اطلاعیه دادستانی در توجیه اعدام #جمشید_شارمهد، او را عامل «بمب‌گذاری در حسینیه سیدالشهدای شیراز» دانسته.
بعد از آن انفجار، شورای امنیت کشور صراحتا اعلام کرد: «انفجار هرگونه بمب یا انتقال مواد انفجاری از بیرون توسط عوامل و عناصر معاند اعم از داخلی و خارجی در این حادثه منتفی است.»
مدتی بعد نهادهای امنیتی، ادعا کردند تکذیب بمب‌گذاری در حسینیه دروغ مصلحتی بوده! آنها در توجیه موضع جدیدشان، مدعی شدند از عمد دروغ گفته بودند تا عاملان «بمب‌گذاری» را دستگیر کنند. این توضیح، البته کمتر کسی را متقاعد کرد، ولی بین سطور مهمی داشت: حضرات به‌ همین سادگی اعتراف می‌کردند که چگونه در موضوعات امنیتی، هر وقت «مصلحت» بدانند -و در بالاترین سطوح رسمی- اطلاعیه دروغ منتشر می‌کنند.
[hosseinbastani](https://twitter.com/1201045933/status/1851013756295270486)

یادمه یکی از دروغ های دیگه ای که گفتن این بود که تو اون حسینیه گویا نمایشگاه دفاع‌ مقدس بوده و یسری ابزار آلات جنگی‌ (خنثی شده) هم‌بوده برای نمایش، یکی از نارنجک ها گویا عمل کرده بود و بقیه ماجرا.
میزان ریا، دروغگویی، وحوش این رژیم در دنیا نظیر نداره.
[Esdragonglass](https://twitter.com/Esdragonglass/status/1851023021949272129)

البته دلیل انفجار، به احتمال قوی همان انفجار مهمات جنگی بود و نه بمب‌گذاری. مدتی بعد از انفجار، یک «ستاد حقيقت‌ياب دانشجويی» -که متشکل از فعالان حامی حکومت  بود- دو ماه بر روی انفجار کار کرد و نتیجه گرفت که ادعای وزارت اطلاعات در مورد بمب‌گذاری دروغ است. این گزارش تصریح داشت: «حادثه به دليل منفجر شدن مين پلاستيکی تی. ام. ۴۶ ضد تانک (از نوع ايرانی) موجود در غرفه نمايشگاه جنگ (معراج شهدا)، واقع در کانون رهپويان وصال، رخ داده. مواد آر. دی. ايکس (ماده منفجره موجود در مين‌های فوق) در محل انفجار يافت شده و وجود آن توسط کارشناسان هيئت‌های مختلف اعزامی در آزمايشگاه به اثبات رسيده است. بنابراين، با استناد به گزارش‌های کارشناسی- آزمايشگاهی فوق، که در اختيار نهادهای مسئول از جمله ستاد مشترک سپاه پاسداران انقلاب اسلامی است، هيچ شبهه‌ای در اين‌که مين فوق عامل اصلی انفجار بوده وجود ندارد.»
[hosseinbastani](https://twitter.com/hosseinbastani/status/1851192292767383957)

باید ومپایر های عرزشی را خوشحال نگه دارند
[Mansoor](https://twitter.com/Mansoor1896/status/1851242141353202042)

حفظ نظام اوجب واجبات هست ینی حتی از توحید واجب تره. توحید رو می تونن تعطیل کنن برای حفظ نظام لازم باشه. #ایران_اشغالی
[Glperi](https://twitter.com/Glperi67835912/status/1851101665748717750)

از هر نگاه، اعدام‌ ها با هر دلیل و اتهامی که باشد یک « قتل و ترور حکومتی » است. من متحیر از این شتاب قوه قضاییه در اجرای احکام‌ اعدام‌ تحت هر شرایطی هستم‌.
[Amir](https://twitter.com/AmirMCH5/status/1851018630567510075)

دیگه کسی به اتفاقات دهه۷۰ از بمب گذاری حرم امام‌رضا و قتل‌های‌زنجیره‌ایی تا کوی دانشگاه واقف باشه میدونه اطلاعات، دادستانی و قوه‌قضاییه در ج.ا چطور عمل میکنن!

[maspersian2](https://twitter.com/maspersian2/status/1851264321432564081)
@mamlekate","The prosecutor's statement justifying the execution of #Jamshid_Sharmehd considered him the perpetrator of the ""bombing in the Husseiniyeh of Sayyid al-Shohada in Shiraz."" After that explosion, the National Security Council explicitly declared: ""The explosion of any bomb or the transfer of explosive materials from outside by hostile agents and elements, both domestic and foreign, is ruled out in this incident."" Some time later, the security institutions claimed that the denial of the bombing in Husseiniyeh was a convenient lie! In justifying their new position, they claimed that they had deliberately lied in order to arrest the perpetrators of the ""bombing."" This explanation, of course, convinced few people, but it had important implications: the gentlemen were simply admitting how they publish false statements on security issues whenever they ""see fit"" - and at the highest official levels. [hosseinbastani](https://twitter.com/1201045933/status/1851013756295270486) I remember one of the other lies that was told was that there was supposedly a sacred defense exhibition in that Husseiniyeh and there were some (neutralized) war equipment for display, one of the grenades supposedly worked, and the rest of the story. The level of hypocrisy, lying, and brutality of this regime is unparalleled in the world. [Esdragonglass](https://twitter.com/Esdragonglass/status/1851023021949272129) Of course, the reason for the explosion was most likely the explosion of war ammunition and not bombing. Some time after the explosion, a “student fact-finding team” - consisting of pro-government activists - worked on the explosion for two months and concluded that the Ministry of Intelligence’s claim about the bombing was a lie. The report stated: “The incident was caused by the explosion of a T.M. plastic mine.” 46 anti-tank (Iranian type) located in the war exhibition pavilion (Ascension of the Martyrs), located in the Vesal Pilgrims' Center, occurred. R. D. X materials (the explosive material contained in the above mines) were found at the site of the explosion and its presence was proven in the laboratory by experts from various dispatched delegations. Therefore, based on the above expert-laboratory reports, which are in the possession of the responsible institutions, including the Joint Headquarters of the Islamic Revolutionary Guard Corps, there is no doubt that the above mine was the main cause of the explosion. [hosseinbastani](https://twitter.com/hosseinbastani/status/1851192292767383957) They have to keep the precious vampires happy [Mansoor](https://twitter.com/Mansoor1896/status/1851242141353202042) Maintaining the system is a matter of obligation, that is, it is even more obligatory than monotheism. Monotheism can be shut down if it is necessary to maintain the system. #Occupied_Iran [Glperi](https://twitter.com/Glperi67835912/status/1851101665748717750) From any perspective, executions, regardless of the reason or accusation, are a ""state murder and terror."" I am amazed by the judiciary's haste in carrying out death sentences under any circumstances. [Amir](https://twitter.com/AmirMCH5/status/1851018630567510075) Anyone who is aware of the events of the 1970s, from the bombing of the Imam Reza shrine and the chain of murders to the university dormitory, knows how the intelligence, prosecution, and judiciary operate in Iran! [maspersian2](https://twitter.com/maspersian2/status/1851264321432564081) @mamlekate",Yes,C
"۱۶۰ مسیحی نیجریه ای توسط شبه نظامیان مسلمان در یک سری حملات به ۲۰ روستا در کریسمس کشته شدند.

آیا رسانه های بین المللی آن را به تیتر صفحه اول تبدیل کردند؟
آیا ""راهپیمایی میلیون نفری"" در لندن برگزار شد؟

دفن دسته جمعی قربانیان آغاز شده!

[farhad_mottaghi](https://twitter.com/872447296499314689/status/1739942482731778517)
@mamlekate","160 Nigerian Christians were killed by Muslim militants in a series of attacks on 20 villages on Christmas. Did the international media make it front page headlines? Was there a ""million-man march"" in London? Mass burials of the victims have begun! [farhad_mottaghi](https://twitter.com/872447296499314689/status/1739942482731778517) @mamlekate",Yes,A
"[‌](https://pbs.twimg.com/media/EXh55KZXQAAh12_.jpg)🔸 وزارت بهداشت ایران می‌گوید در ٢۴ ساعت گذشته ۴۸ نفر به علت کرونا جان‌ باخته‌اند و یک هزار و ۵۲۹ مورد ابتلای جدید شناسایی شده است.  سخنگوی وزارت بهداشت امروز (شنبه ۲۰ اردیبهشت) گفت #آمار_رسمی مبتلایان کرونا به ۱۰۶ هزار و ۲۲۰ نفر و تعداد کل جان‌باختگان نیز به ۶ هزار و ۵۸۹ نفر رسیده است. روز گذشته آمار مبتلایان به #کرونا در ایران ۱۰۴ هزار و ۶۹۱ نفر و تعداد کل جان باختگان نیز ۶ هزار و ۵۴۱ نفر اعلام شده بود. [🔗
](https://www.bbc.com/persian/iran-52597784)آمار رسمی وزارت بهداشت از تعداد جان‌باختگان و مبتلایان در حالی به شکل روزانه اعلام می‌شود که پیش از این برخی نهادهای رسمی از جمله مرکز ‌پژوهش‌های مجلس آمار واقعی را بسیار بیشتر برآورد کرده‌اند. [🔗


](https://www.radiofarda.com/a/iran-health-ministry-updates-stats-for-coronavirus-9-may/30602692.html)🔸فرماندار یکی از شهرهای ولایت هرات در #افغانستان می‌گوید از بین افغان‌هایی که «با ارعاب مرزبان‌های ایرانی» در هریرود غرق شدند تاکنون ۱۸ جسد کشف شده و «آثار لت و کوب و شکنجه» بر این اجساد دیده می‌شود. مقام‌های جمهوری اسلامی هنوز واکنشی به موضوع «شکنجه» شهروندان افغانستان نشان نداده‌اند اما در روزهای اخیر شماری از آنان، از جمله سخنگوی وزارت خارجه، با ابراز تأسف از جان باختن این افراد، وقوع چنین رویدادی در خاک ایران را بشدت تکذیب کرده‌اند. مایک پومپئو، وزیر خارجه آمریکا، روز چهارشنبه گفت از گزارش‌هایی که درباره این رویداد منتشر شده شوکه شده است. [🔗


](https://www.radiofarda.com/a/Afghan-official-says-bodies-of-beaten-and-tortured-recovered-at-Iran-border/30601422.html)🔸منابع محلی ولایت غور در مرکز افغانستان اعلام کرده که اعتراض شماری از افرادی که به توزیع مواد غذایی اعتراض داشتند به خشونت کشیده شده و با تیراندزای پلیس به معترضان در این حادثه دستکم ۶ نفر کشته از جمله دو پلیس و ۱۹ نفر زخمی از جمله ۱۰ پلیس شده است. یک خبرنگار محلی هم در میان کشته شدگان است. [🔗


](https://www.bbc.com/persian/afghanistan-52598579)🔸حسین اشتری، فرمانده نیروی انتظامی در ایران، می‌گوید تاکنون ۳۲۰ نفر برای ""ایجاد نگرانی و تشویش اذهان عمومی"" درباره کرونا بازداشت شده‌اند. ایران از نظر آزادی مطبوعات یکی از بدترین کشورها در جهان است. [🔗


](https://www.bbc.com/persian/live/institutional-52597838?pinned_post_locator=urn:asset:21cb4da0-4f8a-424b-8514-3f6c2c847eac)🔸خبرگزاری ایرنا از برگشت خوردن نزدیک به یک میلیون و ۳۶ هزار فقره چک تنها در اسفند سال ۹۸ در کل کشور خبر داده و نوشت که در حال حاضر «دومینوی چک‌های برگشتی» بر اقتصاد کشور حاکم شده است. بر اساس این گزارش ارزش مالی چک‌های برگشتی در اسفند ۹۸ نزدیک به ١٧٧ هـزار میلیارد ریال بوده و نسبت به بهمن‌ماه ۹۸ از نظر تعداد ۴۴.۲ درصد و از نظر ارزش ۵۱.۹ درصد افزایش داشته است. [🔗](https://www.radiofarda.com/a/30602425.html) #چک #چک_برگشتی


🔸محمدجواد ظریف، در نامه‌ای به آنتونیو گوترش، دبیرکل سازمان ملل، نسبت به احتمال وضع تحریم‌های جدید علیه ایران در شورای امنیت هشدار داده است. آقای #ظریف گفته: ""هرگونه #تحریم یا محدودیت جدید توسط شورای امنیت خلاف تعهدات اساسی داده شده به مردم ایران است و همه مسئولیت آن بر عهده ایالات متحده و هر موجودیتی خواهد بود که یا به ایالات متحده کمک کرده و یا تلویحا در قبال رفتار غیرقانونی اش سکوت نماید."" [🔗
](https://www.bbc.com/persian/live/institutional-52597838?pinned_post_locator=urn:asset:f20d0933-7481-4591-a97c-2833049c8096)وزیر خارجه جمهوری اسلامی در نامه‌ای به ‌دبیرکل ملل متحد نوشته است برای اجرای برجام «آماده گفت‌وگو در هر سطحی» هستیم. [🔗


](https://www.radiofarda.com/a/iran-zarif-letter-to-un-ready-to-talk-on-any-level-for-jcpoa/30602515.html)🔸خبرگزاری رویترز و سه محقق امنیت سایبری گفته‌اند، آرشیوهای اینترنتی قابل دسترس برای عموم نشان می‌دهند که هکرهای مرتبط با ایران در هفته‌های اخیر کوشیده‌اند تا به حساب‌های کارکنان شرکت داروسازی آمریکایی #گیلیاد رخنه کنند. شرکت آمریکایی گیلیاد تولید کننده دارویی به نام #رمدسیویر است. مقام‌های بهداشتی آمریکا می‌گویند این دارو «شواهد روشنی» از تاثیر بر بهبود بیماران مبتلا به کووید ۱۹ نشان داده است. [🔗](https://www.radiofarda.com/a/hackers-iran-gilead/30601876.html) #هک


🔸علی #مطهری، نماینده مجلس ایران، در نامه‌ای به احمد #جنتی، دبیر شورای نگهبان، از او خواست از «جایگاه خدایی» پایین بیاید و در روش خود «تجدیدنظر» کند. [🔗


](https://www.radiofarda.com/a/30602597.html)🔸سازمان دیدبان حقوق بشر روز جمعه، ۱۹ اردیبهشت، در بیانیه‌ای به محکومیت دست‌کم ۱۳ نفر در ایران به‌ دلیل اعتراض به سرنگون کردن هواپیمای مسافربری اوکراینی به دست سپاه پاسداران جمهوری اسلامی اعتراض کرد. [🔗](https://www.radiofarda.com/a/iran-hrw-report-on-ukraine-crash-13-arrested-over-protests/30602481.html) #PS752

📡 @VahidOnline

انتشار توییتی در ستایش امام دوم شیعیان در حساب علی #خامنه‌ای، گمانه‌زنی‌هایی را در فضای رسانه‌های فارسی‌زبان به راه انداخته است.
برخی چنین موضعی را به عنوان نشانه‌ای برای تمایل به صلح و مذاکره با آمریکا تفسیر کرده‌اند.
البته آنچه در #توییت آمده صحبت‌های جدیدی نیست و بازنشر مطالبی است که او نیم قرن پیش در کتابی درباره #امام_حسن نوشته و همین جمله در آبان ماه سال گذشته هم در وبسایت رسمی‌اش بازنشر شده است.
شفافیت پایین تصمیم‌گیری‌ها و مواضع رهبران عالی ایران باعث می‌شود که برخی ناظران سیاسی به جای تحلیل واقعیت‌ها و اطلاعات قطعی، به تفسیر و گمانه‌زنی‌هایی بپردازند که بر یک توییت یا نشستن یک مقام در نزدیکی رهبر ایران و نشانه‌هایی از این دست متکی است.  [🔗](https://www.bbc.com/persian/live/institutional-52597838?pinned_post_locator=urn:asset:77a7db74-07cf-442a-a49b-1ac9b75e971e)","🔸The governor of a city in Herat province in #Afghanistan says that 18 bodies have been discovered so far among the Afghans who drowned in Harirud “due to intimidation by Iranian border guards,” and “traces of beating and torture” can be seen on these bodies. The Islamic Republic’s authorities have not yet reacted to the issue of “torture” of Afghan citizens, but in recent days a number of them, including the spokesman for the Foreign Ministry, have expressed regret over the loss of these people’s lives and strongly denied that such an event occurred on Iranian soil. US Secretary of State Mike Pompeo said on Wednesday that he was shocked by the reports published about this event. [🔗 ](https://www.radiofarda.com/a/Afghan-official-says-bodies-of-beaten-and-tortured-recovered-at-Iran-border/30601422.html)

🔸Local sources in Ghor province in central Afghanistan have announced that a protest by a number of people protesting against food distribution turned violent, and police opened fire on protesters, killing at least 6 people, including two police officers, and wounding 19, including 10 police officers. A local journalist was among the dead. [🔗 ](https://www.bbc.com/persian/afghanistan-52598579)

🔸IRNA news agency reported that nearly 1 million 36 thousand checks were bounced in the entire country in March 2019 alone, and wrote that the ""domino effect of bounced checks"" has now taken over the country's economy. According to this report, the financial value of bounced checks in March 2019 was nearly 177 trillion rials, an increase of 44.2 percent in number and 51.9 percent in value compared to February 2019. [🔗](https://www.radiofarda.com/a/30602425.html) #Check #Return_Check 🔸Mohammad Javad Zarif, in a letter to UN Secretary-General Antonio Guterres, has warned of the possibility of new sanctions against Iran in the Security Council. Mr. #Zarif said: ""Any new #sanctions or restrictions by the Security Council would be contrary to the fundamental commitments made to the Iranian people and would be fully responsible for the United States and any entity that either assisted the United States or implicitly remained silent about its illegal behavior."" [🔗 ](https://www.bbc.com/persian/live/institutional-52597838?pinned_post_locator=urn:asset:f20d0933-7481-4591-a97c-2833049c8096)The Islamic Republic's Foreign Minister has written in a letter to the UN Secretary-General that we are ""ready to talk at any level"" to implement the JCPOA. [🔗 ](https://www.radiofarda.com/a/iran-zarif-letter-to-un-ready-to-talk-on-any-level-for-jcpoa/30602515.html)🔸Reuters and three cybersecurity researchers have said that publicly available internet archives show that hackers linked to Iran have tried to break into the accounts of employees of the American pharmaceutical company #Gilead in recent weeks. The American company Gilead manufactures a drug called #Remdesivir. US health officials say the drug has shown “clear evidence” of improving the health of patients with Covid-19. [🔗](https://www.radiofarda.com/a/hackers-iran-gilead/30601876.html) #Hack 🔸Ali #Motaheri, a member of the Iranian parliament, wrote to Ahmad #Jennati, the secretary of the Guardian Council, asking him to step down from his “godly position” and “reconsider” his approach. [🔗 ](https://www.radiofarda.com/a/30602597.html)🔸Human Rights Watch on Friday, May 9, protested in a statement the sentencing of at least 13 people in Iran for protesting the downing of a Ukrainian passenger plane by the Islamic Revolutionary Guard Corps. [🔗](https://www.radiofarda.com/a/iran-hrw-report-on-ukraine-crash-13-arrested-over-protests/30602481.html) #PS752 📡 @VahidOnline ",Yes,"A, C"
"♦️ برزین حمزه‌زاده از کودکان بازداشت شده در جنبش زن زندگی آزادی در اثر آسیب دیدگی ناشی از شکنجه جانباخت.

•برزین حمزه‌زاده، کودک اهل سردشت که در اثر ضرب‌وشتم شدید نیروهای سرکوب دچار آسیب‌دیدگی شدید اعضای داخلی بدن شده بود، در نهایت پس از ۱۳ ماه تحت عملیات جراحی در بیمارستان جان خود را از دست داد. او در جریان جنبش زن زندگی آزادی در سن ١۵ سالگی بازداشت و به مدت یک هفته شکنجه شده بود.","♦️ Barzin Hamzehzadeh, a child detained in the Women's Freedom Movement, died from injuries sustained during torture. • Barzin Hamzehzadeh, a child from Sardasht who suffered severe internal injuries from severe beatings by the repressive forces, eventually died in hospital after 13 months of surgery. She was detained at the age of 15 during the Women's Freedom Movement and tortured for a week.",Yes,C
