Post,Label,Type
Kyiv: Important news of the day 🟡🔵 – https://cutt.ly/nAgbZsj,No,
"**⚡️In Belarus, they are likely preparing to participate in a war against Ukraine, according to the General Staff of the Ukrainian Armed Forces.

Defensive fortifications are being set up in border regions with Ukraine, and the ""House of Representatives"" is considering introducing the death penalty for treason by military personnel. ""Such actions may be one of the steps in preparation for war,"" Gromov stated.**

[Informator](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"😍 Morocco beats Portugal and advances to the semifinals

Ronaldo is going home 🤯",No,
This channel can’t be displayed because it was used to spread pornographic content.,No,
"⚡️⚡️⚡️**Azov: About an hour ago, Russian occupation forces used a poisonous substance of unknown origin against Ukrainian military and civilians in  Mariupol, which was dropped from an enemy UAV.

**The victims have respiratory failure, vestibulo-atactic syndrome.
The consequences of using an unknown substance are being clarified.**

⚡️⚡️⚡️ «Азов»: Около часа назад российские оккупационные силы применили против украинских военных и гражданских лиц в Мариуполе отравляющее вещество неизвестного происхождения, которое было сброшено с вражеского БПЛА.

**У пострадавших дыхательная недостаточность, вестибуло-атактический синдром.
Последствия употребления неизвестного вещества выясняются.",No,
"The Ukrainian Armed Forces are reported to be using the Polish S-125 Newa SC air defense system.
This is a Polish modernization of the Soviet ZR-K (surface-to-air missile) complex S-125 ""Neva-M."" In addition to mounting the launch unit on a T-55 tank chassis, the complex was fully equipped with electronics allowing it to receive data on target and missile courses, and its detection range has been increased to account for operation in complex radar jamming conditions.

Previously, Poland had not reported supplying such systems to Ukraine.

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"""0 km to Russia"": A sign with this text was installed in Donetsk at Lenin Square in honor of the Day of National Unity.",No,
"⚡️⚡️⚡️**«Британская благотворительная организация ЛГБТ+ Stonewall заявляет, что дети уже в два года могут определить, являются ли они трансгендерами»**. **
 
**Самим детям пока насрать на это мнение.

Что думаете? Ставьте реакции.",No,
"The men from Kuzbass are calmly heading to the draft boards. Most are responding to summonses, but there are also volunteers. Their demeanor suggests that motivational talks are unnecessary. They know where they're going and why—it's serious and masculine. Everyone should feel this way.

There's also an understanding that the home front is gradually getting back on track and that no one intends to leave their own behind. They've promised benefits to those mobilized: discounts on utilities, taxes, and medical care, just like for contract soldiers. And their jobs will be preserved.

Now, without any unnecessary complications or rusty AKs. Those who need to undergo medical checks and are due for mobilization should proceed to mandatory training and then head to the Zone of Special Military Operations (SWO) to reinforce the groupings.",No,
Бидон что-то  совсем плохо выглядит,No,
"**🔴DAILY REPORT WITH KEY NEWS🔴

Available on Medium:

🇬🇧[**English**](https://medium.com/p/664ab9cf7fe5)
🇺🇦[**Ukrainian**](https://medium.com/p/9a546522408c)
🇨🇵[**French**](https://medium.com/p/7e050bc88ddb)
🇩🇪[**German**](https://medium.com/p/e43ddb093dc0)
🇪🇸[**Spanish**](https://medium.com/p/b46dcc3554d3)
🇮🇹[**Italian**](https://medium.com/p/a938227a0293)
🇷🇸[**Serbian**](https://medium.com/p/84810979c005)
🇨🇿[**Czech**](https://medium.com/p/a9ed69a6c0a1)
🇹🇷[**Turkish**](https://medium.com/p/90a78c1f1113)
🇬🇷[**Greek**](https://medium",No,
"🔥🇷🇺**Тяжёлые огнемётные системы продолжают выполнение задач по денацификации Украины🇺🇦

**Солнцепёки группировки “V” работают по позициям укробоевиков",No,
"**❗️Explosions reported in Sumy Oblast. Preliminary reports suggest air defense forces shot down an enemy missile. Also, reports of missile flybys over Kharkiv and Konotop.

[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)**",No,
"Залужный сначала добавил, а потом почти сразуже удалил весьма интересное фото.

Наряду с зелебобой, чествующего погибших в Бабьем Яру, с патчами дивизии СС ""Тотенкрмпф"" на заднем  плане и тем биомусором из Навоза,  что опубликовал видео сбрасывания трупов невинных жертв в яму, картина весьма интересная. Нет, нацизма на Украине нет, как нет и здравого смысла.

Русский воин, помни, что ты сражаешься не только с долбаебами, ты сражаешься еще и  с выраженной биполярочкой....",No,
"⚡️**The Federation Council of Russia unanimously ratified the treaties on the annexation of the occupied territories of Ukraine**

The decision was taken unanimously, as in the Duma. There were 153 senators who voted for it.

**⚡️The Federation Council of Russia unanimously ratified the treaties on the annexation of the occupied territories of Ukraine**

The decision was taken unanimously, as in the Duma. 153 senators voted in favor.",No,
"❗️** RU-UA Battles near Lysychansk: Situation as of 16:00, April 19, 2022

The Russian Armed Forces advanced south of the settlement of Pisky-Rydkivskyy and captured Yatskove and Rubtsy. The advance towards Alexandrovka is developing.

[MAP IN HIGH RESOLUTION

](https://i.ibb.co/fNVJJ6z/19-04-16-00-1.jpg)

#Donetsk #Izyum #map #Luhansk #Russia #Ukraine #Kharkiv
@rybar

__*Support us: 4377 7278 0407 7977__",No,
Новогодняя ёлочка в Узбекистане это отдельный вид искусства 🤩,No,
👀Trolleybus drivers fought in Ekaterinburg.,No,
"**""Когда будет ракетный обстрел, власти обязательно вас об этом будут сообщать. Не надо жить постоянно в ожидании каких-то неприятностей. Живите своей жизнью, которая и так сложна""**, — секретарь СНБО Данилов

Выдыхайте до следующего уведомления.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
"**""Укрэнерго"" **[распорядилась](https://www.facebook.com/npcukrenergo/posts/489108543257976)** ограничить электроснабжение по всей стране

**Кроме того, дополнительные объемы ограничений для промышленных потребителей будут применяться в центральном регионе (Киев, Киевская, Черниговская, Черкасская и Житомирская области).

Надеемся, вы запаслись свечами.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
"**Jean-Claude Van Damme**, who is currently in Ukraine, has provided a base **🇺🇦**

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",No,
"The soldiers kindly provided our fighters with another British anti-tank weapon, the ""NLAW"".

Thank you very much for that.

@SashaKots",No,
"🇷🇺🇺🇦 ВС РФ работают по позициям противника в Славянске.
#Славянск #Россия #Украина
@rybar

*Поддержать нас: 4377 7278 0407 7977",No,
"Apple требует от RuTube или удалить контент государственных СМИ, или сделать его доступным только для пользователей из России. Не нравится Западу, что местная аудитория ищет информацию на российских ресурсах, а следовательно узнаёт правду и о реальной обстановке в зоне СВО.

Сейчас, согласно заявлению видеохостинга, RuTube доступен для скачивания только в России, Белоруссии и Казахстане.

Беспокойство западных информационных монополистов лишь подтверждает, что зарубежный зритель уже не верит в то, что подают местные СМИ, а значит, что запрет на просмотр российского контента только подогреет к нему интерес. Мы только за.

Подписывайтесь на [наш канал в RuTube](https://rutube.ru/video/5676ec46da2cfefec8a6cf5641bcf540/).

Мы продолжаем работать в Донбассе и благодарим вас за интерес и внимание к нашей работе.

@epoddubny",No,
"**На вулиці Лаврухіна стався вибух у дворі 16-поверхівки: загорілися 7 приватних автівок

** 🚒Проводиться евакуація людей з 1 під'їзду. За попередніми даними, загиблих не виявлено, потерпілі — попередньо з легкими ушкодженнями.

🔺Знищені та загорілися 7 приватних легкових авто. Вибуховою хвилею пошкоджено вікна, балкони з 1-15 поверх.",No,
⚡️ Эксклюзивные кадры высадки украинского десанта у ЗАЭС.,No,
