Index,Post,Trans,Label,Type
39001,"🇵🇱🏴‍☠️Лидер правящей в Польше партии ""Право и справедливость"" (PiS) **Ярослав Качиньский предложил Соединённым Штатам разместить в республике ядерное оружие.

**__Гномы хотят все свои переделы отыграть?__

💤В Пшечьих влажных мечтах",,,
39002,Нарезка кадров последних дней перед отходом БАРС-16 из Красного Лимана.,,,
39003,"⚡️⚡️⚡️#Инсайд 
MI-6 передали разведданные в Офис Президента пидараса Зеленского  и Генштаб, что российские войска продолжают накапливать силы в Белгородской области и не торопятся их использовать как резерв. Британская разведка предупреждает Генштаб, что эти силы могут концентрировать для контрнаступления российских войск по границе реки Оскол, чтобы обрезать группировку ВСУ, которая все больше растягивается имея всего несколько путей снабжения.",,,
39004,"⚡️**Зеленский подписал указ о непризнании независимости** Крыма, ДНР, ЛНР, Запорожской и Харьковской области.",,,
39005,"🏴‍☠️🇺🇦С 1 октября 2022 года в киевской клинике принимают биоматериалы только от ""чистокровных украинцев, у которых нет родственников из России"" 🤦‍♂️🤦‍♂️🤦‍♂️

💤Почему на фото два метиса?😂",,,
39006,"**Пугачева вновь напомнила о себе, оскорбив русский народ
**
**Наверняка скинула свой замок🏰, теперь можно и душу излить.**
**Конченая мразь и ей подобные предатели. Может пора уже законы новые принять, для таких животных.**",,,
39007,"**‼️🇺🇦🏴‍☠️Боевики ВСУ зашли в Дудчаны на Херсонщине, вчера целый день здесь шли тяжёлые бои**",,,
39008,"⚡️**ВКС РФ ударили по 3-м бригадам ВСУ на Криворожском и Андреевском направлениях, **уничтожено 9 танков, 12 боевых машин пехоты, 20 автомобилей и до 250-ти военнослужащих, сообщает МО РФ",,,
39009,"‼️‼️‼️**Поражен штаб Воздушного командования «Восток» ВСУ на окраине Днепропетровска, **сообщает МО РФ",,,
39010,"🤙🏻Такого вы еще не видели.

Кадры боевой подготовки штурмовых групп ЧВК Вагнер.

Для понимания, в траншеях по бойцам ведется настоящий огонь из всех видов стрелкового оружия и даже из миномета. Музыканты называют это ""тестом на доверие"".",,,
39011,"**‼️🇧🇾 Президент Белоруссии Александр Лукашенко:

**▪️Cтраны НАТО пересылают вооружение и военную технику для Украины через польский аэродром Жешув.
▪️Польша проявляет наибольшую активность у границ республики. На юге белорусского направления формируется новая механизированная дивизия.
▪️Украина беспокоится, что Белоруссия может вступить в конфликт, но сама стянула к белорусской границе до 15 тысяч военных.
▪️Белоруссия принимает участие в спецоперации РФ на Украине, но своих военных не посылает.",,,
39012,🇰🇵Траектория сегодняшнего пуска северокорейской баллистической ракеты.,,,
39013,"💤Какой же долбаёб, с ним никто и не собирался о чем то разговаривать!",,,
39014,"☠️**Казарма ВСУ в Артемовске была уничтожена

**Так называемая «общага на Канале», заполненная укронацистами, была уничтожена высокоточным ракетным ударом. Минобороны РФ сообщило, что более 260 нацистов похоронены под завалами.",,,
39015,⚡️🏴‍☠️**Зеленский ввёл в действие решение СНБО о невозможности проведения переговоров с Путиным.**,,,
39016,Неожиданная развязка для свинособак🎃,,,
39017,"**‼️🇰🇵🇷🇺Северная Корея официально признала итоги референдумов о вхождении ДНР, ЛНР, Запорожской и Херсонской областей в состав России

**Согласно заявлению МИД КНДР, все произошло в соответствии с уставом ООН.

💤Еще и аргумент запустили межконтинентальный 😂",,,
39018,"🚨Если мои мысли и планы руководства совпадают , то это идеальная стратегия! Нам просто нужно тянуть время и даже если с нашей стороны будут отходы , мы будем только в выигрыше.",,,
39019,"Если вы думали, что хохлы ебанутые, то да. Вы были полностью правы 😂

Жена дебила советника Зелебобы Михаила Подоляка...

**Перевожу:

**__""Твоё дело старлинки давать и завалить ебало""

""Шакалы, садимся в Гиперлуп""

""Сейчас ты Илон Маск допиздишься и Зеленский национализирует Теслу""

""Тупо тварь""

""Илон, зачем ты насрал в Макеевский родничок""__",,,
39020,Ххахахахахахаха 🤣🤣🤣🤣,,,
39021,"Истинное лицо  хохлов. Дай им руку, отгрызут  хуй.

Быдло!",,,
39022,"💢**Танкисты красавцы , уничтожили огромное кол-во свиней на Кременной. 
Дудчаны lets’go.**",,,
39023,"🔥Артиллерия и Авиация ВС РФ отработала по Новобаварскому и Холодногорскому районов, на Харьковском направлении. 

Так же нанесен удар по Харькову.

Взорвали Критическую
инфраструктуру.",,,
39024,"💤Когда ты ссаный петух, который убежал из страны в ту где тебе ссут в лицо, а сделать ты ничего не можешь! 
Эти предатели заслужили такого отношения к себе! Я не удивлюсь тому что этот пидор ,в красной курточке, выходил на февральские митинги и орал там «нет войне».
Но и русофобскую мразь снимающую это видео я тоже не поддерживаю! Пусть идет нахуй вместе с этим петухом",,,
39025,"‼️‼️‼️СРОЧНО 

Кременная Отбита ( У хохлов огромные потери) 
Дудчаны - Бой!",,,
39026,"⚡️**Решение принято единогласно.
В Российской Федерации — 89 субъектов.

МЫ ВМЕСТЕ!

**Вхождение Донецкой, Луганской народных республик, Запорожской и Херсонской областей в состав Российской Федерации — единственная возможность спасти миллионы жизней людей от преступного киевского режима. Прекратить обстрелы мирного населения, стариков, женщин, детей. Защитить право на родной язык, культуру, историю, свою веру.",,,
39027,"⚡️⚡️⚡️Лавров, выступая на заседании Госдумы: «Теперь наступил момент истины. Мы реагируем не на выдуманные угрозы в далеких странах, мы защищаем свои границы, свою Родину, весь наш народ».",,,
39028,"🇨🇳 **Пекин приказывает Государственным Банкам подготовиться к масштабному Сбросу доллара. 
**
Центральный банк Китая обратился к крупным государственным банкам с просьбой быть готовыми продавать доллары за местное подразделение на офшорных рынках, поскольку он активизирует усилия по сдерживанию падения Юаня, сообщили четыре источника, осведомленные в этом вопросе.",,,
39029,"В районах  Дудчан пошло наступление! Видео перед отъездом  с задержкой. Так же обращение и просьба к участникам группы.

💤это те парни которые запрашивали авиацию",,,
39030,"Россия имеет население, более чем в три раза больше, чем Украина, поэтому победа Украины в тотальной войне маловероятна, считает Илон Маск. 

«Если вы заботитесь о народе Украины — ищите мира»!",,,
39031,💤Я же говорил что хохлы - пидоры 😂,,,
