Index,Post,Trans,Label,Type
8001,"🙏🙏🙏

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)"," 

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,
8002,"**На одном из направлений от ВСУ, похоже, есть хорошие новости. Анонсы уже пошли от Ермака и Карася

**Ждём официальную информацию😏

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**There seems to be some good news in one of the areas. Announcements have already gone from Ermak and Karas

**Waiting for official information д

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,
8003,"**""Кто дёрнется - стреляй сразу!""**, — просто воспитательная работа с чмобиками, которые оставили свои позиции, где-то на просторах ""ЛДНР""

Русня, у вас 1 шанс выжить: сдаться в плен ВСУ. Иначе вас ваши же убьют🤷🏻‍♂️

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**""Who twitches - shoot right away!""** - just educational work with schmobiki, who left their positions, somewhere in the expanses of the ""LDNR""

Rusya, you have 1 chance to survive: surrender to the APU. Otherwise, you will be killed.

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,
8004,"**❗️Осталось несколько дней в этом году. Наш враг попытается сделать это время для нас темным и сложным. Пожалуйста, в эти дни прислушайтесь к воздушным тревогам. Ещё раз поищите и запомните, где расположен ближайший Пункт Несокрушимости, — Зеленский

**""Расскажите родителям, как найти Пункт Несокрушимости, если это понадобится. Позаботьтесь, пожалуйста, и о себе. И будьте готовы помогать другим"", — заявил он.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**We have a few days left this year. Our enemy will try to make this time dark and difficult for us. Please listen to the air alerts these days. Once again, look and remember where the nearest Invincibility Point is located, Zelenskyy said.

**Tell your parents how to find the Invincibility Point if necessary. Please take care of yourself. Be prepared to help others, he said.

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,
8005,"❗️**В новогоднюю ночь комендантский час в Украине не отменят

**Об этом [сообщила](https://www.youtube.com/watch?v=n6iTQ0_9bDc) пресс-секретарь главы Национальной полиции Марьяна Рева. По её словам, **те, кто выйдут на улицу в новогоднюю ночь, могут быть привлечены к ответственности за нарушение комендантского часа**. 

""Полицейские **будут проверять лиц, будут проверять их документы, будут доставлять в подразделения полиции **для установления личности или для проверки этого лица. **Пиротехнические средства и их реализация, их использование практически по всей территории Украины прямо запрещены**. Потому, конечно, полиция будет реагировать на такие случаи"".

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","On New Year's Eve curfew in Ukraine will not be canceled

** [Reported] (https://www.youtube.com/watch?v=n6iTQ0_9bDc) Press Secretary of the head of the National Police, Marjana Reva. Those who go out on New Year’s Eve can be prosecuted for violating the curfew.

“Police ** will check persons, check their documents, take them to police units ** to identify or verify the person. **Pyrotechnics and their implementation, their use almost throughout the territory of Ukraine are expressly prohibited. Therefore, of course, the police will respond to such cases.”

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,
8006,"В Киеве **в честь праздника запустили паровозы**, а** на вокзале поставили помощника святого Николая**. Тем временем русня: ""в Украине **из-за повреждения энергетической инфраструктуры** запустили паровозы""

Ну почему они такие тупорылые?

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","In Kiev ** in honor of the holiday launched locomotives **, ** at the station put the assistant of St. Nicholas **. Meanwhile, Rusnya: “In Ukraine **due to damage to energy infrastructure ** launched locomotives”

Why are they so stupid?

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,
8007,"**❗️В беларусских Мачулищах горел один из российских МиГ-31К носителей ""Кинжалов""

**Об этом сообщает Беларускі Гаюн. Сегодня на аэродроме в Мачулищах **произошло возгорание двигателя одного из МиГ-31К ВКС РФ**. 

**Он выведен из строя и не сможет летать в ближайшее время. 

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**х️In the Belarusian Maculischi burned one of the Russian MiG-31K carriers ""Daggers""

**Belarusian Gayun reports. Today at the airfield in Maculischi ** there was a fire engine of one of the MiG-31K VKS of the Russian Federation**.

**It is disabled and will not be able to fly anytime soon.

**[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,
8008,"**Украинские олигархи сильно **[**обеднели**](https://www.facebook.com/BBCnewsUkrainian/photos/a.289246041107051/6092318247466439)** за время войны. Интересная инфографика

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","** Ukrainian oligarchs **[**impoverished][https://www.facebook.com/BBCnewsUkrainian/photos/a.289246041107051/6092318247466439)** during the war. Interesting infographic

**[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,
8009,"**Тарифы на холодную воду и водоотводы в следующем году могут повысить дважды, — **[**НКРЭКУ

**](https://www.nerc.gov.ua/storage/app/uploads/public/638/8dd/2b1/6388dd2b16dc1642249025.pdf)Так, согласно проектам постановлений Нацкомиссии, **первое повышение запланировано с 1 января, а второе – с июля**. Цены для областных центров указаны на фото👆🏻 Тарифы на воду в областях, сильно **пострадавших от боевых действий, пересматриваться не будут.** Это Харьковская, Николаевская и Херсонская области.

Новые тарифы** должны быть одобрены 27 декабря.

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","** Tariffs for cold water and sewage next year may increase twice — **

**](https://www.nerc.gov.ua/storage/app/uploads/public/638/8dd/2b1/6388dd2b16dc1642249025.pdf)So, according to the draft resolutions of the National Commission, ** the first increase is planned from January 1, and the second from July**. Prices for regional centers are shown on the photoхרTariffs for water in areas severely affected by the fighting will not be revised.** This is Kharkiv, Nikolaev and Kherson regions.

The new tariffs** are due to be approved on December 27.

**[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,
8010,"**Россия **[**увеличила **](https://www.facebook.com/navy.mil.gov.ua/posts/535754551925465)**количество носителей крылатых ракет ""Калибр"" в Черном и Средиземном морях 

**Сейчас общий залп составляет около **100 ракет**.

Отметим, что со Средиземного моря РФ ещё ни разу не запускала ракеты и запускать не будет.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**Russia **[**increased **](https://www.facebook.com/navy.mil.gov.ua/posts/535754551925465)**Number of Kalibr cruise missile carriers in the Black and Mediterranean Seas

**Now the total salvo is about **100 missiles**.

Russia has never launched a missile from the Mediterranean Sea and will not launch it.

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,
